start	end	text	start_mm:ss	end_mm:ss
16500	18500	Bitte sehr.	00:16	00:18
18500	20500	Geht doch, was ist der Nachtauschirm?	00:18	00:20
20500	22500	Herr Verzeihung, steigen Sie nun ein oder wollen Sie draußen leben?	00:20	00:22
22500	24500	Natürlich, ich komme ja schon hier.	00:22	00:24
24500	28500	Hattest du nur gesehen? Auch nicht nur da hier.	00:24	00:28
28500	30500	Zweite Nachtaufgabe?	00:28	00:30
30500	34500	Haben Sie den Keller auch in den Kopf? Sind Sie, dass hier jemand einsteigen will?	00:30	00:34
34500	36500	Wusstest du, so gewirtschaftlich ist das jetzt überall.	00:34	00:36
36500	40500	Alle schimpfen doch nicht. Ein gebildeter Mensch muss sich doch beherrschen können.	00:36	00:40
40500	42500	Ja doch, hör mal, klingelt da einfach ab.	00:40	00:42
42500	44500	Ich hätte mir ja eine Hals brechen können beim einsteigen.	00:42	00:44
44500	47500	Ja, ja, ja. Hättest du ja früher überlegen können, dass du noch eine Zeitung kaufen willst.	00:44	00:47
47500	49500	Kannst du schließlich nicht verlangen, dass der ganze Wagen auf dich wartet.	00:47	00:49
49500	52500	Jawohl kann ich das. Ich warte ja auch auf andere.	00:49	00:52
52500	55500	Wir Volksgenossen sollen gegenseitig Rücksicht aufeinander nehmen.	00:52	00:55
55500	57500	Ich für dich und du...	00:55	00:57
57500	59500	Mich auch. Also komm mal rein, ja.	00:57	00:59
59500	70540	Ui, ahhh.	00:59	01:10
70540	71540	Was hast du?	01:10	01:11
71540	76540	Habe über meine Schien beim vorher fies gestoßen, aber auch dringend hier.	01:11	01:16
76540	77540	Bitte schön, Herr Herr.	01:16	01:17
77540	83220	Mein Freund dankt Ihnen auch schön.	01:17	01:23
83220	84220	Ich weiß nicht.	01:23	01:24
84220	85220	Ja.	01:24	01:25
85220	86220	Bleiben Sie bitte.	01:25	01:26
86220	87220	Bitte.	01:26	01:27
87220	88220	Noch jemand nicht abgefertigt?	01:27	01:28
88220	89220	Ja, hier, bitte.	01:28	01:29
89220	90220	Kurzstrecke.	01:29	01:30
90220	91220	Einmal kurz.	01:30	01:31
91220	96140	Wenn Sie rauchen wollen, dann müssen Sie nach oben gehen.	01:31	01:36
96140	98140	Hier unten ist nämlich nicht rauchhaft.	01:36	01:38
98140	100140	Ich rauche hier ja nicht.	01:38	01:40
100140	101140	Ich halte es.	01:40	01:41
101140	102140	Die Zigarre haltest doch bloß in der Luft.	01:41	01:42
102140	103140	Ja, ich sehe es.	01:42	01:43
103140	104140	Die Zigarre brennt.	01:43	01:44
104140	105140	Die Zigarre brennt.	01:44	01:45
105140	107140	Also fallen Sie doch nicht auf den Nervensee.	01:45	01:47
107140	110140	Ich lebe mich über Sie beschweren bei der Direktion.	01:47	01:50
110140	111140	Kurzstrecke.	01:50	01:51
111140	113140	Das sind alles Zigarre sind das.	01:51	01:53
113140	115140	Tu doch auf mit diesem Odenseen.	01:53	01:55
115140	116140	Hier ist nun mal rauchen verboten.	01:55	01:56
116140	118140	Auch Sie eine Luft halten ist auch verboten.	01:56	01:58
118140	119140	Verboten, verboten.	01:58	01:59
119140	121140	Wenn ich das schon höre.	01:59	02:01
121140	125140	Ich möchte bloß wissen, was heutzutage noch erlaubt ist.	02:01	02:05
125140	126140	Hier.	02:05	02:06
126140	127140	Bitte.	02:06	02:07
127140	129140	20 Mark.	02:07	02:09
129140	131140	Hat es der Herr denn nicht passend?	02:09	02:11
131140	132140	In Dauer nein.	02:11	02:12
132140	137680	Was haben wir, ziehen wir die schmutzigsten, die Sie da haben, wa?	02:12	02:17
137680	139680	Rausch, beschern ich, die Lappen anzufassen.	02:17	02:19
139680	142680	Sieh, was soll ich denn mit den Geknipp-Projekten da?	02:19	02:22
142680	143680	Haben Sie keinen Silber?	02:22	02:23
143680	145680	Hier haben Sie 15.	02:23	02:25
145680	148680	Ich will doch bloß die Wechsel haben.	02:25	02:28
148680	150680	Ja, der Autobus ist doch keine Wechselstufe.	02:28	02:30
150680	152680	Mach es dem Schaffner nicht noch schwerer.	02:30	02:32
152680	153680	Das hat genug zu tun.	02:32	02:33
153680	159680	Du, wieder 40.000 brutto registriert.	02:33	02:39
159680	160680	Ist doch toll, was?	02:39	02:40
160680	162680	Kannst du nicht in deine eigene Zeitung gucken?	02:40	02:42
162680	164680	Alles soll es für die Mühe, ja.	02:42	02:44
164680	165680	Lachen wir mal.	02:44	02:45
165680	166680	Bitte sehr.	02:45	02:46
166680	167680	Was haben Sie da?	02:46	02:47
167680	168680	Ist das hier?	02:47	02:48
168680	169680	Ah, falsch.	02:48	02:49
169680	171680	Darf ich mal kurz abnehmen?	02:49	02:51
171680	172680	Aber bitte bitte.	02:51	02:52
172680	173680	Auf!	02:52	02:53
173680	174680	Auf!	02:53	02:54
174680	175680	Seid doch noch mal!	02:54	02:55
175680	176680	Verzeihung, was denn?	02:55	02:56
176680	177680	Das ist allerdings, was?	02:56	02:57
177680	178680	Verzeihung.	02:57	02:58
178680	180680	Selbstverständlich, der Herr hat sich doch entschuldigt, wie sich das gefällt.	02:58	03:00
180680	181680	Na und?	03:00	03:01
181680	186680	Der Trottel zertrümmelt mein bestes Hühnerhaube, verdreckt meine frischgeweißten Segnerschuhl dann Verzeihung, das ist alles.	03:01	03:06
186680	187680	Ja, aber erlauben Sie mal.	03:06	03:07
187680	188680	Ich erlaube gar nicht.	03:07	03:08
188680	190680	Was wollen Sie denn überhaupt, ne?	03:08	03:10
190680	193680	Soll ich dem Herrn vielleicht vor Freude um den Hals fallen?	03:10	03:13
193680	194680	Ist ja unerhört.	03:13	03:14
194680	196680	Lass den Herrn nur ausreden.	03:14	03:16
196680	200680	Dazu brauche ich Ihre Erlaubnis nicht, Sie komische Geduld sind.	03:16	03:20
200680	205680	Ich rede, wann es mir passt, was mir passt und mit wem es mir passt.	03:20	03:25
205680	207680	Mit Ihnen passt es mir nicht.	03:25	03:27
207680	208680	Schweigen Sie!	03:27	03:28
208680	211680	Nein, er hat sowas.	03:28	03:31
211680	212680	Zart!	03:31	03:32
212680	213680	Wie?	03:32	03:33
213680	217680	Aber sowas, Ludwig, jetzt verstehe ich ja wirklich nicht mehr.	03:33	03:37
217680	223680	Sonst reißt du bei jeder Kleinigkeit die Klappe auf und hier, wo du mal wirklich im Recht bist da schweißt du wie ein Ölsardinen.	03:37	03:43
223680	226680	Als gebündeter Mensch muss man sich eben beherrschen können.	03:43	03:46
226680	233680	Und außerdem habe ich ihn in seinem Fall wohl wie bei der Ziehjahre noch reingebrannt.	03:46	03:53
233680	256690	Auf einer Donauwerft werden Tankschiffe gebaut.	03:53	04:16
256690	260690	Sie sind für den Öltransport von Rumänien nach Deutschland bestimmt.	04:16	04:20
260690	262690	Fertig in den Spanten.	04:20	04:22
262690	287700	Vorbereitungen für den Stapellauf.	04:22	04:47
287700	296260	Das rund 70 Meter lange 1.000 Tonnen Schiff wird seitlich zu Wasser gelassen.	04:47	04:56
296260	313600	Die Leipziger Herbstmesse, an der sich diesmal 21 Länder beteiligten, wurde zu einem neuen, gewaltigen Erfolg der deutschen Wirtschaft.	04:56	05:13
313600	325040	In 22 Messehäusern boten 6.126 Aussteller ihre Waren an.	05:13	05:25
325040	333850	Die Zahl der erteilten Aufträge stellt einen Rekord dar.	05:25	05:33
334850	367450	Die Wehrmacht gab in einer Sonderausstellung auf dem Augustusplatz eine Darstellung über den großen Sieg im Westen.	05:34	06:07
367450	375880	General der Infanterie Wöllwart, der die Schau im Auftrage des Oberkommandos der Wehrmacht eröffnete.	06:07	06:15
375880	382120	Feldwebel Huber, der kürzlich mit dem Ritterkreuz ausgezeichnet wurde.	06:15	06:22
382120	386120	Hier erklärt er deutschen Jungen einen englischen Zweimannpanzer.	06:22	06:26
386120	394210	Die Beutesammlung vor dem Pavillon.	06:26	06:34
394210	425920	In allen deutschen Kohlenbergwerken wird fieberhaft gearbeitet.	06:34	07:05
425920	427920	Es gilt für den Winter zu sorgen.	07:05	07:07
427920	430920	Hier ein Blick in ein Braunkohlenbergwerk.	07:07	07:10
430920	437920	Ein gewaltiger Bagger schürft mit seinen Eimern im Tagebau die Rohbraunkohle und befördert sie in bereitstehende Waggons.	07:10	07:17
437920	458910	Vom Tagebau geht es in die Brikettfabrik.	07:17	07:38
458910	467780	In einem Vorratsbunker wird die Braunkohle entladen.	07:38	07:47
467780	483490	Nach der Zerkleinerung kommen die Braunkohlenstücke auf diese Rüttelsiebe.	07:47	08:03
483490	487490	Nur feinkörnige Kohle gelangt von hier aus zur eigentlichen Brikettfabrikation.	08:03	08:07
487490	491490	Die gröberen Stücke gehen noch einmal durch Zerkleinerungswalzen.	08:07	08:11
491490	497490	In Trockenhäusern wird der Kohle der größte Teil ihrer Feuchtigkeit entzogen.	08:11	08:17
499440	503440	Ein Röhrentrockner, aus dem die getrocknete Feinkohle herausfließt.	08:19	08:23
503440	509280	Und hier das Presshaus.	08:23	08:29
509280	513280	Jede Presse produziert täglich etwa 120.000 Briketts.	08:29	08:33
513280	518280	In langen Strängen werden die Briketts von der Presse durch diese Brikettrinnen gestoßen.	08:33	08:38
518280	522280	Auf diesem Wege kühlen sie ab und sind nun gefahrlos versandfähig.	08:38	08:42
522280	538340	Die gewaltigen Massen von Kriegsgefangenen in Deutschland werden in immer größerem Umfange nützlicher Arbeit zugeführt.	08:42	08:58
538340	542340	Je nach Eignung und Beruf erhalten sie ihre Beschäftigung zugewiesen.	08:58	09:02
542340	548340	Sie gleichen damit den durch den Krieg bedingten Mangel an Arbeitskräften teilweise wieder aus.	09:02	09:08
548340	640640	Während die deutsche Luftwaffe in fairem Kampf nur militärische Anlagen des Gegners angreift belegen die englischen Luftpiraten im Schutze der Nacht fast ausschließlich nicht militärische Ziele mit ihren Bomben.	09:08	10:40
640640	657420	Hier ein Lazarett in Weimar, wo auch auf Goethes Gartenhaus ein Bombenangriff versucht wurde.	10:40	10:57
657420	671440	In Friedrichsruh war die Grabstätte Bismarcks das Ziel.	10:57	11:11
671440	674440	Die von englischen Bomben völlig zerstörte Kirche von Derichsweiler.	11:11	11:14
674440	678440	Eine 600 Jahre alte Weihestätte, die unter Denkmalschutz stand.	11:14	11:18
678440	685440	Auch in Berlin richteten sich die englischen Bombenangriffe ausschließlich gegen reine Wohnviertel.	11:18	11:25
685440	692440	Die Bevölkerung in den betroffenen Gebieten bewahrte bei allen diesen völkerrechtswidrigen Attentaten eine vorbildliche Haltung.	11:25	11:32
