start	end	text	start_mm:ss	end_mm:ss
40300	46620	Fallschirmjäger. Ständige Übung hält auch diese Truppe stets einsatzbereit. Hier das Zieldorf X muss	00:40	00:46
46620	70940	genommen werden. Auch während des Sprungs wird gefilmt. Fertig zum Start. Transporter bringen	00:46	01:10
70940	84400	die Fallschirmjäger zum befohlenen Einsatzraum. Absprung. Er ist dutzende Mal geübt. Jede Bewegung	01:10	01:24
84400	101060	sitzt. Die Fallschirmjäger springen in dichter Folge. Nur entschlossene, kühne Männer können	01:24	01:41
101060	176840	hier bestehen. Haufenbehälter werden aufgenommen. Griff und schon ist ein Karren raus geworden.	01:41	02:56
176840	183880	Ein Augenblick geht verloren. Mit den modernsten Angriffswaffen ausgerüstet, stürmen die	02:56	03:03
183880	208620	Fallschirmjäger nach vorn. Stehen auch unsere Fallschirmjäger in zahlreichen Regimentern	03:03	03:28
208620	237680	bereit für den entscheidenden Einsatz. Der Murmannküste. Marine Artillerie sichert den Weg unserer	03:28	03:57
237680	247570	Gleitzüge unterhalb der Felsenküste. Meldung an den Batteriechef. Ein Gleitzug kommt in Sicht.	03:57	04:07
247970	262220	Eine Minute später ist die Batterie feuerbereit. Sie soll sowjetische Geschütze niederhalten die vom anderen Ufer der Bucht aus unseren Schiffen den Weg verlegen wollen.	04:07	04:22
262220	285370	Feindliches Mündungsfeuer. Einschläge der sowjetischen Artillerie. Das deutsche Feuer	04:22	04:45
285370	308960	liegt gut. Durch Felseninseln gedeckt, nehmen unsere Schiffe weiter ihren Weg. Auch Stuka greifen	04:45	05:08
308960	329140	ein. Die Sowjets streuen das gesamte Fahrwasser ab. Die feindlichen Einschläge kommen gefährlich	05:08	05:29
329140	371800	nahe. Der Gleitzug muss eingenebelt werden. Dichter wird die Nebelwand. Der Feind lässt nicht	05:29	06:11
371800	394240	locker. Der Feind sich entzogen. Bald ist er in Sicherheit.	06:11	06:34
394240	410540	Unseren Soldaten vor Leningrad. Nach der schweren Schlammperiode haben die Pferde der	06:34	06:50
410540	419120	Nachschubkolonnen wieder etwas Ruhe. Bei sorgsamer Pflege erholen sie sich schnell von den schweren	06:50	06:59
419120	439650	Strapazen der vergangenen Wochen. Wo es Not tut, wird neu beschlagen. Appell mit friedensmäßiger	06:59	07:19
439650	459170	Gründlichkeit. Bald geht es wieder zu neuem Einsatz. Die für eine Schlechtereikompanie.	07:19	07:39
459170	476010	Hier eine Feldbäckerei. Ein großer Tag. Das achtmillionste Brot. Eine Überraschung	07:39	07:56
476010	507330	wird mit eingebacken. Der Kreuzträger Hauptmann Höwe, Bataillonskommandeur in der Hauptkampflinie nimmt das Brot in Empfang. Er hat es einem jungen Soldaten zugedacht, der sich bei seinem ersten	07:56	08:27
507330	527220	Einsatz besonders bewährt hat. Und nun, was ist denn das? Ein Gutschein für eine Torte und eine	08:27	08:47
527220	553560	Flasche Likör. Das erfreut des Landers Herz. Das erste Stück, dem Kommandeur. Das erste Glas dem Batallon.	08:47	09:13
