start	end	text	start_mm:ss	end_mm:ss
44720	52420	Jahreswende 1941-42. Eine einsatzbereite deutsche Heimat steht hinter ihrer Front.	00:44	00:52
53180	56640	Diese Heimat ist sich bewusst, was sie ihren Soldaten schuldet.	00:53	00:56
57280	59940	In den deutschen Rüstungswerken stehen die Räder niemals still.	00:57	00:59
60580	66280	Pausenlos werden hier Waffen für die besten Soldaten der Welt ergänzt und neue geschmiedet.	01:00	01:06
66280	74520	Die Frau hat vielfach in selbstverständlicher Pflichterfüllung den Arbeitsplatz des Mannes eingenommen, der an der Front das Vaterland verteidigt.	01:06	01:14
211910	216070	Jede Sammlung, zu der die Führung aufruft, erbringt wahre Rekordergebnisse.	03:31	03:36
216430	260370	Hier die Metallsammlung, die Spinnstoffsammlung.	03:36	04:20
269060	275320	In den großen Reißwollfabriken entstehen aus den abgelieferten Spinnstoffen neue Tuche für die Ausrüstung unserer Soldaten.	04:29	04:35
287610	292730	Die Ergebnisse des Kriegswinterhilfswerkes steigen in steiler Kurve von Sammeltag zu Sammeltag.	04:47	04:52
293050	307650	Und nun Wintersachen für die Soldaten der Ostfront. An keiner Tür klopfen die Sammler vergebens.	04:53	05:07
307650	327550	Schon am ersten Tage gingen riesige Mengen von Woll- und Felssachen aller Art bei den Parteidienststellen ein.	05:07	05:27
342980	348420	Front und Heimat folgen freudigen Herzens und in selbstloser Einsatzbereitschaft dem Befehl des Führers.	05:42	05:48
381780	387140	Europa vor einem Jahr, um die Jahreswende 1940-41.	06:21	06:27
387140	396700	Von Norwegen über Dänemark, Holland und Belgien bis Frankreich ist die gesamte Westküste Europas in deutscher Hand.	06:27	06:36
400260	402980	Noch aber ist das Reich von Südosten her bedroht.	06:40	06:42
403540	410900	England und die Sowjetunion entfesseln in Jugoslawien eine Militäre Wolte, um über den Balkan einen Angriff auf das Reich vorzutragen.	06:43	06:50
411580	414740	Deutschlands und Italiens Antwort ist klar und eindeutig.	06:51	06:54
414740	419180	In atemberaubendem Tempo werden Jugoslawien und Griechenland zerschmettert.	06:54	06:59
421320	428180	Unterdessen hatten die Sowjets gewaltige Truppenmassen und riesige Mengen von Kriegsmaterial an der deutsch-sowjetischen Interessengrenze zusammengezogen.	07:01	07:08
429300	435620	Die bolschewistischen Offensivarmeen sollten den Angriff gegen das Reich und darüber hinaus gegen ganz Europa beginnen.	07:09	07:15
437000	441080	Der Führer kommt diesem mit England verabredeten Überfall um wenige Tage zuvor.	07:17	07:21
441080	450900	In gewaltigen Schlachten, wie sie die Weltgeschichte bis dahin nicht gekannt hat, werden die das Reich und Europa bedrohenden Stoßarmeen der Sowjets zurückgeworfen und zerschlagen.	07:21	07:30
452320	461580	Der deutsche Soldat ist Seite an Seite mit den Regimentern der Verbündeten tief in Feindesland vorgestoßen und hält nun die Front bis zu neuen Entscheidungen.	07:32	07:41
461580	467340	So geht Deutschland nach 28 Kriegsmonaten in das dritte Kriegsjahr.	07:41	07:47
468440	476860	Hier ein Vergleich mit den Positionen, die die deutsche Wehrmacht im Weltkrieg nach 28 Monaten, also bis Ende 1916, erreicht hatte.	07:48	07:56
476860	489540	Die Mittelmächte Deutschland, Österreich-Ungarn, Bulgarien und die Türkei waren noch immer von einer Front stärkster Gegner umschlossen, die über gewaltige Rohstoffquellen verfügten und alle Zufuhrstraßen beherrschten.	07:56	08:09
490400	495860	In Frankreich war die Front erstarrt, die Kanalküste nur an einigen strategisch unbedeutenden Punkten erreicht.	08:10	08:15
496560	500060	Im Osten war nur ein Bruchteil des heute eroberten Gebietes in unserer Hand.	08:16	08:20
