start	end	text	start_mm:ss	end_mm:ss
43600	45180	Von der Front im Mittelmeer.	00:43	00:45
48920	57040	Generalfeldmarschall Kesselring, der Oberbefehlshaber der im Mittelmeerraum eingesetzten deutschen Luftstreitkräfte, besichtigt seine Verbände in Süditalien.	00:48	00:57
62820	64880	Bomben für den Angriff auf Malta.	01:02	01:04
65900	76860	Durch fast pausenlose Einsätze der deutschen und italienischen Kampfflugzeuge und Stuka wird Malta, das als Operationsbasis für die feindlichen Luft- und Seestreitkräfte im Mittelmeer dienen sollte, niedergehalten.	01:05	01:16
77180	80860	Damit wird der Nachschubweg für unsere Truppen in Afrika gesichert.	01:17	01:20
80860	108130	Start gegen Malta. Die Anflugstrecke über das Mittelmeer beträgt rund 100 Kilometer.	01:20	01:48
123070	133520	Das ist Malta. Unter uns die schwer zugängliche und stark befestigte Küste.	02:03	02:13
134540	137240	Sturzangriff auf die militärischen Anlagen der Insel.	02:14	02:17
137740	197800	Auf diesen Flugplatz ging ein wahrer Bombenhagel nieder. Immer neue Geschwader fliegen die Insel an.	02:17	03:17
200100	202980	Bomben auf La Valletta, die Hauptstadt Maltas.	03:20	03:22
202980	223010	Starke Küstenfors sichern die Hafeneinfahrt.	03:22	03:43
223010	235600	Unaufhörlich liegt Malta im Bombenhagel der italienischen und deutschen Luftwaffe.	03:43	03:55
238180	245060	Die deutsche Befestigungslinie im Westen. Sie wird an der Nordsee, am Kanal und am Atlantik ständig verstärkt.	03:58	04:05
245060	257650	Diese Front aus Beton, Stahl und Eisen wird noch durch zahllose Stützpunkte der Infanterie ergänzt.	04:05	04:17
260740	262920	Alle Truppenunterkünfte sind gut getarnt.	04:20	04:22
266900	269960	Abwehrübungen in den Lünen halten die Truppe einsatzbereit.	04:26	04:29
277860	281940	Panzerjäger, Infanterie und Artillerie wirken auch hier eng zusammen.	04:37	04:41
281940	326730	Vorpostenboote klar zum Auslaufen.	04:41	05:26
327710	335070	Wie der Wehrmachtbericht meldete, trafen leichte Einheiten unserer Kriegsmarine in der letzten Zeit wiederholt auf britische Schnellboot- und Zerstörerverbände.	05:27	05:35
335650	341810	In allen Fällen gelang es, den Feind in überraschendem Angriff zurückzuwerfen und so von der Küste fernzuhalten.	05:35	05:41
355190	359050	Zerstörer und Torpedobote auf Sicherungsfahrt in der Straße von Dover.	05:55	05:59
376160	378300	Räumboote auf dem Marsch durch den Kanal.	06:16	06:18
379180	382560	So wird die europäische Westküste bis weit auf See hinaus gesichert.	06:19	06:22
383140	389040	Heer, Kriegsmarine und Luftwaffe stehen bereit, jedem Angriff des Feindes sofort entgegenzutreten.	06:23	06:29
399980	402740	Der Zug des Reichsmarschalls auf der Fahrt nach dem Osten.	06:39	06:42
403780	407300	Hinter der Lokomotive der Flakwagen zur Sicherung gegen Luftangriffe.	06:43	06:47
407780	427930	Der Reichsmarschall vor seinem Wagen.	06:47	07:07
428230	429770	Rechts Generalfeldmarschall Milch.	07:08	07:09
429770	435050	Links Reichsminister Speer, Generaloberst Jachschonek und General der Flieger Bodenschatz.	07:09	07:15
443150	444350	Im Führerhauptquartier.	07:23	07:24
444490	453090	Der Führer verlieh den Oberleutnanten Bauer und Klausen für ihren heldenhaften Einsatz als Jagdflieger an der Ostfront das Eichenlaub zum Ritterkreuz des Eisernen Kreuzes.	07:24	07:33
454310	456930	Oberleutnant Bauer schoss bisher 102 Gegner ab.	07:34	07:36
460570	463710	Oberleutnant Klausen, auch er, errang bereits 102 Luftsiege.	07:40	07:43
464410	467550	Der Reichsmarschall beglückwünscht seine erfolgreichen Flieger.	07:44	07:47
480250	485290	Der kaiserlich-japanische Botschafter in Berlin, General Oshima, besichtigt die Schlachtfelder im Osten.	08:00	08:05
493770	495430	Erklärung des Kampfverlaufes.	08:13	08:15
524920	525860	An der Wolkhoffront.	08:44	08:45
531730	537790	Generalfeldmarschall Küchler, der Oberbefehlshaber der Heeresgruppe Nord, trifft auf einem Feldflughafen an der Wolkhoffront ein.	08:51	08:57
543340	545320	Generalgraf Brockdorf-Allefeld.	09:03	09:05
555280	557160	Lagebesprechung in einem Stabsquartier.	09:15	09:17
557440	558920	Rechts Generaloberst Lindemann.	09:17	09:18
558920	565270	Reserven rücken heran. Sie sollen die Front am Wolkhoff verstärken.	09:18	09:25
613180	615760	Essenempfang für die Kameraden in der Hauptkampflinie.	10:13	10:15
623640	626020	Am Wolkhoff. In den Gräben steht das Grundwasser.	10:23	10:26
626540	629560	Gerade hier am Wolkhoff ist der Kampf besonders hart und erbittert.	10:26	10:29
629960	634820	Es gilt, den Nordflügel der Ostfront gegen einen an Zahl und Material überlegenen Feind zu halten.	10:29	10:34
634820	639200	Die Sowjets rennen immer wieder mit stärksten Kräften gegen die deutschen Linien an.	10:34	10:39
655200	658180	Wo es möglich ist, werden die Stellungen ausgebaut und verbessert.	10:55	10:58
664900	667520	Hier wird ein bombensicherer Unterstand angelegt.	11:04	11:07
680440	681640	In einer Beobachtungsstelle.	11:20	11:21
684500	688200	Feuer der sowjetischen Artillerie. Die Bolschewisten bereiten einen neuen Angriff vor.	11:24	11:28
688720	720980	Infanterie wartet auf den Feuerbefehl.	11:28	12:00
721320	725010	Komm so weit.	12:01	12:05
729410	729990	Feuer frei.	12:09	12:09
730410	757560	Zahlreiche Granatwerfer greifen in den Kampf ein.	12:10	12:37
758000	781010	Die Sowjets dicht vor unseren Gräben.	12:38	13:01
781010	811000	Unmittelbar vor den deutschen Stellungen brach ihr Angriff zusammen.	13:01	13:31
818190	822510	Artillerie nimmt ein Dorf unter Feuer, in dem sich die Sowjets zu neuem Vorstoß sammeln.	13:38	13:42
842910	843950	Lettische Freiwillige.	14:02	14:03
856590	858070	Waffen-SS in Bereitstellung.	14:16	14:18
858290	860430	Die Ortschaft soll im Gegenangriff genommen werden.	14:18	14:20
874280	876440	Stoßtrupps arbeiten sich an das Dorf heran.	14:34	14:36
876860	889500	In erbittertem Gefecht wird der Feind zurückgeworfen.	14:36	14:49
897120	898360	Über dem Wolkhoff-Gebiet.	14:57	14:58
898640	903000	Sumpfige Wiesen und dichter Buschwald, der das Gelände unübersichtlich und schwer zugänglich macht.	14:58	15:03
903000	906940	Gut ausgebaute sowjetische Feldstellungen, die im Sturm genommen wurden.	15:03	15:06
909000	910500	Ein Panzergraben der Sowjets.	15:09	15:10
914240	916800	Zwischen den einzelnen Gräben zahlreiche Schützenlöcher.	15:14	15:16
920140	921500	Verschossene schwere Bunker.	15:20	15:21
926170	928170	Hier stand ein heiß umkämpftes Dorf.	15:26	15:28
928250	929870	Man erkennt kaum noch die Grundmauern.	15:28	15:29
943220	944140	Eine Bahnstation.	15:43	15:44
944140	948600	Zerstörte Güterzüge und Geschütze zeugen von dem Vernichtungswerk unserer Flieger.	15:44	15:48
959090	961470	Gefangene Bolschewisten werden nach hinten gebracht.	15:59	16:01
962130	967690	Die Verluste der Sowjets an Menschen und Material sind auch hier an der Wolkhoff-Front außerordentlich hoch.	16:02	16:07
980460	982540	Auszeichnung verdienter Infanteristen.	16:20	16:22
983240	991940	Ihr zäher und entschlossener Einsatz am Nordabschnitt der Ostfront ist eine Voraussetzung für den siegreichen Sturm unserer Divisionen gegen Wolkhoff- und Kaukasus.	16:23	16:31
991940	1003020	Am mittleren Frontabschnitt.	16:31	16:43
1003480	1010380	In der Stellung eines Sturmbataillons.	16:43	16:50
1010820	1023490	Außen schlafen.	16:50	17:03
1025510	1031210	Ein Divisionskommandeur spricht zu den Soldaten eines Regiments, das an einem Brennpunkt der Abwehrkämpfe stand.	17:05	17:11
1031910	1043070	Wie im Norden der Ostfront, so versuchen die Bolschewisten auch hier, am mittleren Frontabschnitt die zerschlagenen Armeen Timoschenkos durch immer neue, mit starken Panzer- und Infanterieverbänden geführte Angriffe zu entlasten.	17:11	17:23
1043070	1056640	In vorderster Linie. Feindliche Artillerie-Einschläge.	17:23	17:36
1057160	1073650	Unsere Batterien antworten. Ein Blick durch das Scherenfernrohr. Die sowjetischen Panzer greifen an.	17:37	17:53
1093290	1093670	Treffer.	18:13	18:13
1099700	1104380	Der feindliche Angriff ist zum Stehen gebracht. Sturmpioniere bereit zum Gegenstoß.	18:19	18:24
1107580	1113520	Durch künstlichen Nebel gedeckt gehen sie gegen ein Dorf vor, das immer wieder zum Ausgangspunkt feindlicher Unternehmungen wurde.	18:27	18:33
1124620	1126560	Dort hinten die Häuser in hellen Flammen.	18:44	18:46
1126560	1141480	Auch hier wird in erbittertem Ringen die Ortschaft genommen und zugleich eine Verbesserung der eigenen Front erreicht.	18:46	19:01
1159110	1162350	Wenige Meter vor den deutschen Stellungen zerschossene Sowjetpanzer.	19:19	19:22
1162790	1166070	Unsere Panzerjäger ließen sie bis auf kürzeste Entfernung herankommen.	19:22	19:26
1166530	1194390	Allein diese Geschützbedienung schoss innerhalb von nur zwei Kampftagen elf schwere Panzer ab.	19:26	19:54
1195110	1196590	Die Abschussringe werden angemalt.	19:55	19:56
1202440	1206220	Der Kompaniechef überreicht dem Geschützführer das Eiserne Kreuz erster Klasse.	20:02	20:06
1206220	1219220	Am Südabschnitt der Ostfront.	20:06	20:19
1228700	1231320	Italienische Truppen im Norden des großen Donnbogens.	20:28	20:31
1231600	1239420	Feindliche Kräfte, die über den Donn vorgestoßen sind, werden von italienischen und deutschen Verbänden in umfassendem Angriff gepackt und aufgerieben.	20:31	20:39
1243340	1245600	Am Horizont Einschläge unserer Artillerie.	20:43	20:45
1245940	1248600	Durch dichte Sperrfeuer wird den Sowjets der Rückzug verlegt.	20:45	20:48
1248600	1277180	Das mit Hügeln durchsetzte Kampfgelände bietet dem Feind gute Verteidigungsmöglichkeiten.	20:48	21:17
1284000	1287160	Mit Flammenwerfern werden feindliche MG-Nester ausgeräuchert.	21:24	21:27
1304700	1305860	Südlich des Donn.	21:44	21:45
1305940	1310440	Kampfflugzeuge vom Typ P111 im Angriff auf rückwärtige Verkehrswege der Sowjets.	21:45	21:50
1313590	1318010	Bomben auf die Eisenbahnlinie, die das Kaspische Meer mit dem Schwarzen Meer verbindet.	21:53	21:58
1330120	1332960	Hier haben unsere Stuka und Kampfflieger zugeschlagen.	22:10	22:12
1332960	1348440	Diese feindlichen Panzeransammlungen wurden von den Bomben unserer Kampfgeschwader vernichtet.	22:12	22:28
1371510	1375770	Eine Vorausabteilung der Division Großdeutschland im Vorstoß nach Süden.	22:51	22:55
1376490	1381410	Endlos dehnt sich die völlig baum- und schattenlose Steppe zwischen Donn und Kuban.	22:56	23:01
1384660	1385480	Die Spitze halbt.	23:04	23:05
1385720	1389040	Sowjetpanzer versuchen in die Flanke der deutschen Vorausabteilung einzubrechen.	23:05	23:09
1392630	1394390	Flak-Artillerie schlägt den Feind zurück.	23:12	23:14
1397530	1400430	Dieser Sowjetpanzer wurde in direktem Beschuss erledigt.	23:17	23:20
1403450	1405130	Weiter geht es nach Süden.	23:23	23:25
1405810	1409850	Sengende Hitze bis über 50 Grad liegt über den verstaubten Straßen.	23:25	23:29
1416500	1419380	Die schwarze Erde südlich des Donn trägt reiche Frucht.	23:36	23:39
1433510	1435630	Ein Nebenfluss des Donn sperrt den Weg.	23:53	23:55
1439430	1442050	Nach überraschendem Angriff ist ein Brückenkopf gebildet.	23:59	24:02
1457390	1460230	Schwere Waffen und Fahrzeuge werden mit Fähren übergesetzt.	24:17	24:20
1480680	1484180	Dritter Kreuzträger Major von Usedom, der Kommandeur der Kampfgruppe.	24:40	24:44
1489690	1494190	Und hier der Vorstoß unserer Verbände nach Osten zwischen Donn und Saal.	24:49	24:54
1494790	1496550	Grenadiere nehmen eine Ortschaft.	24:54	24:56
1496550	1503890	Feindliche Nachhuten haben sich erneut festgesetzt.	24:56	25:03
1504310	1507770	In hartem, rücksichtslosen Zuschlagen wird auch dieser Widerstand gebrochen.	25:04	25:07
1507950	1529100	Feuer auf einen feindlichen Transportzug, hinter dem die Bolschewisten Deckung suchen.	25:07	25:29
1540360	1542060	Volltreffer in einen Tankwagen.	25:40	25:42
1548800	1550760	Die Spitze hat sich an den Bahndamm herangekämpft.	25:48	25:50
1550760	1560780	Die Grenadiere sind abgesprungen.	25:50	26:00
1561040	1562940	In kühnem Ansturm wird der Feind geworfen.	26:01	26:02
1638440	1639620	Kurze Kampfpause.	27:18	27:19
1640440	1642640	Jede Minute der Ruhe wird ausgenutzt.	27:20	27:22
1660030	1662530	Und hier der Vorstoß zum Manich.	27:40	27:42
1662870	1665090	Der Grenze zwischen Europa und Asien.	27:42	27:45
1665090	1701160	Weiter geht es dem geschlagenen Feinde nach, dem Kaukasus entgegen.	27:45	28:21
