start	end	text	start_mm:ss	end_mm:ss
49680	55260	Oberbefehlshaber des Heeres, Generalfeldmarschall von Brauchitsch, besuchte die im Süden der Ostfront eingesetzten Armeen.	00:49	00:55
55740	61540	In der Mitte Ritterkreuzträger Generaloberst Ritter von Schobert, der bei den Kämpfen im Südabschnitt den Heldentod fand.	00:55	01:01
62100	67820	Ritter von Schobert führte im Kampf gegen Polen und im West- und Ostfeldzug seine Truppen von Sieg zu Sieg.	01:02	01:07
71450	75950	Besuch des Reichsmarschalls Hermann Göring im Hauptquartier des Oberbefehlshabers des Heeres.	01:11	01:15
75950	99710	Vortrag über den Einsatz der Pioniere.	01:15	01:39
99710	163930	Im hohen Norden der Ostfront. Strukas vom Typ U87 starten zum Angriff auf rückwärtige Verbindungen der Sowjets im Raume von Murmansk.	01:39	02:43
169750	171690	Treffer auf eine Kriegsbrücke der Sowjets.	02:49	02:51
173570	179100	Neuer Anflug. Wieder sitzen die Bomben haargenau im Ziel.	02:53	02:59
189400	192840	Weitere Brücken der Sowjets werden angegriffen und mit voller Wirkung getroffen.	03:09	03:12
194660	198280	Riesige Wasser- und Erdfontänen kennzeichnen das Zerstörungswerk.	03:14	03:18
198280	213780	Im Süden der finnischen Front. Das ist Viipuri, die alte finnische Hafenstadt am Westrand der karelischen Landecke.	03:18	03:33
214360	218960	Finnische Truppen im Stoß auf Viipuri. Artillerie breitet den Angriff über einen Fluss vor.	03:34	03:38
238610	248580	Sturmpioniere setzen über. Im feindlichen Artilleriefeuer geht es vorwärts.	03:58	04:08
275600	278180	Das jenseitige Ufer ist erreicht und wird freigekämpft.	04:35	04:38
289760	292360	Panzerjäger. Sie zertrümmern sowjetische Bunker.	04:49	04:52
292360	316290	Radsperren werden beseitigt. Immer näher geht es an Viipuri heran.	04:52	05:16
316510	319670	Bolschewistische Widerstandsnester am Rande der Stadt werden niedergekämpft.	05:16	05:19
345020	347300	Die Infanteriespitze dringt in Viipuri ein.	05:45	05:47
347840	350400	Straße um Straße muss in erbitterten Kämpfen genommen werden.	05:47	05:50
362370	367130	Erst nach zwei Tagen war Viipuri von den Bolschewiken gesäubert und fest in finnischer Hand.	06:02	06:07
367130	373330	Die Sowjets haben dem Befehl Stalins gemäß auch die Hauptstadt Kareliens fast völlig zerstört.	06:07	06:13
