start	end	text	start_mm:ss	end_mm:ss
46960	51100	In Venedig fand der Kongress der Union Nationaler Journalistenverbände statt.	00:46	00:51
54160	61460	Auf dem Wege zum Dogenpalast, in der Mitte, Reichspressechef Dr. Dietrich rechts von ihm der italienische Minister für Volkskultur Pavolini.	00:54	01:01
63830	68690	Im Dogenpalast, an diesem Kongress, nahmen die Vertreter von 13 europäischen Nationen teil.	01:03	01:08
69190	71470	Japan hatte eine Sonderdelegation entsandt.	01:09	01:11
71470	77210	Den Höhepunkt des Kongresses bildeten die Ansprachen von Minister Pavolini und Reichspressechef Dr. Dietrich.	01:11	01:17
77210	83510	Minister Pavolini erklärte, dass unser Journalismus ein Instrument der Völker und ihrer Ideale sei.	01:17	01:23
84050	88070	Bei unseren Feinden sei er ein Instrument der Plutokratie und ihrer Interessen.	01:24	01:28
92300	98800	Dr. Dietrich überbrachte die Grüße des Führers und würdigte den Kongress als eine bedeutsame Kundgebung des geistigen Europa	01:32	01:38
98800	102060	im Kampf gegen die Mächte des Rückschritts und der Völkerverhetzung.	01:38	01:42
106720	110840	Eröffnung des europäischen Studenten- und Frontkämpfertreffens im Dresdner Rathaus.	01:46	01:50
110840	117820	Reichsstudentenführer, Reichsstadthalter Dr. Scheel, der Gauleiter von Salzburg begrüßt die studentischen Vertreter aus 16 Nationen.	01:50	01:57
118360	126100	Zahlreiche Ehrengäste aus dem Hochschulleben des In- und Auslandes an ihrer Spitze Reichsminister Rust und Reichsstadthalter Mutschmann, wohnten diesem Treffen bei.	01:58	02:06
128810	132730	In den Hörsälen der Dresdner Technischen Hochschule sprachen namhafte Wissenschaftler	02:08	02:12
132730	138170	und studentische Führer verschiedener Nationen über den Beitrag des Studententums zum Neubau Europas.	02:12	02:18
138170	151880	In Berlin wurden Teilnehmer des Treffens, die zurzeit als Soldaten ausländischer freiwilligen Verbände an der Ostfront stehen von Reichsminister Dr. Goebbels empfangen.	02:18	02:31
166310	167470	Reichstagssitzung in Berlin.	02:46	02:47
187980	191660	Eine Ehrenkompanie der Waffen-SS grüßt den Führer bei seiner Ankunft.	03:07	03:11
218730	219830	Der Führer spricht.	03:38	03:39
220590	227910	In seiner Rede gab er einen Bericht über die gewaltigen Winterkämpfer an der Ostfront deren Härte nur der er messen könne, der sie selbst miterlebte.	03:40	03:47
227910	240570	Der Führer sagte, dass es uns gelungen ist, die drohende Katastrophe restlos zu meistern verdanken wir ausschließlich der Tapferkeit, der treue und übermenschlichen Leidensbereitschaft unserer brafen Soldaten.	03:47	04:00
241290	250490	Zahllose, namenlose Helden haben in Todesmut und Einsatzbereitschaft unvergängliche Ruhmestaten vollbracht die in der Geschichte unseres Volkes weiterleben werden.	04:01	04:10
251090	253130	Alle haben ihre höchste Pflicht getan.	04:11	04:13
253650	256910	An der Spitze aber steht wieder die deutsche Infanterie.	04:13	04:16
256910	276890	Im weiteren Verlauf seiner Rede betonte der Führer dass sich die Heimat diesen unvergleichlichen Leistungen der Front würdig erweisen müsse.	04:16	04:36
277370	279810	Jeder müsse wissen, dass es heute nur Pflichten gäbe.	04:37	04:39
280330	286310	Front und Heimat hätten heute nur einem einzigen Gedanken zu gehorchen dem der Erringung des Sieges.	04:40	04:46
303040	306960	Der Führer erklärte, der Kampf im Osten wird seine Fortsetzung finden.	05:03	05:06
306960	311880	Der bolschewistische Koloss wird von uns so lange geschlagen werden, bis er zertrümmert ist.	05:06	05:11
312320	314900	In diesem Kampf wird am Ende die Wahrheit siegen.	05:12	05:14
314900	316440	Sie aber ist bei uns.	05:14	05:16
340280	340880	Im Führerhauptquartier.	05:40	05:40
342080	346860	Offiziere des Heeres, die sich bei den Kämpfen an der Ostfront durch hervorragende Führung ihrer Verbände	05:42	05:46
346860	352820	und durch persönlichen Einsatz auszeichneten, erhalten aus der Hand des Führers das Eichenlaub zum Ritterkreuz.	05:46	05:52
352820	390830	Generalmajor Breit, Generalmajor Wessel, Generalmajor Eberbach, Oberst Specht, Oberst Hitzfeld, Großadmiral Raeder in St. Nazaire.	05:52	06:30
390830	395190	Besichtigung der U-Boot-Bunker, die von der Organisation Todt erbaut wurden.	06:30	06:35
395690	399170	Sie bieten unseren Unterseebooten Schutz selbst gegen schwerste Bomben.	06:35	06:39
407350	415990	Soldaten, die sich bei der erfolgreichen Abwehr des britischen Landungsversuches von St. Nazaire besonders hervortaten erhalten aus der Hand des Großadmirals das Eiserne Kreuz.	06:47	06:55
415990	430570	An der finnischen Front.	06:55	07:10
433600	441600	Wie der Wehrmachtbericht meldete, haben die finnischen Truppen an der Svirfront innerhalb von 10 Tagen 150 Angriffe der Sowjets abgewiesen.	07:13	07:21
442640	444720	Finnische Infanterie geht zum Gegenstoß vor.	07:22	07:24
445240	448300	Das Gelände muss von letzten Widerstandsnestern gesäubert werden.	07:25	07:28
449120	451940	Hier im hohen Norden herrscht zum Teil noch immer Frost.	07:29	07:31
451940	457900	Die Spitze dringt in eine Ortschaft ein.	07:31	07:37
472000	473040	Feindlicher Widerstand.	07:52	07:53
473280	475520	Die Bolschewiken gehen nur Schritt um Schritt zurück.	07:53	07:55
496110	497550	Panzerkampfwagen müssen nach vorn.	08:16	08:17
