start	end	text	start_mm:ss	end_mm:ss
11600	16060	Auch in Norwegen findet sich die aufbauwillige Jugend zum Arbeitsdienst zusammen.	00:11	00:16
16520	18040	Hier ein Arbeitsmeidenlager.	00:16	00:18
18600	24100	Eine Dienstpflicht besteht nicht, jedoch wird diese Organisation staatlich in stärkster Weise gefördert.	00:18	00:24
62910	74270	Nach dem Schiedsspruch von Wien, der zu einer neuen Grenzziehung zwischen Ungarn und Rumänien führte begann am 5. September der Einmarsch der ungarischen Wehrmacht in das von den Rumänen geräumte Siebenbürgen.	01:02	01:14
74270	80470	Die Honvets nahmen damit ein Gebiet wieder in Besitz, das ihnen im Vertrag von Trianon genommen worden war.	01:14	01:20
108810	112210	Der Reichsverweser Admiral von Horthy an der Spitze seiner Truppen.	01:48	01:52
113930	116850	Überall wird in Honvets ein festlicher Empfang bereitet.	01:53	01:56
137920	145420	Der Führer empfing den abgesandten General Frankos, Innenminister Serrano Sunier, zu einer längeren Aussprache in der neuen Reichskanzlei.	02:17	02:25
145420	157850	Unter Führung von Reichsführer SS Himmler besichtigte dann der Gast aus dem befreundeten Spanien	02:25	02:37
157850	161570	Formationen der SS-Leibstandarte Adolf Hitler und der Polizei.	02:37	02:41
162170	164290	Ein Zug SS-Männer in Tarnjacken.	02:42	02:44
172940	178580	Und hier zeigt Reichsorganisationsleiter Dr. Lai dem spanischen Innenminister die drei Volkswagen-Typen.	02:52	02:58
178580	206430	Der Falangista de Franco trae al Führer del Pueblo Alemán su Cariño y su Amistad y su Lealtad de ayer, de hoy y de siempre.	02:58	03:26
206430	215440	Der italienische Kolonialminister General Terruzzi weilte als Gast des Reichsstadthalters General Ritter von Epp in Deutschland.	03:26	03:35
215920	217100	Ankunft in München.	03:35	03:37
223280	229780	Von der Hauptstadt der Bewegung begab sich General Terruzzi nach Berlin, wo er am Reichsehrenmal einen Kranz niederlegte.	03:43	03:49
284980	287940	Anschließend wurde General Terruzzi vom Führer empfangen.	04:44	04:47
300440	304620	Im weiteren Verlauf seiner Reise besichtigte er die Schlachtfelder an der Westfront.	05:00	05:04
304620	322710	In Saarbrücken fand eine große Wiedersehensfeier der zurückgeführten Bevölkerung in Anwesenheit von Reichsminister Dr. Todt und Gauleiter Birkel statt.	05:04	05:22
326350	332570	Das sind Männer der Organisation Todt, die für tapferes Verhalten beim Arbeitseinsatz mit dem Eisernen Kreuz ausgezeichnet wurden.	05:26	05:32
333650	343650	Nach der Feierstunde auf dem Befreiungsfeld marschierten die teilnehmenden Abordnungen von Wehrmacht, Partei, Organisation Todt und Reichsarbeitsdienst im Festzuge durch die Stadt.	05:33	05:43
343650	378450	Die Westwallarbeiter führten Festwagen, die den Bau von Bunkern darstellen, im Zuge mit.	05:43	06:18
412870	414650	Flugschare werden geschnitten.	06:52	06:54
415310	422090	Die Bereitstellung von landwirtschaftlichen Maschinen ist eine der wichtigsten Aufgaben im Rahmen der Intensivierung unserer Bauernwirtschaft.	06:55	07:02
423050	428610	Auch für die landwirtschaftliche Erschließung der neuen Ostgebiete kommt diesen Arbeiten besondere Bedeutung zu.	07:03	07:08
429390	433430	Die geschnittenen Rohlinge werden in einem Ofen erhitzt, gewalzt und geschmiedet.	07:09	07:13
433430	466290	Flugschare erhalten den letzten Schrift.	07:13	07:46
469260	470600	Flüge werden montiert.	07:49	07:50
473890	476170	Das Farbbad ersetzt den Anstrich.	07:53	07:56
489540	494360	In einer anderen Abteilung des Werkes werden Drillmaschinen hergestellt, die der Bauer zum Sehen braucht.	08:09	08:14
511180	519760	Trotz des Krieges werden die Qualitätserzeugnisse unserer Elektroindustrie in der ganzen Welt verlangt und zum Teil wie im Frieden geliefert.	08:31	08:39
519760	526720	Ein 500.000 Kilowatt-Turbinengenerator, der für ein ausländisches Großkraftwerk bestimmt ist, wird montiert.	08:39	08:46
527280	531180	Der Aufsatzdeckel wird mit Hilfe von Kränen herangebracht und aufgesetzt.	08:47	08:51
537960	539740	Der Rotor wird eingesetzt.	08:57	08:59
542310	548330	Die Dampfturbine arbeitet mit 80 Atmosphären Druck und macht 3000 Umdrehungen in der Minute.	09:02	09:08
548330	553430	Dabei legen die äußersten Schaufelspitzen einen Weg von 1400 Kilometer pro Stunde zurück.	09:08	09:13
553930	556270	Das ist die Entfernung von Berlin bis Genua.	09:13	09:16
558700	560240	Das ist die erste Mine.	09:18	09:20
560740	562880	Ein mit Schwarzpulver gefülltes Bierfass.	09:20	09:22
563640	566940	Sie wurde von Werner von Siemens und Professor Himmly konstruiert.	09:23	09:26
568320	572100	Heute ist die Mine eine der wichtigsten Waffen des modernen Seekrieges geworden.	09:28	09:32
572760	578220	Die immer neue Verminung der englischen Häfen im Zuge der totalen Blockade ist der beste Beweis dafür.	09:32	09:38
578220	584040	Ein Werkmuseum zeigt die Entwicklung bis zum heutigen modernsten Gerät.	09:38	09:44
595300	598320	Ein mit Säure gefülltes Glas wird in eine Bleikapsel gesteckt.	09:55	09:58
598880	604940	Diese wird beim Zusammenstoß mit einem Schiff zerstört, wobei sich durch Auslaufen der Flüssigkeit die Mine auslöst.	09:58	10:04
606720	609040	Arbeiterinnen beim Lackieren von Bleikapseln.	10:06	10:09
609780	627760	Die Sprengladung wird eingebaut.	10:09	10:27
641870	642890	Einsetzen der Zündelemente.	10:41	10:42
651090	653150	Für den Seekrieg gegen England.	10:51	10:53
656240	657080	Minenleger unterwegs.	10:56	10:57
657080	665490	Die Minen werden scharf gemacht.	10:57	11:05
679030	682090	Mit den besten Wünschen versehen fertig zum Legen.	11:19	11:22
