start	end	text	start_mm:ss	end_mm:ss
7860	14580	Thomas trägt mit ernster Miene eine Kerze in der Hand.	00:07	00:14
16180	28870	Zum Fenster, hinter die Gardine, von dort zur Tür entlang der Wand.	00:16	00:28
28870	38500	Er suchet Luft, er suchet Wind, die kalt und deshalb stören sie.	00:28	00:38
40080	44920	Wer ihn so durch die Tür erblickt, der hält ihn für total verrückt.	00:40	00:44
44920	52280	Thomas aber konstatiert, seinerseits ganz ungeniert, überall brennt still das Licht.	00:44	00:52
52900	59540	Zugluft kennt das Zimmer nicht, Wärme nicht nach draußen flüchtet, weil hier alles abgedichtet.	00:52	00:59
60280	64060	Und voll Spannung tritt er dann an den Ofenplatz heran.	01:00	01:04
66110	70810	Schon fährt die kluge Flammenspitze entlang der Tür und Kachelritze.	01:06	01:10
70810	75550	Hier und hier, man glaubt es nicht, verschwindet fast das Kerzenlicht.	01:10	01:15
75550	79590	Hoch dich jetzt, ich weiß genug, Frau Schmoller sehen Sie hier den Zug.	01:15	01:19
81390	87910	Am Fenster nicht, nicht an der Tür, jedoch allein am Ofen hier herrscht unerlaubter Luftverkehr.	01:21	01:27
88310	89870	Strömt Luft hinein.	01:28	01:29
90090	91570	Hier, bitte sehr.	01:30	01:31
92590	97450	Am Ofen heißt das falsche Luft, durch die die Wärme schnell verpufft.	01:32	01:37
97450	99350	Sie wollen fragen, was jetzt wird.	01:37	01:39
99710	101990	Die Ritze, die wird zugeschmiert.	01:39	01:41
102550	106470	Eine Schürze bitte und auch Lehm, auch Ofenkitt ist angenehm.	01:42	01:46
107290	109410	Die Schmoller rennt und holt's herbei.	01:47	01:49
109830	112210	Im Film ist's keine Hexerei.	01:49	01:52
115370	117790	Ihr holt den Lehm beim Töpfersband.	01:55	01:57
117790	121310	Und macht es so, wie's jeder kann.	01:57	02:01
121870	126690	Die Schürze schützt das Hosenbein und wie man sieht, bleibt alles rein.	02:01	02:06
127590	132430	Wie's hier war, ist's in manchem Haus zur großen Freude.	02:07	02:12
133390	134650	Oh, Lenklaus.	02:13	02:14
135590	137530	Halt dir den Spiegel vors Gesicht.	02:15	02:17
