start	end	text	start_mm:ss	end_mm:ss
53330	58660	Kriegsschauplatz Nordafrika. Auf einem Feldflugplatz auf Kreta.	00:53	00:58
59420	63920	Transportflugzeuge vom Typ Ju 52 werden mit Nachschub für Nordafrika beladen.	00:59	01:03
66740	68720	Die letzte Erfrischung auf europäischem Boden.	01:06	01:08
75450	77830	In schnellem Flug geht es über das Mittelmeer.	01:15	01:17
79950	84310	Schwere Waffen und stärkere Truppenverbände werden durch Geleitzüge nach Nordafrika gebracht.	01:19	01:24
90180	91420	Zeitvertreib an Bord.	01:30	01:31
94820	97100	100 Worte Italienisch gegen 100 Worte Deutsch.	01:34	01:37
97240	104850	Über dem Hafen von Tobruk.	01:37	01:44
104850	110790	Zwischen den einlaufenden Einheiten der deutschen und italienischen Kriegsmarine die Wracks versenkter britischer Schiffe.	01:44	01:50
119750	120930	Landung in Afrika.	01:59	02:00
126790	128450	Wasser ist hier sehr kostbar.	02:06	02:08
131760	136240	Von Tobruk geht es über eine Strecke von rund 600 Kilometern nach El Alamein.	02:11	02:16
141900	147620	Verbände der deutschen und italienischen Luftwaffe sichern die Nachschubkolonnen gegen überraschende feindliche Angriffe.	02:21	02:27
150190	150990	Die Via Balbia.	02:30	02:30
157810	158450	Barbia.	02:37	02:38
163590	166070	Solum, der erste Hafen auf ägyptischem Boden.	02:43	02:46
166070	173890	Über die Serpentinen des Halfaya-Passes führt der Weg nach Sidi El Barani.	02:46	02:53
174330	187970	Der Fahrzeug reißt nicht mehr ab.	02:54	03:07
188250	190770	Der Nachschub vollbringt hier außerordentliche Leistungen.	03:08	03:10
191190	231090	Gut ausgebaute Stellungen im Vorfeld der Festung Masa Matruk.	03:11	03:51
231550	236210	Sie wurde trotz erbitterter Verteidigung von den deutsch-italienischen Verbänden in kühnem Sturm genommen.	03:51	03:56
236690	241300	Gehnester und Schützenlöcher.	03:56	04:01
242340	250050	Diese Grabensysteme sollten die Zugänge nach Masa Matruk sperren.	04:02	04:10
250050	268680	Hinter dem Panzergraben schwere Eisen- und Radhindernisse.	04:10	04:28
281740	284020	Das ist der Bahnhof der ägyptischen Küstenbahn.	04:41	04:44
289000	295620	Über 6000 Briten, die bei den harten Kämpfen um Masa Matruk gefangen genommen wurden, warten auf ihren Abtransport.	04:49	04:55
296060	311450	Hier wird jetzt deutsch gesprochen.	04:56	05:11
322680	326680	Über die Bahnlinie von Masa Matruk aus rollt der Nachschub weiter nach Osten.	05:22	05:26
327140	328880	Der El Alamein Front entgegen.	05:27	05:28
328880	335840	Dort haben die Briten zum Schutz des Nil-Deltas stärkste festungsartig ausgebaute Abwehrstellungen bezogen.	05:28	05:35
336240	391280	An der Kanalküste.	05:36	06:31
391760	407110	Dort drüben liegt die Steilküste von Dover.	06:31	06:47
407810	410270	Die Geschütze sind in jeder Minute feuerbereit.	06:47	06:50
410650	427770	Britische Bomber versuchen einzufliegen.	06:50	07:07
428030	429490	Starker Jagdschutz begleitet sie.	07:08	07:09
430030	469740	Abgeschossen.	07:10	07:49
470180	473080	Fehl an die Jäger.	07:50	07:53
473520	477760	Sie sollen die britischen Bomber in schneller Verfolgung packen und über den Kanal zurückjagen.	07:53	07:57
478720	480940	Jagdflugzeuge vom Typ Hockewulf 190.	07:58	08:00
