start	end	text	start_mm:ss	end_mm:ss
43380	53120	Budapest wurde der Sohn und Stellvertreter des Reichsverwesers, Stefan von Horthy, der im Kampf gegen den Bolschewismus den Fliegertod fand, in feierlichem Staatsakt beigesetzt.	00:43	00:53
53120	67110	Die Trauerfeier im Parlamentsgebäude. Reichsaußenminister von Ribbentrop, der Führer der deutschen Sonderdelegation, legt den Kranz des Führers nieder.	00:53	01:07
67110	91790	Links Generalfeldmarschall Keitel, die Grenze Italiens, der italienische Außenminister Graf Ciano, die Führer und Glieder der ausländischen Delegationen.	01:07	01:31
92050	120790	Rechts der Reichsverweser Nikolaus von Horthy, feierlicher Trauerzug durch die Straßen von Budapest. Hinter dem Sarg der Reichsverweser mit seiner Gemahlin und der Gattin des Gefallenen.	01:32	02:00
120790	147870	In einem Nachschublager unseres Afrika-Kors an der Südküste Griechenlands. Hier wohnen Berliner Jungs.	02:00	02:27
149150	173520	Verpflegung für den Flug nach Afrika. Abmarsch zu den Transportmaschinen. Jeder Soldat bekommt eine Schwimmweste.	02:29	02:53
190040	204420	Der Kompaniehund bleibt bei seiner Einheit. Italienische Transportflugzeuge.	03:10	03:24
208980	228440	Randung in Afrika. Dieses Transportgeschwader feiert seinen 15.000. Einsatz.	03:28	03:48
228440	247080	Italienische Infanterie. Die gelandeten Verbände werden zur El Alamein-Front in Marsch gesetzt.	03:48	04:07
250800	253660	Deutsche Jäger kehren von erfolgreichem Feindflug zurück.	04:10	04:13
257580	266360	Oberleutnant Marseille. Er errang bisher 125 Luftsiege und schoss kürzlich an einem einzigen Tage 16 Dritten über Afrika ab.	04:17	04:26
267000	271840	Der Führer verlieh ihm als vierten Soldaten der deutschen Wehrmacht das Eichenlaub mit Schwertern und Brillanten.	04:27	04:31
272480	274440	Die höchste deutsche Tapferkeitsauszeichnung.	04:32	04:34
274440	278740	Generalfeldmarschall Rommel und Generalfeldmarschall Kesselring.	04:34	04:38
282000	285180	Marschall Cavalero, der Chef des italienischen Generalstabes.	04:42	04:45
291660	294120	Rechts der italienische Marschall Bastico.	04:51	04:54
308580	312180	Vormarsch zur Oase Shiva, tief im Süden der ägyptischen Front.	05:08	05:12
313080	314180	Italienische Einheiten.	05:13	05:14
330230	331830	Das Jahrtausende alte Shiva.	05:30	05:31
341300	346040	Deutsche und italienische Truppen rücken in die von den Italienern genommene Wüstenstadt ein.	05:41	05:46
346040	353340	Shiva war ein wichtiger Stützpunkt der britischen Luftwaffe und ein bedeutender Eckpfeiler der Verteidigungslinie von Marsa Matruc.	05:46	05:53
368460	369860	Der italienische Befehlshaber.	06:08	06:09
369860	379220	Die Zugänge zu der rund 80 Kilometer langen, sehr fruchtbaren Oase werden sofort in Verteidigungszustand gesetzt.	06:09	06:19
393670	395950	Empfang bei den 18 Scheiks von Shiva.	06:33	06:35
406070	408010	Nach dem Festessen ein Mokadubel.	06:46	06:48
414010	419310	Scheik Ali, der reichste Bewohner der Oase, verkauft unseren Soldaten köstliche Shiva-Trauben.	06:54	06:59
419970	422830	Sie bilden eine willkommene Ergänzung für die Truppenverpflegung.	06:59	07:02
433460	434360	An der Sonnenquelle.	07:13	07:14
442160	444160	Hinein in das Bad der Kleopatra.	07:22	07:24
449580	453060	Schon im grauen Altertum war dieses Bad als Heilquelle berühmt.	07:29	07:33
459570	460270	Im Osten.	07:39	07:40
465390	469990	Der Reichsmarschall begrüßt verwundete Soldaten, die sich auf dem Weg in die Heimat befinden.	07:45	07:49
518500	520220	Am mittleren Abschnitt der Ostfront.	08:38	08:40
524520	527560	Die Hauptkampflinie ist ständig in Alarmbereitschaft.	08:44	08:47
527560	533680	Trotz schwerer Verluste an Menschen und Material, rennen die Sowjets immer wieder vergeblich gegen die deutschen Stellungen an.	08:47	08:53
537410	538470	Lagebesprechung an der Front.	08:57	08:58
557690	563190	In dem zerstörten Theater einer Stadt am mittleren Frontabschnitt ist eine Beobachtungsstelle der Artillerie eingerichtet.	09:17	09:23
565800	567120	Der Feind kann einsehen.	09:25	09:27
580670	585110	Von hier aus wird das Artilleriefeuer auf die Sowjets gelenkt, die sich zu neuem Angriff sammeln.	09:40	09:45
610080	611300	Dort in den dichten Waldungen.	10:10	10:11
611880	629970	Ständliche Panzer.	10:11	10:29
630150	631630	Flak-Artillerie schlägt sie zurück.	10:30	10:31
631630	660280	So sieht es vor unseren Linien am mittleren Frontabschnitt aus.	10:31	11:00
667660	669320	Der Kampf um Stalingrad.	11:07	11:09
672880	678540	Auf den Nachschubstraßen im großen Donnbogen rollen in endlosen Kolonnen immer neue Divisionen heran.	11:12	11:18
695270	700370	Rechtzeitiges Reinigen der Filter verhütet schwere Pannen, die zu längeren Zwangspausen führen könnten.	11:35	11:40
710320	714960	So geht es seit Wochen in anstrengenden Märschen durch den Staub der russischen Steppe hindurch.	11:50	11:54
714960	725870	Bei einer Rast gilt die erste Fürsorge den Pferden, die mit unseren Soldaten willig und treu alle schweren Strapazen teilen.	11:54	12:05
726550	728650	Pferdeschwemme in einem Nebenfluss des Donn.	12:06	12:08
755040	757420	Auch ein Versuch zur Produktionssteigerung.	12:35	12:37
763310	765190	Heute gibt es Brathähnl.	12:43	12:45
774800	776340	Es geht weiter vorwärts.	12:54	12:56
776700	781700	Unsere Infanterie legt hier täglich bis zu 60 Kilometer marschierend und kämpfend zurück.	12:56	13:01
782180	798630	Ein Panzerregiment im Vorrücken auf den östlichen Donn.	13:02	13:18
798630	819960	Auf einer Pontonbrücke wird der heiß umkämpfte Fluss in Richtung Stalingrad überschritten.	13:18	13:39
841330	845910	Gefangene Bolschewisten müssen ihre Waffen selbst zur Sammelstelle diesseits des Donn bringen.	14:01	14:05
887130	893730	Stuka starten zum Angriff auf feindliche Bunkerlinien, die nordwestlich von Stalingrad den Zugang zur Volga sperren.	14:47	14:53
894130	949620	Das Panzerregiment tritt zu neuem Angriff an.	14:54	15:49
963050	964830	Artillerie greift in die Panzerschlacht ein.	16:03	16:04
970280	974460	Panzergrenadiere haben mit der blanken Waffe die Bolschewisten aus ihren Erdbunkern herausgeholt.	16:10	16:14
974460	1001460	In raschem Stoß geht es auf den Unterlauf der Volga zu.	16:14	16:41
