start	end	text	start_mm:ss	end_mm:ss
21100	28100	Nachschub für das deutsche Afrikakorps. Schwere Flakartillerie wird in einem süditalienischen Hafen verladen.	00:21	00:28
38960	66320	Die Mannschaften gehen an Bord, auf dem Wege nach Afrika. Zerstörer und Flugzeuge sichern den Geleitzug.	00:38	01:06
80320	84340	Nach dem Eintreffen in Afrika werden die Truppen sofort in Marsch gesetzt.	01:20	01:24
132090	139150	Vormarsch auf Agaila, das von den Engländern erbittert verteidigt wurde und erst nach hartem Kampf genommen werden konnte.	02:12	02:19
139150	153170	Auch hier Luftwaffeneinsatz zur Sicherung gegen überraschende Angriffe.	02:19	02:33
177520	192190	Flakartillerie geht in Stellung. Feuer auf angreifende englische Panzer vor Agaila.	02:57	03:12
196220	201300	Generalleutnant Rommel, der kommandierende General des deutschen Afrikakorps, leitet in vorderster Linie den Angriff.	03:16	03:21
226370	229510	Panzer und Infanterie warten auf den Befehl zum Gegenstoß.	03:46	03:49
241210	276060	Deutsche Panzer stoßen vor. Angriff auf Agaila, unserer Flakartillerie.	04:01	04:36
276060	322660	Die deutsche Flagge weht über dem Wüsten vor.	04:36	05:22
323060	332490	Die Flakartillerie werden sofort gegen englische Gegenangriffe gesichert.	05:23	05:32
332930	398740	Gefangene Engländer. Nach dem Verhör werden sie mit Transportflugzeugen nach hinten gebracht.	05:32	06:38
410420	413400	Weiter geht der Vormarsch nach Osten. Nächstes Ziel Benghazi.	06:50	06:53
427080	432520	Am 4. April wird dieser wichtigste Hafen der Zyrenaika von deutschen und italienischen Truppen genommen.	07:07	07:12
432520	441960	Schnelle Truppen des deutschen Afrikakorps als erste in Benghazi.	07:12	07:21
442600	447920	Auch auf afrikanischem Boden werden die Engländer geschlagen, wo unsere Soldaten sie treffen.	07:22	07:27
447920	462000	Die italienische Bevölkerung bereitet unseren Soldaten einen begeisterten Empfang.	07:27	07:42
538250	544530	Serbische Grenzbefestigungen und Bunker, die den Vormarsch der deutschen Truppen von der Steiermark nach Kroatien aufhalten sollten.	08:58	09:04
545010	546650	Sie waren in kurzer Zeit überwunden.	09:05	09:06
547250	551490	Die Eisenbahnlinie nach Marburg ist von den Serben an verschiedenen Stellen gesprengt worden.	09:07	09:11
551490	576990	Über die Grenze. Ein Stoßtrupp bildet die Spitze. Fast alle Brücken sind zerstört.	09:11	09:36
577610	581590	Kraftfahrzeuge und schwere Infanteriewaffen setzen mit Hilfe von Floßsäcken über.	09:37	09:41
604870	607890	Nachrichtenabteilungen halten die Verbindung mit der vordersten Linie aufrecht.	10:04	10:07
623950	626490	Für unsere Soldaten gibt es kein Hindernis.	10:23	10:26
645140	647740	Auf dem Wege nach Marburg ist die Drau erreicht.	10:45	10:47
647980	651120	Auch hier sind sämtliche Übergänge von den Serben zerstört worden.	10:47	10:51
660600	662340	Floßsackfähren werden eingesetzt.	11:00	11:02
662340	680380	Die Infanterie setzt mit Sturmboten über.	11:02	11:20
706400	709760	Wenig später sind Pioniere zur Stelle und bauen neue Brücken.	11:46	11:49
726430	729530	Generaloberst Freiherr von Weix, der Führer der deutschen Nordarmee.	12:06	12:09
746810	749190	Vor uns Marburg, die alte deutsche Stadt.	12:26	12:29
749730	753830	Über 20 Jahre lebte hier die volksdeutsche Bevölkerung unter Fremdherrschaft.	12:29	12:33
766720	770680	Hier werden unsere Soldaten mit jubelnder Begeisterung als Befreier begrüßt.	12:46	12:50
770680	820500	Nach der Entwaffnung der serbischen Polizei übernehmen Marburger Volksdeutsche den Sicherheitsdienst in der Stadt.	12:50	13:40
868070	871290	Sofort helfen die Volksdeutschen unseren Pionieren.	14:28	14:31
871910	916160	In der fertiggestellte Brücke geht der Vormarsch sofort weiter.	14:31	15:16
931030	932050	Serbische Gefangene.	15:31	15:32
932050	966860	Stukas starten in endloser Reihe zur Niederkämpfung von Feldstellungen und Bergbunkern.	15:32	16:06
967420	1002010	Warten auf ihren Einsatz.	16:07	16:42
1002630	1035410	Nach der zermürbenden Vorbereitung der Stukas erzwingen die Sturmpioniere den Durchbruch.	16:42	17:15
1048110	1054910	Die Filmrichter der Propagandakompanien folgen den Stoßtrupps auf dem Fuße und halten einzigartige Kampfszenen im Bilde fest.	17:28	17:34
1054910	1088440	Stukas auf dem Fluge nach Nisch, einem der wichtigsten Verkehrsknotenpunkte Serbiens.	17:34	18:08
1088940	1115050	Hinter uns die Stadt Nisch.	18:08	18:35
1115630	1118530	Die militärischen Ziele der Stadt werden mit Bomben belegt.	18:35	18:38
