start	end	text	start_mm:ss	end_mm:ss
9810	17050	Ein Wort über die Kohlenversorgung. Die deutsche Erde birgt Milliarden und Abermilliarden Tonnen dieses kostbaren Gutes.	00:09	00:17
17730	19770	Hier die verschiedenen deutschen Kohlevorkommen.	00:17	00:19
21630	24810	Aber der wertvolle schwarze Diamant liegt tief unter der Erde.	00:21	00:24
25850	35330	Für den Wirtschaftsablauf sind jedoch nicht die Vorräte unter Tage entscheidend sondern allein die Mengen, die der Bergmann in unendlich harter, gefährlicher Arbeit dem Fels abbringt.	00:25	00:35
35830	39770	Er verzichtet dabei auf einen großen Teil der ihm zustehenden Freizeit.	00:35	00:39
40430	42610	Seine Einsatzbereitschaft ist vorbildlich.	00:40	00:42
43270	47450	Er weiß wie kaum ein anderer, dass es auf seine Arbeit besonders ankommt.	00:43	00:47
59970	63350	So wurde 1941 mehr Kohle gefördert als je zuvor.	00:59	01:03
63870	70750	Dieses Rekordergebnis wurde trotz aller kriegsbedingten Schwierigkeiten trotz vieler Luftalarme und trotz zahlreicher Eingerufungen erzielt.	01:03	01:10
71390	77550	Allein durch zusätzliche Sonn- und Feiertagsschichten sicherte der deutsche Bergmann ein Drittel unseres Hausbrandbedarfes.	01:11	01:17
77550	85590	Für diesen Hausbrand wurden vor dem Kriege alljährlich etwa 22,1 Prozent der gesamten Kohlenförderung benötigt.	01:17	01:25
86510	89670	Die Verkehrsbetriebe verbrauchten 9,8 Prozent.	01:26	01:29
93500	97720	Die Gas-, Wasser- und Elektrizitätswerke beanspruchten 10,6 Prozent.	01:33	01:37
97720	105080	Für die zum Einkauf lebenswichtiger Produkte aus dem Ausland dienende Kohlenausfuhr wurden 18,8 Prozent zur Verfügung gestellt.	01:37	01:45
105860	110800	Den größten Teil der geförderten Kohle verbrauchte mit 38,7 Prozent die Industrie.	01:45	01:50
110800	124880	Mit Beginn des Krieges stieg dieser Industriebedarf gewaltig an weil die für die deutsche Rüstung eingesetzten europäischen Produktionsstätten nun fast ausschließlich mit deutscher Kohle versorgt werden müssen.	01:50	02:04
130620	133540	Kohle ist der Grundstoff für unzählige Erzeugnisse.	02:10	02:13
134340	148200	Zum Beispiel Koks, Heilmittel, Teer, Farben, Leuchtgas, Treiböl, Süßstoff, Benzin, Zelluloid, Heizöl, Alkohol, Sprengstoffe, Buna, Kunstharze, Düngemittel, Kunstseide und Fette.	02:14	02:28
148200	158580	Es gibt kaum einen Industriezweig, in dem die Kohle nicht eine wichtige Rolle spielt.	02:28	02:38
159260	169100	Sie schafft nicht nur Energie und Wärme, sondern wird auch in riesigen Mengen zur Verhüttung von Erzen zur Gewinnung von Stahl und Eisen und vielen anderen Produkten gebraucht.	02:39	02:49
170220	177420	Aus Kohle gewinnen wir Buna und synthetische Treibstoffe, die uns von der Gummi- und Benzineinfluhr freimachen.	02:50	02:57
184590	189570	Diese Rohstoffbetriebe brauchen nicht nur Kohle, sondern auch erhebliche Mengen von elektrischem Strom.	03:04	03:09
190130	198050	Zum Beispiel ist der jährliche Stromverbrauch eines Aluminiumwerkes so groß wie der Gesamtstromverbrauch einer Großstadt von 500.000 Einwohnern.	03:10	03:18
198770	203830	Dieser Stromverbrauch eines einzigen Werkes erfordert alljährlich eine Steinkohlenzufuhr	03:18	03:23
203830	207830	von etwa 30.000 Eisenbahnwaggons zu je 15 Tonnen.	03:23	03:27
208390	213790	Die größten Aluminiumwerke benötigen sogar eine Kohlenzufuhr von über 50.000 Waggons.	03:28	03:33
214310	218290	Bedenkt, jede Tonne Eisen kostet ein und eine halbe Tonne Kohle.	03:34	03:38
219190	221710	Jede Tonne Benzin kostet sechs Tonnen Kohle.	03:39	03:41
227210	230090	Jede Kilowattstunde Strom kostet ein Kilo Kohle.	03:47	03:50
230550	233270	Das heißt also, ohne Kohle keine Rüstung.	03:50	03:53
233810	236110	Wenn Kohle fehlt, stehen alle Räder still.	03:53	03:56
239090	241610	Der Transport der Kohle von der Grube zum Verbraucher	03:59	04:01
241610	244530	stellt an die Deutsche Reichsbahn gewaltige Anforderungen.	04:01	04:04
244530	251240	Schon vor dem Kriege wurde die Hälfte aller Güterwagen für den Kohlentransport eingesetzt.	04:04	04:11
251720	256240	Jeder zweite Zug und jedes zweite Binnenschiff beförderte Kohle.	04:11	04:16
257880	260140	Diese ungeheure Beanspruchung der Transportmittel	04:17	04:20
260140	262480	ist durch den erhöhten Kohlenbedarf im Kriege noch gestiegen.	04:20	04:22
263240	270480	Da die Deutsche Reichsbahn heute vor allem die Militärtransporte durchzuführen hat darf und kann ihr Wagenpark nicht noch weiter belastet werden.	04:23	04:30
270840	274700	Darum gilt es, jedes Stück Kohle richtig auszunutzen.	04:30	04:34
276260	279620	Erdfeuer brennt zum Beispiel schlecht an, wenn die Roster verschmutzt sind.	04:36	04:39
281220	283360	Auch überfüllte Aschenkästen müssen geleert werden.	04:41	04:43
287040	289240	Ebenso dürfen die Ofenzüge nicht verstopft sein.	04:47	04:49
293620	296520	Noch während der Ofen brennt, muss die Asche vom Rost entfernt werden.	04:53	04:56
300680	305780	Aber niemals in der Glut herumstochern sonst fällt unverbrannte Kohle in den Aschenkasten und geht dadurch verloren.	05:00	05:05
308330	311130	Kohle, die nicht vollständig verbrannt ist, muss man aus der Asche lesen.	05:08	05:11
311510	313350	Kein Stückchen Kohle darf ungenutzt bleiben.	05:11	05:13
318880	321120	Auch richtiges Heizen will verstanden sein.	05:18	05:21
322900	328080	Beim Anheizen und Nachlegen braucht der Ofen viel Luft damit das Feuer kräftig aufflammt und nicht schwelt.	05:22	05:28
342490	344490	Der Rost muss gleichmäßig bedeckt werden.	05:42	05:44
344610	346210	Freie Stellen verschlechtern die Verbrennung.	05:44	05:46
346770	352990	Wenn der Brennstoff durchgeglüht ist muss die Luftzufuhr so sparsam wie möglich eingestellt werden damit nicht unnötig Kohle verbraucht wird.	05:46	05:52
353650	355830	Auch mit dem Nachlegen soll man rechtzeitig aufhören.	05:53	05:55
356290	360110	Nur so lange Glut im Ofen halten wie Feuer zum Kochen oder zum Wärmen gebraucht wird.	05:56	06:00
360110	362770	Vor allem aber haltet die Wärme im Haus.	06:00	06:02
363210	366730	Wenige Minuten Lüftung genügen meistens, wenn man sie öfter am Tage durchführt.	06:03	06:06
369360	371540	Fenster schließen allein genügt nicht.	06:09	06:11
371960	380380	Die Fensterfugen sollen mit einer Decke, mit Papier oder Filzstreifen abgedichtet werden damit die Zimmerwärme nicht unnötig entweicht und keine Kälte hereinkommt.	06:11	06:20
385570	390090	Haltet außerdem Haustüren und Bodentüren geschlossen.	06:25	06:30
390510	392810	Ihr erhaltet damit die Wärme und spart Kohle.	06:30	06:32
392810	397090	Denkt daran, Kohle ist kriegswichtigster Rohstoff.	06:32	06:37
397770	400310	Ohne Kohle keine Waffen für unsere Soldaten.	06:37	06:40
410320	413740	In den deutschen Waffenschmieden dürfen die Räder nicht stillstehen.	06:50	06:53
414240	416620	Die Front braucht Waffen und Munition.	06:54	06:56
417320	419140	Ohne Kohle kein Sieg.	06:57	06:59
419700	422320	Wer Kohle vergeudet, hilft dem Feind.	06:59	07:02
456340	463240	Am 30. Januar, dem 9. Jahrestage der Machtergreifung sprach der Führer von Berlin aus zum ganzen deutschen Volk.	07:36	07:43
463240	468760	Einmarsch der Fahnen in den Sportpalast die alte Kampfstätte der Berliner Nationalsozialisten.	07:43	07:48
469380	470140	Der Führer kommt.	07:49	07:50
484120	487500	Der Führer grüßt die Verwundeten, die Ehrengäste dieser Veranstaltung.	08:04	08:07
498640	501160	Kreisminister Dr. Goebbels hat die Kundgebung eröffnet.	08:18	08:21
501500	502800	Nun spricht der Führer.	08:21	08:22
510790	518110	Zu Beginn seiner Rede gab der Führer noch einmal einen Überblick über die schweren Kämpfe die dem 30. Januar 1933 vorangingen.	08:30	08:38
518110	523210	Sie forderten von jedem Nationalsozialisten höchsten Idealismus und feldischen Einsatz.	08:38	08:43
526200	529560	Der Führer sagte, Siege ertragen kann jeder Schwächling.	08:46	08:49
530200	532640	Schicksalsschläge aushalten, das können nur die Starken.	08:50	08:52
533140	537980	Die Vorsehung gibt nur jenen den letzten und höchsten Preis die mit Schicksalsschlägen fertig werden.	08:53	08:57
543280	550300	Als erster Musketier des Reiches rief der Führer dann die Heimat auf in unermüdlicher Arbeit Waffen, Munition und Transportmittel zu schaffen.	09:03	09:10
550300	553940	Wo der Gegner auch auftritt, wir werden ihn schlagen wie bisher.	09:10	09:13
554480	558120	Diesen Krieg führen wir nicht allein für das deutsche Volk, sondern für ganz Europa.	09:14	09:18
558620	561020	Und damit für die ganze zivilisierte Menschheit.	09:18	09:21
578930	583130	Als Oberst Galland noch Kommodore eines Jagdgeschwaders an der Kanalküste war.	09:38	09:43
583510	584650	Rückkehr vom Feindflug.	09:43	09:44
585050	587230	Seine Maschine wackelt zum Zeichen des Sieges.	09:45	09:47
613680	614980	Sein erster Kampfbericht.	10:13	10:14
616180	620620	Oberst Galland hat in unermüdlichem, heldenhaften Einsatz 94 Gegner abgeschossen.	10:16	10:20
620620	632860	Der Führer verlieh Oberst Galland, der nach dem Tode von Oberst Mölders als dessen Nachfolger zum Inspekteur der Jagdflieger ernannt wurde das Eichenlaub mit Schwertern und Brillanten zum Ritterkreuz des Eisernen Kreuzes.	10:20	10:32
633360	638200	Er ist der zweite deutsche Offizier, der diese höchste Tappbarkeitsauszeichnung erhalten hat.	10:33	10:38
653050	654430	Am Nordabschnitt der Front.	10:53	10:54
