chapter	content
1	1. Staatsakt, Tannenberg, Ostpreußen, Deutsches Reich, 1944. Staatsakt für Generaloberst Günter Korten im Tannenberg-Ehrenmal. Staatsbegräbnis für den an den Folgen des Attentats am 20. Juli 1944 verstorbenen Chef des Generalstabes der Luftwaffe, Generaloberst Günter Korten. Innenhof des Ehrenmals. Ordenskissen. Formationen. Heeresmusikorchester. Totenwache am aufgebahrten Sarg mit Helm. Generalfeldmarschall Wilhelm Keitel, Reichsmarschall Hermann Göring und Großadmiral Karl Dönitz mit erhobenem Marschallstab vor dem Sarg stehend. Hermann Göring spricht den Hinterbliebenen sein Beileid aus. Göring hält die Traueransprache. Anwesende Generalfeldmarschall Wilhelm Keitel und Großadmiral Karl Dönitz. Witwe Kortens. Göring legt den Kranz von Adolf Hitler nieder. Trauergast Feldmarschall Erhard Milch. Der Sarg wird in das Denkmal getragen.
2	2. Adolf Hitler, Attentat vom 20. Juli 1944, Deutsches Reich, 1944. Adolf Hitler besucht im Lazarett die beim Attentat am 20. Juli 1944 verletzten Angehörigen des Wehrmachtsführungsstabes. Generalmajor Walter Scherff, mit bandagiertem Kopf und Salbe auf dem Gesicht im Bett liegend, daneben von links Adolf Hitler; Oberstleutnant Heinrich Borgmann mit bandagiertem Kopf, in einer Ecke im Bett liegend, Adolf Hitler seitlich hinzutretend; Kapitän zur See Heinz Assmann, bandagiert im Bett liegend, daneben Adolf Hitler mit deutlich zu sehendem Stopfen im rechten Ohr; Konteradmiral Jesco von Puttkamer im Bett sitzend im Gespräch mit Adolf Hitler; General der Infanterie Walter Buhle mit bandagierten Händen am Fenster im Gespräch mit Adolf Hitler, auf dem Nachttisch eine Flasche Wein. Beim Verlassen des Lazaretts (?) zeigen Hitler Verwundete und Schwestern den „Deutschen Gruß“.
3	3. Führerhauptquartier, Rastenburg, Ostpreußen, 1944. Adolf Hitler mit SS-Offizieren und Funktionären. Reichswirtschaftsminister Walter Funk, Gauleiter Fritz Sauckel, Rüstungsminister Albert Speer, Karl-Otto Saur und Minister Hans-Heinrich Lammers begrüßen Hitler vor einer Besprechung. Reichsführer SS Heinrich Himmler und Generaloberst Ferdinand Schörner. SS Gruppenführer Hermann Fegelein. Reichsmarschall Hermann Göring neben Hitler. Reichsminister Joseph Goebbels. Generaloberst Heinz Guderian mit Himmler. Goebbels im Gespräch mit Martin Bormann und Generaloberst Alfred Jodl (mit Kopfverband). (Sprecher:) „Reichsminister Doktor Goebbels wurde auf Vorschlag des Reichsmarschalls vom Führer zum Reichsbevollmächtigten für den totalen Kriegseinsatz ernannt.“
4	"4. Wachbataillon, Berlin, Deutsches Reich; 1944. Oberst Otto Ernst Remer schreitet die Front des Berliner Wachbataillons ab und spricht zu den Soldaten (Original-Ton: ""Wir sind, heute, gottlob politische Soldaten. Unser politischer Auftrag lautet: Sicherung unseres Lebensraumes, Verteidigung unseres deutschen Vaterlandes, Verteidigung unserer nationalsozialistischen Idee. Und wir werden diesen politischen Auftrag unter allen Umständen durchführen bis zu unserem endgültigen Sieg.""). Vorbeimarsch des Wachbataillons vor Oberst Remer in Berlin Unter den Linden. Im Hintergrund das Brandenburger Tor."
5	"5. Volkssturm, Goslar (?), Deutsches Reich, 1944. Wehrappell des Gaues Südhannover - Braunschweig in Goslar. Soldaten, Kinder, SA-Männer, teilweise mit Fahnen, marschieren am Gauleiter Hartmann Lauterbacher vorbei. Vorbeimarsch von älteren Männern mit Gewehren, Reichsarbeitsdienst, Bergmännern mit Spitzhacken. Eine Standarte „Harz“, darunter Hakenkreuzflagge mit Aufschrift „Deutschland erwache“. Hartmann spricht zu den Anwesenden von einem Podium aus. Angetretene Soldaten und Zivilisten, Armbinde ""Landwacht"" mit Stempeln."
6	6. Seekrieg, unbekannter Ort, 1944. Der 85jährige norwegische Dichter Knut Hamsun besichtigt ein deutsches U-Boot. Besichtigung der Räume des U-Boots, u.a. das Sehrohr, Offiziere führen Hamsun herum, er geht von Bord.
7	7. Rückzug, Osteuropa, 1944. Kartentrick: Westliche Sowjetunion, Polen, Deutsches Reich, Rumänien, Ungarn, Narwa, Pleskau, Witebsk, Kowel, Lemberg, Stanislau, Czernowitz, Jassy, Peipus-See, Dnjepr. Rückzug deutscher Truppen an der Ostfront. Brennende Ortschaft, zerstörte Fernmeldeleitungen. Panther-Panzer schleppt einen Panther ab. Panzer, Lastkraftwagen und Kräder auf einer Piste. Soldaten mit und ohne Marschgepäck mit Maschinenpistolen, Gewehren und Maschinengewehren auf dem „Weg zur Hauptkampflinie“ (Sprecher). Flüchtlingstreck mit Pferdefuhrwerken und Zivilisten zu Fuß. Eine Panzerabwehrkanone 40 an einer Straße. Ein Schwellenreißer zerstört Gleisanlagen. Brennender Bahnhof. Sprengung von Industrieanlagen. Pioniere legen Panzerminen an einem Bahndamm. Brennende Gebäude in einer zu räumenden Stadt. Infanterie. Brandwolken.
8	8. Rückzug, Osteuropa, 1944. Auf einem Bahnhof treffen Kampfpanzer Typen IV und Panther sowie Sturmgeschütze ein. Entladung der Panzer und Sturmgeschütze. Panzer Typ Tiger und Panther mit aufgesessener Infanterie. Lagebesprechung. Rauchender Infanterist. Infanteristen bei einer Pause, im Hintergrund ein Tiger-Panzer. Essender und trinkender Soldat. Soldaten beim Ausheben von Schützengräben und Bau von Feldbefestigungen. Grenadiere beziehen die neuen Stellungen (Sprecher) und werden mit Handschlag begrüßt. Lächelnde Soldaten laufen durch den Schützengraben. Schweres Maschinengewehr und mittleres Artilleriegeschütz werden in Stellung gebracht. Soldaten auf einem Beobachtungsturm. Meldung per Feldtelefon. Lagebesprechung. Gefechtsszenen. Explosionen. Mörserfeuer. MG-Feuer. Handgranate wird geworfen. Panzer und Infanterie im Gefecht.
9	9. Operation Overlord, Normandie, Frankreich, 1944. Kartentrick: Belgien, Frankreich, Großbritannien, London, Dover, Antwerpen, Dünkirchen, Calais, Boulogne, Dieppe, Le Havre, Paris, Caen, Bayeux, Cherbourg, Rennes, Brest, Guernsey, Jersey, Orne, Seine, Seine-Bucht. Rückzug deutscher Truppen in der Normandie. Viehherden werden zurückgetrieben. Flugzeug im Tiefflug über einer Ortschaft in der Normandie, Rauchwolke. Flugzeuge am Himmel, Explosion in einer Ortschaft. Menschen suchen in den Trümmern nach Habseligkeiten, Zivilisten in schwer zerstörten Straßenzügen. Aufräumarbeiten. Verletzte werden geborgen. Flüchtlinge auf einer Landstraße.
10	10. Kriegsgefangenschaft, Paris, Frankreich, 1944. Alliierte Kriegsgefangene auf einer Straße. Alliierte Gefangenenkolonnen werden durch Paris (?) geführt. Pariser (?) Bevölkerung, vorwiegend Frauen, gehen tätlich gegen die Gefangenen vor und beschimpfen sie. Ein Mann schlägt einem Kriegsgefangenen mit der Faust ins Gesicht, ein anderer Mann tritt auf die Gefangenen ein.
11	11. Luftkrieg, Frankreich, 1944. Deutsche Jagdflugzeuge starten. Tiefflugangriff deutscher Jagdflieger auf alliierte Nachschubstraßen. Abfeuern der Bordwaffen (Bordkamera). Beschuss von Fahrzeugen mit Bordwaffen auf Landstraßen. Beschuss einer Stadt aus der Luft.
12	"12. Operation Overlord, Caen, Frankreich, 1944. (Sprecher:) „An der Front südlich Caen.“ SS-Panzergrenadiere in ihren Stellungen. Flak 8,8 cm und schwere Artillerie feuert. Schwere Explosionen. SS-Hauptsturmführer Michael Wittmann in seinem ""Tiger""-Panzer. Panzer und SS-Grenadiere im Unterholz. Zerstörte alliierte Panzer. Panzerabwehrkanone, Maschinengewehr feuert. Rauchwolken. Kämpfe in den Straßen- und Häuserruinen einer zerstörten Stadt (Caen?). Soldaten beobachten (?) schwere Explosionen und Brandwolken."
