chapter	content
1	1. Charité, Berlin, Deutsches Reich, 1943. (Sprecher:) ‚Professor Sauerbruch hält Kolleg‘. (Sprecher:) Sauerbruch erhielt das Ritterkreuz zum Kriegsverdienstkreuz mit Schwertern. Soldaten als Hörer, Sauerbruch trägt im Arztkittel vor.
2	2. Kunst, Deutsches Reich Schichtwechsel auf einer Zeche, Bergleute kommen aus dem Schacht. Der Bergarbeiter Fritz Heitsch arbeitet als Bergmann im Kohlebergbau und ist als Bildhauer tätig. Skulpturen werden vom Künstler präsentiert.
3	3. Reichsarbeitsdienst, unbekannter Ort, 1943. (Sprecher:) ‚In einer Führerinnenschule des Reichsarbeitsdienstes für die weibliche Jugend.‘ Ausbildung von Sonder-Führerinnen. Appell im Kreis um einen Fahnenmast, schulischer Unterricht, Sport mit Ballgymnastik und Geländelauf, Unterricht in der Hauswirtschaft, junge Frauen arbeiten in der Landwirtschaft, bei der Ernte von Tomaten und Äpfeln.
4	4. Vormilitärische Ausbildung, Dessau, Deutsches Reich, 1943. Auf einer Motorschule des NSKK – über einer Tür der Schriftzug ‚MB1 Dessau‘ – wird Hitlerjungen in vormilitärischer Ausbildung der Umgang mit Sturmbooten erläutert. Fahrt mit dem Sturmboot auf einem Fluss. Landung am Ufer und von Bord stürmende Jungen.
5	5. Belagerung von Leningrad, Sowjetunion, 1943. Kartentrick: Region um Leningrad. Soldaten einer deutschen Luftwaffenfelddivision (Sprecher) bereiten sich auf ein Stoßtruppunternehmen vor. Soldaten in ihren Stellungen. Schwere Artillerie feuert. Einschläge in einem Waldgebiet. Soldaten verlassen die Stellung. Explosionen am Horizont, Soldaten in Bewegung. Soldaten werden ausgezeichnet, zum Teil verwundete Soldaten.
6	6. Partisanen, Mittlerer Abschnitt der Ostfront (Sprecher), Sowjetunion, 1943. Ein deutscher Panzerzug. Ein deutscher Panzerspähwagen wird auf Schienen gesetzt und fährt dem Zug voraus. Beschießung eines Waldgebietes durch den Spähwagen. Der Panzerzug fährt und beschießt Ziele. Soldaten verlassen den Zug. Soldaten im Wald. Gefangene werden abgeführt. Brennende Ortschaft.
7	7. Kavallerie, (Sprecher) Am mittleren und südlichen Abschnitt der Ostfront, Sowjetunion, 1943. Kartentrick: westliche Sowjetunion, Witebsk, Smolensk, Brjansk, Poltawa, Kiew, Dnjepropetrowsk, Fluss Dnjepr. (Sprecher) ‚An der Küste des Asowschen Meeres‘. deutsche Küstenbatterien werden aufgestellt, eine Kavallerieeinheit zu Pferde reitet am Ufer entlang und über steppenartiges Gelände.
8	8. (Sprecher) Mittlerer Abschnitt der Ostfront, Sowjetunion, 1943. Ein Feldbeobachter auf einem Hochstand mit Scherenfernglas, ein Artilleriegeschütz feuert, Panzer im Gelände. Flak 8,8 cm feuert. Infanterie in einem Feld. Panzer. Tote und gefangene sowjetische Soldaten. Artillerie feuert. Infanterie im Gefecht mit MG und Granatwerfer. Panzer feuert. Nebelwerfer-Batterie feuert Salve.
9	9. Auszeichnung, unbekannter Ort, 1943. Unteroffizier Goldberg wird mit dem Ritterkreuz ausgezeichnet.
10	10. Luftkrieg, Sowjetunion, 1943. Stuka-Geschwader im Flug. Schild: ‚Unserem Kommandeur und seinem Bordfunker zum 1500. u. 1200. Feindflug die herzlichsten Glückwünsche‘. Eichenlaubträger Hauptmann Rudel wird nach seinem 1.500. Einsatz beglückwünscht. Überreichen eines Ferkels (Sprecher) ‚der Festbraten‘.
11	11. Rückzug, Korsika, Frankreich, 1943. Kartentrick: Italien: Venedig, Genua, Rom, Korsika, Sardinien. Deutsche Truppen räumen die Insel Korsika. Verladen von Autos und Geschützen auf Schiffe. Die Hafeneinfahrt wird durch versenkte Schiffe gesperrt (Sprecher). Schiffe auf dem Meer. Artilleriefeuer auf eine bewaldete Küste.
12	12. Besetzung, Korfu, Griechenland, 1943. (Sprecher:) ‚Einschiffung deutscher Gebirgsjäger zum Landungsunternehmen gegen die Insel Korfu‘. Deutsche Infanterie besteigt ein Schiff. Soldaten auf Schiffen. Artillerieeinschläge auf dem Wasser. Unterstützung der Landung durch die deutsche Luftwaffe. Ein Stuka fliegt an einem Schiff vorbei. Stuka in Formation. Luftaufnahme von dichtem Rauch über einer Siedlung. Bombardierung (Luftaufnahmen). Deutsche Infanterie landet, Soldaten auf Pfaden. Zerstörte Gebäude. Weiße Fahne auf der Zitadelle von Korfu.
13	13. Logistik, Durazzo, Albanien, 1943. Ansicht des Hafens. Verladen von Kriegsgeräten auf Schiffe. Generalfeldmarschall von Weichs mit seinem Stab in einem Hafen.
14	14. Marschall Gaziani, Italien, 1943. Das Hauptquartier des deutschen Oberbefehlshabers Süd: Generalfeldmarschall von Kesselring und der italienische Marschall Rudolfo Graziani im Gespräch.
