chapter	content
1	1. Veranstaltung im Berliner Sportpalast, Berlin, Deutsches Reich, 14.02.1942 Reichskriegsflagge. Publikum steht und zeigt den Hitlergruß. Hitler trifft gefolgt von Göring im Sportpalast ein. Er begrüßt einen erblindeten Soldaten. Hitler spricht vor beförderten Offizieren des Heeres und vor ihrer Beförderung stehenden Offiziersanwärtern der Kriegsmarine und Luftwaffe sowie vor Junkern der Waffen-SS. Hitler am Rednerpult (kein O-Ton). Zuhörer in der Nahaufnahme, darunter Göring. Schwenk über die Reihen von Soldaten im Saal.
2	2. Ausbildung von Offizieren und Pionieren, Deutsches Reich, 1942 Angehende Offiziere beim Lernen in einem Klassenraum. Offiziersanwärter werden in einer Infanterieschule an leichten und schweren Infanteriegeschützen ausgebildet. Geländeübung der Panzertruppenschule sowie einer Radfahrtruppe. Major Niemack bei der Geländeübung. Ausbildung am Geländemodell. Schwimmen und Boxen als Teil des Sportunterrichts. Ausbildung am Funkgerät und Fernschreiber an einer Heeresnachrichtenschule. Pioniere üben, mit Handgranaten gegen Panzer vorzugehen und Sprengmittel und Flammenwerfer zur Zerstörung von Bunkern einzusetzen. „Für jeden jungen Deutschen ist es die größte Ehre, Offizier zu werden“ (Sprecherton).
3	3. Eine Nachschubstraße in Karelien, 1942 Karte der finnischen Front. Eine Kolonne mit Pferdeschlitten auf einer Nachschubstraße in Ostkarelien. Ein Pferdeschlitten kippt auf einem schmalen Waldpfad um. Soldaten überqueren einen vereisten Fluss. Soldaten gehen durch verschneiten Wald vor. Finnische Soldaten bei der Rast am Feuer, beim Essen und Schlafen.
4	4. Eisenbahnpioniere beim Wiederaufbau einer zerstörten Eisenbahnbrücke, Ostfront, Sowjetunion, 1942 Karte der Sowjetunion von Leningrad bis Kiew. Eisenbahnpioniere schleppen Holzbalken und verbauen diese. Pioniere wärmen sich an einem Feuer. Gleise werden von Schnee und Eis befreit. „Nachschub rollt nach vorn“ (Sprecherton). Material wird aus dem Zug auf Schlitten verladen. Mehrere Pferdeschlitten mit Nachschub. Soldaten marschieren zur Front. Rast. Soldaten schieben einen LKW an.
5	5. Deutsche Kampfflugzeuge im Winter, Ostfront, Sowjetunion, 1942 Flugzeugmotoren werden vorgewärmt. Auch das Bodenpersonal wärmt sich am Vorwärmer. Tragflächen und Rumpf der Maschinen werden vom Eis befreit. Blick auf das Geschwader (darunter Junkers Ju 87 und Ju 88). Ein Bombenflugzeug (Ju 88) rollt zum Start.
6	6. Rast und Gefecht an der Ostfront, Sowjetunion, 1942 Soldaten sind angetreten zur Essenausgabe. Doppelkorn wird in Flaschen gefüllt. Essenträger auf Skiern unterwegs an die Front. Soldaten in Schneehemden beim Essen und Trinken sowie auf dem Weg zur Front. Ein Divisionskommandeur überreicht einem Hauptmann das Ritterkreuz. Beobachtung der sowjetischen Stellungen. Schild: „Achtung! Feindsicht, jeder Verkehr bei Tage verboten“. Artillerie nimmt einen Stellungswechsel vor. Feldhaubitzen feuern auf sowjetische Stellungen. Einschläge. Ein Polizeiregiment geht auf Skiern vor. Einschläge. Gefecht mit einem Maschinengewehr. Ein Soldat fotografiert. Ein Soldat durchschneidet eine Drahtsperre. Einschläge. Infanterie geht gegen ein Dorf vor. Zerstörte Häuser. Blick aus einem Fenster. Viele Tote im Schnee. Sowjetische Gefangene mit erhobenen Armen.
7	7. Einmarsch in Bengasi, Libyen, Nordafrika, 1942 Kartentrick: Afrika. Panzerverbände rollen auf der Straße von Tripolis zur Front. Unterlegt das Lied „Panzer rollen in Afrika vor...“. Generaloberst Erwin Rommel stehend im Auto auf der Straße nach Bengasi. Zurückgelassenes und zerstörtes Kriegsmaterial am Straßenrand. Einmarsch in Bengasi, die Bevölkerung winkt den einrückenden deutschen Verbänden zu. Fahrt durch die Straßen Bengasis. Einheimische mit Hakenkreuzfahne und Hitlerbild. Beutefahrzeuge. Eine Kolonne gefangener Briten. Am Strand von Bengasi werden Gefangene abgeführt. Ein Verwundeter. Kolonialtruppen. Kolonnen von Kriegsgefangenen.
8	8. Generaloberst Erwin Rommel auf seinem Gefechtsstand, Nordafrika, 1942 Generaloberst Erwin Rommel auf seinem Gefechtsstand mit Karte und zwei Offizieren. Laden der Artillerie. Justieren des Geschützes. Abfeuern der Artillerie. Italienische und deutsche Batterien gehen in Stellung. Beschuss. Offiziere und Generaloberst Rommel beobachten das Geschehen mit Feldstecher. Am Horizont steigt Rauch auf. Zerstörtes Kriegsmaterial. Rommel besichtigt zerstörte britische Panzer. Panzer rollen durch die Wüste. Unterlegt das Lied „Panzer rollen in Afrika vor...“.
9	9. Deutsche Unterseeboote kehren vom Einsatz in den Heimathafen zurück, 1942 Militärkapelle spielt. Deutsche U-Boote kehren vom Einsatz vor der Küste der Vereinigten Staaten von Amerika in den Heimathafen zurück. Ankunft des Bootes von Korvettenkapitän Zapp; der Kapitän in der Nahaufnahme. Ankunft des Bootes von Kapitänleutnant Hardegen. Blick auf die Zuschauer. Erfolgswimpel wehen im Wind. Kapitänleutnant Hardegen wird von Vizeadmiral Dönitz empfangen und erhält das Ritterkreuz. Hardegen mit Dönitz und später beim Abschreiten der Front seiner Besatzung. Die Kriegsflagge der Kriegsmarine.
10	10. U-Boot-Krieg vor der Küste von New York, Atlantik, USA, 1942 Weitere deutsche U-Boote auf der Fahrt über den Atlantik zur amerikanischen Küste. Blick auf die Brückenwache. Schwere See. Wachablösung. Die neue Wache zieht Regenschutzkleidung mit Südwestern an. Die Wache wird angeseilt. Die abgelöste Wache legt sich in die Hängematte. Das U-Boot vor der Küste von New York. Blick auf die nächtliche Stadt, die Lichter der Wolkenkratzer. Beschuss und Versenkung eines 4.000 BRT-Frachters durch Bordartillerie. Laden und Abfeuern der Bordartillerie. Das brennende Schiff. Rauch. Alarm. Das U-Boot geht auf Tauchstation. Kommandant Ritterkreuzträger Kapitänleutnant Topp steigt als letzter ins Turmluk. Amerikanische Wasserbomben detonieren. Das Licht geht aus. Kleiner Wassereinbruch, Auspumpen des Wassers. Kaffee wird gemahlen und aufgebrüht. Trinken des Kaffees. Kapitänleutnant Topp am Periskop. Das U-Boot taucht wieder auf. Aufnahmen mittels Unterwasserkamera. Das Turmluk wird von innen geöffnet. Heimfahrt. Vereistes Deck im Nordatlantik. Beobachtung der See auf vereistem Turm. Das vereiste U-Boot. Die Kriegsflagge der Kriegsmarine.
11	11. Abfahrt von Brest und Durchbruch deutscher Schlachtschiffe durch den Ärmelkanal, 1942 Auslaufen aus dem Hafen von Brest. Torpedoboote, Zerstörer, Minensuch- und Räumboote sichern den Verband. Unterstützung durch die Luftwaffe. Angriff durch britische Zerstörer, Schnellboote und Flugzeuge. Abwehr britischer Flugzeuge und Schiffe mit allen Waffen. Feuernde Breitseiten und Flak. Abschuss eines Flugzeugs. Der Pilot ist mit dem Fallschirm abgesprungen. Der Verband in Fahrt. Die Kriegsflagge der Kriegsmarine.
