chapter	content
1	1. Japanischer Bombenangriff auf die Burmastraße, China, 1940 Japanische Bomber (Mitsubishi G3M) auf dem Flug zur Burmastraße. Bombenangriff auf eine Flugzeugfabrik im Osten Chinas. Die Burmastraße und eine Brücke über den Mekong. Bombardierung der Brücke.
2	2. Kinderheime für spanische Kinder, Spanien, 1940 Spanische Kinder, die während des Bürgerkrieges in Frankreich waren, kehren in ihre Heimat zurück. Busfahrt zu einem Heim der sozialen Fürsorge. Dort werden die Kinder gewaschen, neu eingekleidet und Verletzte ärztlich behandelt.
3	3. Reparatur des Straßenbahnnetzes in Warschau, Generalgouvernement, 1940 Rückblick auf das Jahr 1939: Straßenbahnwagen wurden als Barrikaden gegen das Vorrücken deutscher Truppen benutzt. Reparatur der Straßenbahnwagen und Instandsetzung der Schienen. Spannen einer Oberleitung. Durch Warschau fahrende Straßenbahnen. An einer Haltestelle. Aufschrift an einem Straßenbahnfenster: „Nur für Juden - Tylko dla Zydow“.
4	4. Übung des deutschen Grenzschutzes in der Hohen Tatra an der deutsch-slowakischen Grenze, 1940 Übung des deutschen Grenzschutzes in der Hohen Tatra. Deutsche Zollbeamte klettern einen Berg hinauf und seilen sich anschließend ab.
5	5. Bau neuer Flugplätze, Reichskommissariat Norwegen, 1940 Ebnen der Flächen, Zementierung der Rollfelder. Bau einer Flugzeughalle aus Holz. Eine zum Teil aus Holzbohlen bestehende Startbahn. Deutsche Zerstörer (Messerschmitt Bayrische Flugzeugwerke Bf 110) auf dem Flug über einem norwegischen Fjord.
6	6. Hitler empfängt Vertreter der Rüstungsindustrie, Berlin, Deutsches Reich, 1940 Adolf Hitler empfängt in der Neuen Reichskanzlei Vertreter der Wirtschaft, Wehrmacht und der Nationalsozialistischen Deutschen Arbeiterpartei (NSDAP), die in der Rüstungsindustrie tätig sind. Hitler bei der Begrüßung der einzelnen Personen.
7	7. Gewehrfabrikation in Steyr, Oberdonau, Ostmark, 1940 Drehen und Fräsen der Holzschäfte. Ziehen der Läufe. Richten des Laufes. Prüfung von Korn und Kimme. Zusammenbau und Abtransport der fertigen Kar98k (Karabiner 98 kurz) .
8	8. Bildhauer Prof. Thorak stellt Figuren für das Märzfeld her, Deutsches Reich, 1940 Monumentalbildhauer Prof. Josef Thorak entwirft eine Figurengruppe für das Märzfeld in Nürnberg. Die Modelle in immer größeren Ausführungen. Gestalten in endgültiger Größe werden von Prof. Thorak überarbeitet.
9	9. Weihnachten 1940: Bescherung im Reichsgau Wartheland, 1940 Landverschickte Kinder im Warthegau nehmen Weihnachtsgeschenke entgegen. Jungen und Mädchen beim Auspacken der Geschenke.
10	10. Weihnachten 1940: Bei den Soldaten im Generalgouvernement, 1940 Soldaten fällen eine Fichte und transportieren diese auf einem Pferdeschlitten. Schmücken des Weihnachtsbaumes. Auspacken der Geschenke.
11	11. Weihnachten 1940: „Weihnachtsschiff“ für die Soldaten, Reichskommissariat Norwegen/Deutsches Reich, 1940 Ein „Weihnachtsschiff“, das von dem norwegischen Reichskommissar Josef Terboven und Reichspropagandaminister Joseph Goebbels ausgestattet wurde, wird mit Weihnachtsgeschenken beladen. Auslaufen des Schiffes. Ankunft im Hafen von Oslo.
12	12. Weihnachten 1940: Auf einem Lazarettschiff, Reichskommissariat Norwegen, 1940 Schwestern des Deutschen Roten Kreuzes (DRK) schmücken einen Weihnachtsbaum und bescheren Verwundete und die Schiffsbesatzung.
13	13. Weihnachten 1940: Bei deutschen Soldaten im besetzten Gebiet, Frankreich, 1940 Abtransport einer Fichte auf dem Motorrad. Soldaten mit je einer Gans unterm Arm. Weihnachtsmann beim Austeilen von Geschenken an Soldaten und Nachrichtenhelferinnen.
14	14. Weihnachten 1940: Bei den Fliegern, Deutsches Reich, 1940 Ankunft des Weihnachtsmannes im einem Aufklärungsflugzeug (Fieseler Fi 156 „Storch“). Weihnachtsmann verteilt Geschenke. Im Hintergrund Start eines Jagdflugzeuges (Messerschmitt Bayrische Flugzeugwerke Bf 109).
15	15. Weihnachten 1940: bei einer Flakbatterie, Deutsches Reich, 1940 Verteilen von Weihnachtsgeschenken. Weihnachtsfeier. Dienst in einem Beobachtungsposten.
16	16. Verleihung des Ritterkreuzes an Unteroffizier Moder, Frankreich, 1940 Verleihung des Ritterkreuzes zum Eisernen Kreuz an den Unteroffizier Willy Moder am 28.11.1940. Abschreiten der angetretenen Kompanie.
17	17. Übung einer Kavallerieeinheit im besetzten Gebiet, Frankreich, 1940 Kavallerieeinheit beim Ritt auf einem Gelände. Maschinengewehre (MGs) werden in Stellung gebracht.
18	18. Erbeutetes englisches U-Boot „U B“ unter deutscher Flagge, Kiel, Deutsches Reich, 1940 Erbeutetes englisches Unterseeboot (U-Boot) „HMS Seal“ (nun „U B“) läuft unter deutscher Flagge am 30.11.1940 aus der Kriegsmarinewerft Kiel aus.
19	19. Ablösung einer Flakbatterie auf der Insel Guernsey, Kanalinseln, 1940 Sturmflut an der Kanalküste. Eine Flugabwehrkanonen (Flak)-Batterie auf der Überfahrt zur Ablösung auf der Insel Guernsey. Ausladen der mitgebrachten Lebensmittel und eines Flakscheinwerfers. Flak wird in Stellung gebracht. In den Himmel schießende 8,8 cm und 10,5 cm Flak und an der Küste.
