chapter	content
1	1. Trauerfeier für Wehrwirtschaftsführer Dr. h. c. Borbet in Bochum, Deutsches Reich, 08.01.1942 Staatsbegräbnis für Walter Adolf Borbet, Wehrwirtschaftsführer und Generaldirektor des Stahlkonzerns Bochumer Verein. Der mit Kränzen und Blumen geschmückte Sarg. Im Hintergrund stehen Fahnenträger. Reichsminister Funk hält vor der Trauergemeinde die Gedenkrede (kein O-Ton). Einzelne Zuhörer in der Nahaufnahme. Die Fahnenträger. Reichsminister Dr. Todt und der General der Artillerie Leeb legen den Kranz Hitlers am aufgebahrten Sarg nieder.
2	2. Produktion von Maschinengewehren, Deutsches Reich, 1942 Produktionshalle eines Rüstungsbetriebes. Männer bei der Arbeit an großen Maschinen. Zuschnitt des Rohmaterials. Schmieden der Läufe am Presslufthammer. Rohlinge werden getrennt. Bearbeitung in der Drehbank. Bohren eines Laufs. Schmirgelmaschinen. Richten der Läufe. Bohren des Kühlmantels. Weitere Bearbeitung des Gehäuses der Maschinengewehre. Zusammenbau der Maschinengewehre, die laut Sprecher jeweils aus über 300 Einzelteilen bestehen.
3	3. Sammlung von Woll- und Pelzsachen sowie Skiern, Deutsches Reich, Januar 1942 An einer Sammelstelle herrscht großer Andrang. Große Mengen an Winterbekleidung werden sortiert, verpackt und in Nähstuben von Frauen verarbeitet. In den Lagerräumen große Stapel von Kleidungsstücken. „So wurden bis zum 13. Januar weit über 62 Millionen Stück Wintersachen aller Art gezählt“ (Sprecherton). Die Kleidungsstücke und Skier werden auf Lkw verladen und zum Bahnhof gebracht, dort auf Güterwagen umgeladen und zur Ostfront abtransportiert. Fahrender Güterzug.
4	4. Winterkleidung für die Ostfront, Sowjetunion, 1942 Schornstein einer Lokomotive. Fahrender Güterzug. Ein Transport trifft bei einem Magazin der Heeresverwaltung ein. Die Kleidungsstücke und Schuhe werden auf Lkw umgeladen und zur Truppe abtransportiert. Fahrt der Lkw-Kolonne durch verschneites Gelände. Lkws werden entladen. Schuhlager. Schuhe und Kleidung werden an die Soldaten ausgegeben. Anprobe. Einzelne Soldaten in den neuen Kleidungsstücken. Soldaten mit Skiern auf dem Arm.
5	5. Gefecht am Weißmeer-Ostsee-Kanal, Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1942 Kartentrick der finnischen Front mit Stalin-Kanal (Weißmeer-Ostsee-Kanal). Finnische Verbände beim Vorrücken zum Kanal. Ein sowjetisches Jagdflugzeug greift die vorgehenden Truppen an. Soldaten gehen in Deckung. Flugabwehrkanone (Flak) im Einsatz gegen den Luftangriff. Weiteres Vorgehen der Truppe. Am Kanal: „Die Bolschewiken haben die Schleusen des Stalin-Kanals zerstört. Das Wasser ergießt sich weit über das Land. Ganze Dörfer und Ortschaften sind überschwemmt und der Vernichtung preisgegeben“ (Sprecherton). Häuser und Straßen unter Wasser. Panzerabwehrkanone, Maschinengewehr und Gewehre beim Beschuss eines von den sowjetischen Truppen verteidigten Dorfes. Gefallene Soldaten im Schnee. Straßenkampf in der Ortschaft. Ein Verwundeter wird auf einem Schlitten abtransportiert. Beschuss. Finnische Panzer durchfahren die eingenommene Ortschaft. Sowjetische Gefangene sitzen am Straßenrand.
6	6. Werkstattkompanie bei der Arbeit und Gefecht an der Ostfront nahe Leningrad, Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1942 Karte des Raums vor Leningrad. Soldaten einer Werkstattkompanie beim Überholen und Reparieren von Lkw und Pkw. Soldaten bei der Arbeit an der Drehbank, bei Schmiede- und Schweißarbeiten. Ein Kraftrad wird repariert. Soldaten beim Essen. Ersatzteile werden ausgegeben und Schneeketten an eine motorisierte Einheit verteilt. Transporteinheiten des Nationalsozialistischen Kraftfahrkorps (NSKK) beim Verladen von Munition. Munitionstransport rollt an die Front. Auf der Ladefläche eines Lkw stehend sichern Soldaten den Transport durch auf dem Führerhaus abgestützte Gewehre. Gefangene sowjetische Soldaten bringen mit Pferdefuhrwerken Material für Schneefänger. Zum Abhalten der Schneemassen werden aus Fichtenästen und Tannenbäumen Zäune als Schneefänger an den Straßenrändern gebaut. Bespannte deutsche Nachschubkolonnen mit Pferdefuhrwerken auf verschneiten Straßen. Munition wird von Soldaten in Schneehemden auf Schlitten zu den vorderen Linien Stellungen gebracht. Soldaten gehen durch einen Laufgraben. „Hinter den vorderen Linien entstehen neue Verteidigungsanlagen“ (Sprecherton). Soldaten heben mithilfe von Hacken und Spaten Laufgräben aus. Spanische Reiter werden hergestellt, mit Stacheldraht versehen und mit Schlitten transportiert. Leichtes Geschütz. Die ausgelegten spanischen Reiter in der verschneiten Landschaft. Beobachtung der Front mit Scherenfernrohr. Granatwerfer im Einsatz. Laden und Abfeuern des Granatwerfers. Einschlag. „Alarm bei der Artillerie“ (Sprecherton). Artillerie beim Feuern aus getarnten Stellungen. Laden und Abfeuern der Artillerie. Einschläge.
7	7. Tolstois Landgut Jasnaja Poljana, Oblast Tula, Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1942 Karte des mittleren Abschnitts der Ostfront mit Smolensk und Moskau. Das unbeschädigte Landgut des russischen Dichters Leo Tolstoi in Jasnaja Poljana südlich von Moskau. Der Wohnsitz Tolstois befindet sich in deutscher Hand.
8	8. Stellungsbau und Gefecht südwestlich von Moskau, mittlere Ostfront, Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1942 Verschneite Landschaft. Deutsche Soldaten beim Stellungsbau. Einsatz von Hacken und Schaufeln. Errichten von Unterständen mit Holzlatten. Herbeischaffen und Verteilen von Stroh zur Isolierung der Unterstände. Sägen von Holz. Heißer Tee für die Soldaten. Geschütze werden in Stellung gebracht. Panzer rücken vor. Panzerabwehrkanone (Pak) wird von einem Lkw gezogen und in Stellung gebracht. Einsatz der Pak. „Einer der angreifenden Sowjet-Panzer ist in Brand geschossen“ (Sprecherton). Der brennende Panzer in der Ferne. Einsatz eines Maschinengewehrs. Rauchwolke über dem abgeschossenen Panzer. Vorgehen deutscher Infanterie gegen eine brennende Ortschaft. Rauchwolken. Deutsche Panzer in den Straßen des eingenommenen Dorfes. Am Rand der Straße brennende Wracks sowjetischer Panzer und gefallene sowjetische Soldaten. Sowjetische Gefangene werden abgeführt.
9	9. Beschuss von Industrieanlagen im Donezgebiet, Ostfront, Ukrainische Sozialistische Sowjetrepublik, Sowjetunion, 1942 Karte des Südabschnitts der Ostfront mit dem Donezbecken. Italienische Artillerieeinheit beim Beschuss von Industrieanlagen im Donbass. Einsatz eines Maschinengewehrs aus einem Gebäude heraus. Landschaft mit Industrieanlagen. Infanterieeinheit beim Vorgehen über Eisenbahnschienen.
10	10. Deutsche und italienische Verbände im Afrikafeldzug, Nordafrika, Ende 1941 Kartentrick: Nordafrika. Motorisierte Verbände „haben sich planmäßig vom Feind abgesetzt und beziehen neue Stellungen“ (Sprecherton). Lkw, Pkw, Panzer und Infanteristen in der Wüste. Die Einheiten bei einer Rast. Soldaten ruhen sich aus, essen und trinken. General Rommel überreicht Oberst Mickl am 13.12.1941 das Ritterkreuz. Anlegen des Ritterkreuzes. „Angriff englischer Flieger auf einen deutschen Feldflugplatz“ (Sprecherton). Flugplatz mit Kampfflugzeugen am Boden. Piloten begeben sich zu ihren Maschinen. Starten deutscher Jagdflugzeuge (Messerschmidt Me 109) „zum Gegenangriff“ (Sprecherton). Flugzeuge in der Luft. Luftkampf mit Bordwaffenbeschuss (Leuchtspur). Abschuss eines britischen Jägers (Hawker Hurricane). Bordwaffenbeschuss eines britischen Bombers. Abschuss. Beschuss und Absturz eines weiteren Flugzeuges.
