chapter	content
1	1. Wehrsport, Prag, Protektorat Böhmen und Mähren, Tschechoslowakei, 1943. Wehrkampftage der SA in Prag. Sport und Wehrsport. Eine Abteilung des Reichsarbeitsdienstes marschiert musizierend durch die Straßen der Stadt. Männer mit geschulterten Spaten marschieren. (Sprecher) Eine Einheit der SA-Standarte ´Feldherrnhalle´ marschiert. Im Zeltlager, Appell mit Kapelle. Wehrsportliche Übungen: Uniformierte beim Studium einer Karte, Hindernislauf auf einer Kampfbahn, Staffellauf über Hindernisse im Stadion, (Sprecher) ‚Baumstammgymnastik‘, leicht bekleidete Männer tragen gerade entrindete Baumstämme senkrecht wie Fahnenstangen ins Stadion und zeigen Gruppenübungen.
2	2. Sport, Rumänien, 1943. Rumänische Jugendliche beim Ballspiel. Kastenturnen. Liegestütze. Schwimmen und rhythmische Tanzgymnastik junger Frauen.
3	3. Hitler-Jugend, Deutsches Reich (?), 1943. Zweiter Reichswettkampf der Flieger-Hitler-Jugend. Hitler-Jugend auf einem fahnengeschmückten Platz. Reichsjugendführer Arthur Axmann spricht (kein Originalton). Einsteigen einzelner Jugendlicher in Segelflugzeuge. Befestigung des Schleppseils. Start und Flug einzelner Segler. Generalmajor Adolf Galland unter den Zuschauern. Landung der Segler am vorgesehenen Zielort. Generaloberst Alfred Keller, gratuliert einem Flieger. Gesamtsieger wird ein 17-jähriger Junge Karl Seitz aus Kurhessen (Sprecher). Axmann gratuliert dem Sieger.
4	4. Kriegsgefangenen-Versorgung, Deutsches Reich, 1943. Paketversand durch Helferinnen des Deutschen Roten Kreuzes an deutsche Kriegsgefangene und Zivilinternierte im Ausland, u.a. an Korvettenkapitän Otto Kretschmer in Kanada. Süßigkeiten (Bahlsen Keks), Tabak, Musikinstrumente, Brettspiele und Bücher werden eingepackt. Das Versendungsverfahren wird vom Sprecher erläutert. Die Paketsäcke werden verladen.
5	5. Medizin, Berlin, Deutsches Reich, Kuban, Sowjetunion, 1943. Im tropenmedizinischen Institut der militärärztlichen Akademie werden Medikamente gegen die Malaria hervorrufende Anophelesmücke erprobt. Laborarbeiten. Züchten der Malariaerreger. Verspritzen von Mitteln gegen die Larven in einem Gewässer. Im Sumpfgebiet des Kuban (Sprecher) werden die Mittel erprobt. Mischen von Mücken - vernichtenden Pulvern in Trommeln. Mit dem Flugzeug werden die Mittel über einem großen Gebiet ausgestreut. Wolken des Mittels über der Landschaft und einer Siedlung.
6	6. Landwirtschaft, SSR Ukraine, Sowjetunion, 1943. Landwirtschaft in der Ukraine. Blick über Obstbäume. Erntearbeiten in den Obstplantagen. Aprikosenpflücken und Verladen. Trocknen der Früchte in Obsttrockenöfen. Ein Gestüt auf einem Hof. Schafe auf der Weide. Ferkel und Federvieh werden ausgetrieben und gefüttert.
7	7. Freizeit, Norwegen, 1943. Freizeitgestaltung der deutschen Soldaten in Norwegen. Hunde werden in Bottichen gewaschen. Soldaten waschen Wäsche und bespritzen sich mit Waschwasser. Wäsche aufhängen.
8	8. Belagerung von Leningrad, Sowjetunion, 1943. Kartentrick: Nordwestliche Sowjetunion, Leningrad, Nowgorod, Narwa, Demkansk, Cholm. Im Gebiet südlich des Ladogasees. Soldaten in ihren Gräben mit zerstörtem Panzer. Zerschossenes Waldgebiet mit verkohlten Bäumen. Ein Tiger-Panzer fährt vor. Kampfhandlungen. Ein Verwundeter wird unter Beschuss geborgen und abtransportiert. Versorgung eines Verwundeten auf dem Hauptverbandsplatz. Abtransport von Verwundeten mit einer Motordraisine.
9	9. Luftkrieg, Bjelgorod, Sowjetunion, 1943. Zweimotorige Bomber der deutschen Luftwaffe (Heinkel-111) in der Luft. nach Bombenabwürfe. Der Motor eines Flugzeuges setzt aus. Ehrung der Besatzung einer Maschine, die den 600. Feindflug absolviert hat.
10	10. Kampfhandlungen, Orel, Sowjetunion, 1943. Kartentrick: Südwestliche Sowjetunion, Brjansk, Orel, Kursk, Bjelgorod, Charkow, Woronesch. Deutsche Soldaten in (Sprecher) Gefechtspause im Morgengrauen. Kaffeetrinken. Ein Soldat mit einem Vogel. Soldaten der SS. Panzer fahren auf einer staubigen Piste. Kampfflugzeuge am Himmel. Deutsche schwere und leichte Flugabwehrartillerie wird eingesetzt. 8,8 cm Flak und Flakvierling feuern. Einschläge am Boden, ein Soldat geht in Deckung. Abschuss einer sowjetischen Maschine (Sprecher). Flugzeugtrümmer. Deutsche Panzer im Gefecht, Sturmgeschütz. Ritterkreuzträger Hauptmann Mangold im Bild (Sprecher). Deutsche Panzerabwehrkanone beschießen Ziele. Brennende Häuser. Bilder von Soldaten während einer Kampfpause. Auszeichnung von Soldaten, Rittmeister Später wird mit dem Ritterkreuz ausgezeichnet (Sprecher). Zerstörte sowjetische Panzer. Deutsche Werfer-Batterie wird geladen. Nebelwerfer feuern Salven. Einschläge.
