chapter	content
Vorfilm	Der Beruf der Krankenschwester, 1944. (Kranken-) Schwestern auf der Säuglingsstation. Frauen mit Babys und Kleinkindern. Frauen in der Küche an einem großen Herd mit großen Töpfen. Anlegen der Schwesternuniform. Menschen betreten ein großes Gebäude. Ausbildung in einer Krankenpflegeschule (Sprecher). Anatomieunterricht, ein Mann im weißen Kittel mit menschlichem Skelett und Schaubild der Muskulatur. Arbeit mit dem Mikroskop. Schwestern waschen eine Person in einem großen Bottich, Massage. Röntgenraum (?), eine Frau auf einer Liege, Frauen stehen dicht gedrängt in einem kleinen Raum. Säuglingsstation. Fütterung (?) eines Säuglings. Krankenvisite mit dem Arzt. Ausfüllen des Krankenblattes. Operationsschwestern bei einer Operation (Anästhesistin?). Unterricht: Geographie: Karte von Europa mit deutschen Frontverläufen. Junge Frauen beim Sport. Frauen beim Spielen. Krankenschwester mit Brosche und Haubenstein. Eine Krankenschwester legt einer Frau einen Verband an. Orale Untersuchung der Mundhöhle durch eine Schwester. Krankenpflege auf einer Kinderstation (Sprecher: „Napola“), Kinder in Betten und beim Schachspiel. Männer in Schlafanzügen auf Liegen, versorgende Krankenschwestern im Lazarett und in der Gemeindepflege. Schneelandschaft in der Dämmerung, Person mit Skiern und Stöcken.
1	1. Zoologischer Garten, Deutsches Reich, 1944. (Sprecher:) „Frühling im Zoo einer deutschen Großstadt.“ Flamingos. Blumen. Teich mit Schwänen. Besucher im Zoo. Ein Hirsch. Frau mit Kind. Paviane. Besucher beobachten Pavian beim Rückwärtssalto. Fütterung der Elefanten. Leopard im Käfig auf einem Ast liegend. Eisbären im Wasser. Löwen und Tiger im Käfig, streichelnder Wärter.
2	2. Postleitzahl, unbekannter Ort, Deutsches Reich, 1944. Briefabgabestelle vor der Einführung der Postleitzahl (Sprecher). Eine Frau sortiert Briefe in Regalfächer ein. Zwei Frauen beratschlagen die Adresse eines Schreibens und malen ein Fragezeichen auf den Brief. Aufnahme des Briefes mit Adresse. Kartentrick: Grenzgebiet zwischen Italien und dem annektierten Österreich, ein Stift zeigt auf den Ortsnamen aus der Adresse des Briefes, Leitzahl „12b“. Auf den vorherigen Brief wird von Hand eine „12b“ eingetragen. Fachkräfte sortieren Briefe nach Postleitzahlen in Regale ein. Verzeichnis der Deutschen Reichspost mit den Postleitzahlen für zehn Pfennig. Auszug aus dem Inhalt.
3	"3. Erholungsheim, unbekannter Ort, Deutsches Reich, 1944. Plakat: ""National Organization. Masters, Mates & Pilots on Strike. Affiliated A. F. of L."". Szenen von Streiks, Aufständen und Straßenschlachten an unbekannten Orten (Sprecher: „Amerika und England“). Soldaten mit aufgepflanzten Bajonetten. Einsatz von Tränengas (?) gegen Menschenmassen auf den Straßen. Straßenkämpfe. Männer gehen eine Treppe hinauf. Bergmannsfigur. Schild: ""Schließ‘ leise die Türen, Geh still durch dies Haus! Hier ruhen schwerschaffende Menschen sich aus. Die tausend Meter tief im Schacht, Emsig Schaffen bei Tag und bei Nacht!"" Zwei Männer beim Zeitung lesen. Männer in Liegestühlen. Rauchende Männer beim Zeitung lesen. Gong wird von einer Frau geläutet. Terrinen mit Suppe und Würstchen. Speisesaal. Männer beim Essen, beim Karten spielen und beim Billard. Auftritt einer Bergmanns-Blaskapelle (Original-Ton). Beifall klatschende Männer."
4	4. SA, unbekannter Ort, Deutsches Reich, 1944. (Sprecher:) „In ganz Deutschland ruft zurzeit die SA alle deutschen Männer zur Teilnahme am SA-Wehrschießen auf.“ Schießplatz. Stabschef der SA Wilhelm Schepmann begrüßt SA-Angehörige. Schießübungen im Liegen. Wilhelm Schepmann schießt im Stehen. Einem Jungen wird von einem SA-Mann das Schießen erklärt. Soldaten der Wehrmacht. Schießscheibe mit Umrissen eines Menschen. Notieren der Ergebnisse. Männer aller Berufe und jedes Alters beteiligen sich am Wehrschießen und bekunden somit ihren Wehrwillen. Schießen im Liegen unter Anleitung. Auswertung einer Schießscheibe.
5	"5. Rüstungsindustrie, unbekannter Ort, 1944. Angehörige der Hitler-Jungend auf einer Treppe, trommeln oder blasen in Hörner. Mädchen vom Bund deutscher Mädel schwenken Hakenkreuz-Fähnchen. Ritterkreuzträger Generalmajor Graf von Strachwitz wird begrüßt. Stürmischer Beifall durch Jugendliche. Strachwitz läuft durch die Menge. Männer vom Reichsarbeitsdienst. Arbeiterin überreicht dem General ein Modell eines Flakgeschützes (Original-Ton: ""Das Modell eines Flakgeschützes, dass von den Angehörigen unseres Werkes hergestellt wurde, überreichen wir ihnen zu Ehren am Besuch in unserem Werk. Bitte schön Herr General.""). General Strachwitz bedankt sich und hält eine Ansprache, wobei er die Arbeiter für die Qualität der Geschütze lobt (O-Ton: ""Ich bedanke mich. Es freut mich ganz besonders, dass ich ihnen hier allen die Grüße und den Dank der Front sagen darf. Den Dank von unseren so tapferen Soldaten die da draußen kämpfen mit euren Geschützen. Wir draußen an der Front, haben die Aufgaben die Heimat zu schützen und ihr liefert uns die vorzüglichen Waffen mit denen Heute den Feind unbedingt schlagen werden. Die Soldaten sind davon selbst überzeugt und wir versprechen euch, dass wir eure Heimat schützen werden und alles d‘ran setzen werden und kämpfen werden bis zum letzten Blutstropfen."")."
6	"6. Waffen-SS, Frankreich, 1944. Großkundgebung der ""europabewussten"" französischen Jugend (Sprecher). Ein großer Saal. Zuschauer. Anwesende Zuhörer zeigen den Hitlergruß. Französischer Sicherheitsminister Joseph Darnand hält eine Rede. Zuhörer applaudieren."
7	"7. Atlantikwall, unbekannter Ort, 1944. Lagebesprechung beim Oberbefehlshaber West Generalfeldmarschall von Rundstedt. Karl Rudolf Gerd von Rundstedt betritt den Raum und begrüßt die Anwesenden. Generalfeldmarschall Hugo Sperrle und Generalfeldmarschall Erwin Rommel. Rundstedt gibt einen Lageüberblick mit Hilfe einer Karte und nimmt die Nachrichten der Wehrmachtsbefehlshaber entgegen. Rundstedt verlässt die Besprechung und steigt in ein Auto. Standarte mit den Marschallstäben. Generalfeldmarschall Erwin Rommel besichtigt den Atlantikwall. Vor einem der Panzerwerke, hält er eine Rede vor Soldaten (Original-Ton: ""Im Hinblick auf unsere Streitanlagen, im Hinblick auf den Geist unserer Truppe, auf die neue Bewaffnung und die Kampfmittel die uns in die Hand gegeben sind, können wir den kommenden Ereignissen mit größter Ruhe entgegen sehen und brauchen uns keine Sekunde den Kopf zerbrechen, ob es gut oder schlecht geht, es geht bestimmt gut. Ich glaube nicht, dass der Engländer ein zweites Mal wiederkommt, wenn er hier den Versuch macht.""). Panzerwerk mit Schriftzug ""Skagerrak"". Soldat patrouilliert davor. Geschützrohr. Gesicht eines Soldaten. Geschosse werden mit Hilfe einer Feldbahn für eine Geschützübung herangefahren. Alarm. Soldaten rennen auf ihre Plätze. Geschosse werden vorbereitet. Ortung wird genannt und Richtung ermittelt (Original-Ton: ""Georteter Feind SOMQMG. Erste Ortung 301 Grad 8, 210 0 Uhr 0. Richtung 336 Grad. Entfernung 389. Sprenggranaten mit Kopfzünder laden.""). Daten und Befehle werden von allen Soldaten wiederholt. Ladevorgang des schweren Geschützes. Im Feuerleitraum, Original-Ton: ""Eine Salve, eine Salve. Feuer.“ Sprenggranaten werden mit Kopfzünder geladen. Feuern der Ladung. Bekanntgabe ungefähre Richtung (Original-Ton: ""Ungefähre Richtung 336 Grad 8.“ (Mannschaft lädt das Geschütz) „Und jetzt feuern“, Soldat drück Taste an einem Pult. (Soldat mit Handauslöser sagt „Feuer.""). Mündungsfeuer eines Geschützes bei Nacht."
8	8. Rückzug, unbekannter Ort, Sowjetunion, 1944. Kartentrick: Südwestliche Sowjetunion, Charkow, Dnjepropetrowsk, Odessa, Sewastopol, Jalta, Simferopol. Kertsch, Asowsches Meer, Bug, Dnjepr. Küstenstreifen mit Flakgeschützen. Marsch von Soldaten. Fahrzeugkolonnen. Offiziere beobachten das Geschehen. Zivilbevölkerung auf einer Straße mit Handgepäck. Soldaten beobachten mit Hilfe eines Fernglases den Himmel. Flugzeuge am Himmel. Flakgeschütze feuern. Soldat im Schützengraben. Soldaten beobachten mit Ferngläsern Ziele. Bombeneinschläge nahe einer Hafenanlage. Ein brennendes Flugzeug stürzt ab. Absturz eines Flugzeuges auf einem Feld und detoniert beim Aufschlag. Flugzeugführer ist mit einem Fallschirm abgesprungen (Fallschirm am Himmel). Pferdewagen und tote Pferde auf einer Straße. Geschütze feuern. Soldaten beim Telefonieren. Flakabwehr. Detonationen. Beobachtung aus dem Schützengraben. „Sewastopol“ (Sprecher). Rauch, Brände. Nebelgranaten, Rauchentwicklung. Im Schutz des künstlichen Nebels Transportschiffe auf See. Brennende Gebäude am Ufer. Alarm. Luftangriff. Flakabwehr vom Schiff aus. Bomben fallen ins Meer. Verwundete Soldaten werden auf ein Lazarettschiff überführt.
9	"9. Panzergrenadierdivision ""Großdeutschland"", (zwischen Pruth und Moldau?), Sowjetunion, 1944. Kartentrick: Westliche Sowjetunion, Moskau, Newel, Witebsk, Shitomir, Kirowograd, Nikopol, Dnjepr. „Bei den Männern der Panzergrenadier-Division ‚Großdeutschland‘“. Panther-Panzer. „Abwehrschlacht zwischen Pruth und Moldau“ (Sprecher). Vorbeirollende Panzer. Soldat mit Fernglas. Flugzeuge am Himmel. Bombeneinschläge. Soldaten. Bombeneinschläge. Soldaten beobachten das Schlachtfeld, Rauch. Panzer IV und Panther auf einem Feld. Generalleutnant Hasso Eccard von Manteuffel. Panzer setzt Soldaten ab. Panzer schießen. Soldat mit Fernglas. Lachende deutsche Soldaten mit Maschinengewehr. Sowjetische Kriegsgefangene im Schützengraben. Brennende Objekte. Funkmelder. Panzer mit drehendem Turm. Gesicht eines Soldaten. Lagebesprechung. Detonationen der Artillerie. Generalleutnant von Manteuffel. Soldaten und Panzer im Gelände. Panzer feuern auf Ziele. Detonationen. Deutsche Halbkettenfahrzeuge. Soldaten auf einem Panther-Panzer mit dem Gewehr schießend. Sowjetische Kriegsgefangene, darunter eine Frau (Sprecher:) ""Ein Flintenweib"". Zerstörte sowjetische Stellung mit Toten. Tote sowjetische Soldaten. Deutsche Soldaten stecken sich eine Zigarette an. Gesichter sowjetischer Kriegsgefangener und Gesichter deutscher Soldaten."
