chapter	content
1	1. Pilotenausbildung bei der Luftwaffe, Deutsches Reich, 1943 Der Segelflugplatz einer Flugzeugführerschule der Luftwaffe: Segelflugzeuge stehen in einer Reihe; Pilotenschüler marschieren daran vorbei; ein Ausbilder erläutert vor Schülern Flugmanöver anhand eines Modellseglers; Start, Flug und Landung eines Schulgleiters; ein geschlossenes Übungsflugzeug wird von einem Doppeldecker mit einem Kabel in die Luft geschleppt; verschiedene Flugmanöver des Segelfliegers. Ein Ausbilder und Schüler beim technischen Unterricht vor einem Flugzeugmotor. Navigationsausbildung in einem Unterrichtsraum. Mehrere Doppeldecker starten; Flug in Formation.
2	2. Feierliche Übernahme kroatischer Freiwilliger in die Waffen-SS, Zagreb, Kroatien, 1943 Soldaten der Waffen-SS sind auf einem Platz angetreten; ein SS-Offizier schreitet grüßend die Front ab; einzelne Soldaten; Vorbeimarsch der Formation.
3	3. Estnische Verbände bei der Ausbildung, Generalbezirk Estland, Reichskommissariat Ostland, 1943 Vereidigung estnischer Freiwilliger auf Adolf Hitler: eine Formation in Uniformen der Luftwaffe ist angetreten (Ärmelwappen „Estland“); Offiziere schreiten die Front ab; zur Vereidigung vorgetretene Abordnungen heben die Hand zum Schwur und berühren mit der anderen Hand eine Fahne. Soldaten des estnischen SS-Freiwilligen-Panzergrenadier-Bataillons „Narwa“ marschieren während einer Feldübung auf einem Weg durchs Gelände. Halbkettenfahrzeug zieht ein Flugabwehrgeschütz (8,8 cm Flak); Transporter mit einer Panzerabwehrkanone (7,5 cm PaK 40); PaK 40 wird in Stellung gebracht; Aufstellen eines Granatwerfers; Maschinengewehr (MG)-Feuer; Rohrwechsel des MGs; PaK 40 feuert; leichte 2 cm Flak verschießt Leuchtspurmunition.
4	4. Spanische Soldaten in ihrer Ruhestellung im Norden der Ostfront, Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1943 Eine Kompanie der „250. Infanteriedivision“ (Blaue Division/División Azul) marschiert in eine Ruhestellung; Ablegen der Waffen; Wegtreten; Rauchpause.
5	5. Rücktransport spanischer Verwundeter, Irun, Spanien, 1943 Ein Zug mit spanischen Verwundeten rollt in einen Bahnhof der spanischen Grenzstadt Irun ein; die Verwundeten werden aus dem Zug gebracht; Verabschiedung durch deutsche Offiziere auf dem Bahnsteig; Soldaten und Schwestern bringen die Verletzten in einen spanischen Lazarettzug; der Zug fährt ab; Abschiedsgrüße.
6	6. Stuka im Einsatz als Eisbrecher an der „Lapplandfront“, Finnland / Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1943 Kartentrick: Nördliche Ostfront, Finnland, UdSSR, Murmansk, Salla, Helsinki, Leningrad, Finnischer Meerbusen, Barentssee, Murmanische Küste, Kandalakscha-Bucht. Ein Sturzkampfflugzeug (Stuka Junkers Ju 87) rollt über eine vereiste Piste; Stuka im Flug; Abschuss einer Signalpistole; Bombenabwurf auf einen vereisten Fluss; Mehrere Bombenabwürfe im Sturzflug; Einschläge; der vom Eis befreite Fluss strömt unter einer Brücke hindurch.
7	7. Ausbildung einer Hundestaffel in Karelien, Finnland, 1943 Hundeführer des „SS-Gebirgs-Jäger-Regimentes 11“ spielen mit ihren Hunden im Schnee; ein Soldat bringt Futter; Fütterung. Hunde und Hundeführer bei der Ausbildung: Robben, Sitzen, Sprung über eine Holzwand; Hund wird zur „Bandenbekämpfung“ dressiert. Ein verwundeter Hund wird zum Veterinär gebracht und versorgt. Aufbruch einer Hundestreife; ein Posten mit Hund im Schnee.
8	8. Versorgung und Rückführung von Verwundeten aus dem Norden der Ostfront, Finnland / Reichskommissariat Norwegen, 1943 Bergung eines Verwundeten mit dem Hundeschlitten; an der Schneegrenze wird der Verwundete auf eine von einem Muli gezogene Trage umgebettet; Weitertransport über schlammige Wege; Durchwaten eines Flusses. Transport von Material und Verwundeten mit einer Drahtseilbahn über einen Fluss und eine Gebirgsschlucht. Lazarettfahrzeuge fahren zu einem Hafen an der norwegischen Küste; ein kleines Lazarettschiff übernimmt Verletzte; das Schiff legt ab. An einem steilen Felsufer wird ein Verwundeter mit einer Trage zu einem Boot abgeseilt; das Boot fährt zu einem Lazarettschiff auf See; Versorgung eines Patienten im Behandlungsraum des Schiffes; Generaloberst Eduard Dietl besucht Verwundete auf einem Lazarettschiff vor ihrer Abfahrt Richtung Deutschland; Dietl verteilt Zigarettenschachteln an Patienten in ihren Betten; Essensausgabe; Spiele während der Freizeit; eine Vorführung im Bordkino; Abfahrt des Schiffes; Verwundete an Deck; eine norwegische Gebirgslandschaft.
9	9. Einsatz von Schwimmwagen an der Ostfront, Sowjetunion, 1943 Kartentrick: Ostfront, Smolensk, Moskau, Orjol, Kiew, Kursk, Charkow, Woronesh, Stalino, Rostow, Sewastopol, Kertsch, Asowsches Meer, Wolga, Dnepr, Don. VW-Schwimmwagen einer Aufklärungseinheit der Waffen-SS fahren durchs Gelände; verschiedene Übungen; Absitzen während der Fahrt; MG-Feuer; Aufsitzen während der Fahrt. Durchschwimmen eines Flusses.
10	10. Der südliche Abschnitt der Ostfront, Ukrainische Sozialistische Sowjetrepublik, Sowjetunion, 1943 Generalfeldmarschall Erich von Manstein steigt in seinen Wagen und fährt zu einer Inspektion seiner Truppen: eine angetretene Einheit; Gespräch mit Verwundeten und Soldaten; Manstein besichtigt eine Stellung und blickt mit dem Fernglas aus dem graben auf das Vorfeld. Eine vorgeschobene Stellung: ein Soldat springt aus dem Graben und holt ein Tongefäß aus einer Ruine; dieses wird zum Kochen verwendet; Soldaten beim Essen. Alarm: Soldaten rennen in ihre Stellungen; MG-Feuer; gefallene sowjetische Soldaten liegen vor den Gräben; Granateinschläge vor den Stellungen. Granatwerfer-Feuer; Einschläge; feuerndes leichtes Infanteriegeschütz (7,5 cm leIG 18); leichte Feldhaubitzen (10,5 cm leFH 18) geben Sperrfeuer; Einschläge.
