chapter	content
1	1. Das Berliner Philharmonische Orchester spielt in einer Werkshalle, Berlin, Deutsches Reich, 1942 Fabrikgelände. Werksangehörige begeben sich für ein Konzert des Berliner Philharmonischen Orchesters in eine Werkshalle. Während einer Werkpause dirigiert Wilhelm Furtwängler dort die Ouvertüre zu Richard Wagners Oper „Die Meistersinger von Nürnberg“. Die zuhörenden Arbeiter und Angestellten des Werkes, unter ihnen auch verwundete Soldaten. Das Orchester und der Dirigent. Beifall am Ende des Konzerts. Furtwängler nimmt einen Blumenstrauß entgegen.
2	2. Rüstungsbetrieb im Deutschen Reich, 1942 Herstellung von Panzerkampfwagen und Sturmgeschützen. Die große Montagehalle. Der Turm eines Panzers auf der Drehbank. Triebräderherstellung. Montage der verschiedenen Teile. Gesamtansicht der Halle mit zahlreichen halbfertigen Panzern. Einbau des Motors. Montage des Laufwerks: Einsetzen der Achsen; Aufsetzen der Lauf- und Stützrollen. Mit Hilfe eines Krans werden die Panzer auf die Ketten gestellt und diese montiert. Bei einem Panzerkampfwagen III wird der Turm aufgesetzt. An einem Sturmgeschütz wird die Kanone angebracht. Gesamtansicht der Halle. Fertige Panzerkampfwagen III rollen durch die Montagehalle.
3	3. 50. Geburtstag des Generalfeldmarschalls Erhard Milch, Deutsches Reich, 1942 Reichsmarschall Hermann Göring trifft ein und beglückwünscht Milch zum Geburtstag. Der Sprecher hebt die Verdienste Milchs beim Aufbau der Luftwaffe, als Verantwortlicher für die flugtechnische Entwicklung und als Leiter der Rüstung der Luftwaffe hervor.
4	4. Auszeichnungen im Führerhauptquartier „Wolfsschanze“, Ostpreußen, Deutsches Reich, 1942 Die Jagdflieger Hauptmann Philipp (94 Abschüsse), Hauptmann Ubben (70 Abschüsse) und Oberleutnant Ostermann (81 Abschüsse) auf dem Weg in das Führerhauptquartier. Begrüßung. Hitler überreicht Ubben und Ostermann das Eichenlaub zum Ritterkreuz und Philipp das Eichenlaub mit Schwertern. Umlegen der Ritterkreuze. Die drei Offiziere am Kaffeetisch im Gespräch mit dem Reichsführer SS Heinrich Himmler.
5	5. Auf einen Feldflugplatz an der Ostfront, Sowjetunion, 1942 Karte der Ostfront von Leningrad bis Nikolajew. Flugzeug wird auf den Start vorbereitet. Hauptmann Philipp an seinem Jagdflugzeug (Messerschmidt Me 109) auf einem verschneiten Feldflugplatz. Abschusszeichen werden auf das Flugzeug gemalt. Das Flugzeug wird betankt. Hauptmann Philipp beim Start. Durch den Wind des Propellers wird ein Soldat umgeweht, der Holz auf einen Schlitten transportiert. Start des Flugzeuges. Angriff auf ein auftauchendes sowjetisches Jagdflugzeug (J 17). Das Bodenpersonal verfolgt den Kampf. Sowjetisches Flugzeug wird getroffen und explodiert.
6	6. An der Ostfront, Sowjetunion, 1942 „Am mittleren Frontabschnitt“ (Sprecher). Verschneite Landschaft. Schneeverwehungen. Deutsche Infanterieabteilung in Schneetarnkleidung. Über verschneite Straßen vorgehende Truppen. Ein Flugzeug fliegt im Tiefflug vorbei. Sonderkommandos beim Freischaufeln der Nachschubstraßen. Steckengebliebene Fahrzeuge werden wieder flottgemacht. Artilleriemunition wird herangefahren und entladen. General Stumme im Gespräch mit Soldaten. Ritterkreuzträger Oberleutnant Schwarz unter den Soldaten einer Artillerieeinheit. Beobachtung der Front. Artillerie nimmt ein Dorf unter Beschuss. Einschläge. Stoßtrupps versammeln sich, bereit zum Einsatz. Artillerie beim Feuern. Offenes Vorgehen von Stoßtrupps in weitem verschneitem Gelände. Rauch. Das brennende Dorf. Viele Tote im Schnee. Eine Kuh und ein Pferd irren umher. Brennendes Gehöft.
7	7. Frühling auf der Halbinsel Krim, Sowjetunion, 1942 Karte der Halbinsel Krim mit Perekop, Simferopol, Sewastopol, Feodosija und Kertsch. Soldaten bei der Gartenarbeit, beim Putzen ihrer Unterkünfte und beim Abliefern der Wintersachen an die Kammer. Ein Soldat schlägt als Signal zur Essensausgabe auf eine Säge. Deutsche und rumänische Soldaten beim Essen an der Küste des Schwarzen Meeres. Soldaten sonnen sich und lesen Zeitung. Bei der Körperpflege. Lachende Soldaten. Schilder die zu den Sportstätten zeigen. Soldaten beim Sporttreiben auf einer Hindernisbahn.
8	8. Panzer und Infanterie in offenem Gelände, Halbinsel Kertsch, Krim, Ostfront, Sowjetunion, 1942 Blick auf offenes Gelände. Beschuss. Panzerkampfwagen III und IV rollen in breiter Front vor und greifen an. Brennende Stoppelfelder. In hügeligem Gelände vorgehende Infanterie. Granateinschläge. Feuernde Panzerabwehrkanone (Pak). Im Gelände zerstörte sowjetische Panzer. Feldwebel Lippold wird durch einen General mit dem Ritterkreuz des Eisernen Kreuzes ausgezeichnet. Überreichung des Ritterkreuzes an den Gefreiten Unfried. Umlegen des Ritterkreuzes. Unfried bekommt ein Geschenk. Gratulation.
9	9. Großadmiral Raeder beim Besuch des Schlachtschiffes „Scharnhorst“, 21.03.1942 Die Mannschaft ist an Deck angetreten. Raeder betritt das Schlachtschiff. Raeder in Begleitung von Flottenchef Admiral Schniewind beim Abschreiten einer Ehrenformation. Raeder überreicht Konteradmiral Hoffmann, dem Kommandanten des Schlachtschiffes, das Ritterkreuz.
10	10. Auf einem italienischen Schlachtschiff im Mittelmeer, Italien, 1942 Die Mannschaft ist an Deck angetreten. Italienische Marineoffiziere erhalten von einem deutschen Admiral das Eiserne Kreuz. Ein deutsches Unterseeboot kehrt in einen italienischen Mittelmeerstützpunkt zurück. Der Kommandant Kapitänleutnant Kraus meldet die Ankunft seines Bootes dem italienischen Hafenkommandanten.
