chapter	content
1	1. Architekturausstellung in Belgrad, Königreich Jugoslawien, 1940 Architektur-Ausstellung „Neue Deutsche Baukunst“ auf dem Belgrader Messegelände vom 05.10 – 16.10.1940. Deutsche Gesandte begrüßen Prinzregent Paul von Jugoslawien, den Schirmherren der Ausstellung und Prinzessin Olga von Griechenland. Anschließende Besichtigung der Ausstellung, in der die Werke deutscher Architekten für das „Neue Deutschland“ präsentiert werden. Darunter auch die neue Elbbrücke bei Hamburg und ein Entwurf eines Belgrader Sportgeländes von Architekt Werner March.
2	2. Straßenbau der Italiener, Königreich Albanien, 1940 Straßenbau der italienischen Besetzer in Albanien. Bau einer 500m langen Brücke über einen großen Fluss. Mischen des Betons und Arbeiten an den Pfeilern.
3	3. Mussolinis Besuch der italienischen 8. Armee, Königreich Italien, 1940 Der italienische Ministerpräsident Benito Mussolini besucht die italienische 8. Armee (8ª Armata) an der italienischen Ostgrenze. Auf einem Podest mit hohen Offizieren und den angetretenen Einheiten, die ihn mit einem Ruf begrüßen. Mussolini und Begleiter schreiten die Einheiten ab.
4	4. Gedenkfeier am 09.11.1940 in München, Deutsches Reich, 1940 Marsch der Beteiligten vom „Marsch auf die Feldherrnhalle“ am 09.11.1923 (Hitler-Ludendorff-Putsch) mit der Blutfahne auf dem Königlichen Platz. Vor der „Ewigen Wache“, die Angehörigen der Toten von damals. Führer-Stellvertreter Rudolf Heß, Generalfeldmarschall Wilhelm Keitel und der bayerische Staatsminister für Unterricht und Kultus Adolf Wagner. Wagner begrüßt die Angehörigen. Die Menge auf dem Königlichen Platz. Heß, Wagner und Keitel salutieren vor den Ehrentempeln. Kranzniederlegung von Heß an den Gräbern im Ehrentempel. Unterlegt das „Horst-Wessel-Lied“.
5	5. Fahnenweihe der HJ in Prag, Protektorat Böhmen und Mähren, 1940 Weihe von 200 Fahnen der Hitlerjugend (HJ) und des Jungsvolks aus dem Protektorat Böhmen und Mähren auf dem Altstädter Ring in Prag durch Reichsjugendführer Artur Axmann. Die Abteilungen der Hitlerjugend mit den Fahnen auf dem Platz. Axmann mit Begleitern bei der Fahnenweihe.
6	6. Goebbels besucht Prag, Protektorat Böhmen und Mähren, 1940 Reichspropagandaminister Goebbels besucht Prag am 05.11.1940 auf Einladung des Reichsprotektors Konstantin von Neurath. Seine Ankunft am Bahnhof; Begrüßung durch den Gauleiter des Sudetenlandes Konrad Henlein und seinen Stellvertreter, Staatsekretär Karl Hermann Frank. Fahrt über die Moldau-Brücke zur Prager Burg, wo er von einem Kind begrüßt wird. Betreten des Palais Czernin, zusammen mit von Neurath. Goebbels Rede für die „Kulturschaffenden des Protektorats“. Menschenandrang vor der Prager Messehalle anlässlich der Rede von Goebbels. Vollbesetzte Halle, unter den Zuhörern auch von Neurath und Frank. Goebbels am Rednerpult, Thema der Rede ist der Krieg gegen England.
7	7. Neue Siedlung im Emsland, Deutsches Reich, 1940 Umsiedlung von Bauern, deren Land für Truppenübungsplätze benötigt wird. Ebnen des Bodens in der neuen Gegend; Roden von Bäumen. Bau von Bauernhöfen; Decken eines Daches. Fertigstellung eines Dorfes. Einzug der Bauern mit Leiterwagen. Spielende Kinder vor einem neuen Bauernhaus.
8	8. NSV-Kindertagesstätte in Praust bei Danzig, Reichsgau Danzig-Westpreußen, 1940 Eine Kindertagesstätte der Nationalsozialistischen Volkswohlfahrt (NSV) in Praust bei Danzig: Kinder mit Erzieherinnen beim Spielen im Freien. Die Kinder strömen in das Gebäude. Drinnen Kinder bei Gymnastik und Tanzspielen im Saal.
9	9. Pioniereinheiten bei einer Übung, Deutsches Reich, 1940 Pioniereinheiten üben den Kampf um Gewässer. Überwinden eines Flusses und Besetzung des „feindlichen Ufers“. Pioniertruppen fahren mit Sturmbooten vor und bilden am anderen Ufer eine Brückenkopf, unterstützt durch Artillerie. Vorrücken der Infanterie. Mit einer Floßsack-Fähre werden Infanteriewaffen übergesetzt: Pontons werden zum Fluss gebracht und zu Fähren zusammengestellt. Die einzelnen Fähren werden zu einer Pontonbrücke eingefahren. Schwere Feldhaubitzen (15 cm sFH 18) rücken vor (unterlegt „Das Pionierlied“).
10	10. Italienische Unterstützung im Luftkrieg gegen England, Militärverwaltung in Belgien und Nordfrankreich, 1940 Italienische Luftwaffeneinheiten treffen mit dem Zug in Flandern ein. Entladen eines Funkwagens. Abtransport des Treibstoffes mit einem Lkw. Italienische Soldaten beim Essen. Die angetretenen Einheiten; ein deutscher General. Der Befehlshaber eines Luftwaffenabschnitts trifft ein. Begrüßung durch den italienischen Kommandeur und Entgegennahme einer Meldung. Beide beim Abschreiten der Einheiten.
11	11. Luftkrieg gegen England von der Küste des Ärmelkanals aus, Vereinigtes Königreich Großbritannien und Nordirland, 1940 Auf einem Feldflughafen an der Kanalküste werden Jagdflugzeuge (Messerschmitt Bayrische Flugzeugwerke Bf 109) des Jagdgeschwaders 51 einsatzbereit gemacht. Munition für Maschinengewehre (MGs) wird in Magazine gefüllt und die Bordkanonen werden aufgeladen. Arbeiten am Motor eines Jagdflugzeuges. Auffüllen der Atemgeräte mit Sauerstoff. Oberstleutnant Mölders, neben Jagdflieger Galland, macht sich fertig zum Start und besteigt sein Jagdflugzeug. Maschinen des Geschwaders beim Start und Flug über den Ärmelkanal aus verschiedenen Perspektiven. Flugzeuge vor der englischen Steilküste. Luftkampf eines Jagdflugzeuges mit einem englischen Jagdflugzeug (Supermarine Spitfire), welches eine Rauchspur hinterlässt.
12	12. Seekrieg gegen England, Atlantischer Ozean, 1940 Auslaufen deutscher Unterseeboote (U-Boot) zum „Kampf gegen England“. Deutsche Hilfskreuzer bei der Fahrt. Entdeckung eines ausländischen Handelsschiffes. Ein Prisenkommando überprüft das Schiff auf Banngut und wird fündig. Die Besatzung des Frachtschiffes wird mit Booten zum Frachtschiff transportiert und an Bord genommen. Versenkung des ausländischen Schiffes durch Artilleriebeschuss. Das sinkende Schiff.
