chapter	content
1	1. Bau einer Behelfsbrücke über die Donau bei Belgrad, Jugoslawien, 1941 Eine gesprengte Donau-Brücke bei Belgrad. In Sichtweite zu dem zerstörten Übergang, Bau einer behelfsmäßigen Brücke (die sogenannte „Generaloberst Frhr. von Weichs Brücke“, errichtet durch das 677. Pionier-Regiment). Pfähle werden eingerammt. Taucher überprüfen die Befestigungen im Flussbett. Verlegung der Balken. Vermesser überwachen die Arbeiten. Einweihung der Brücke durch Generaloberst Maximilian von Weichs. Begrüßung des Regimentskommandeurs der Pioniere und ungarischer Offiziere. Fahrt im offenen Pkw über die neue 1250 Meter lange Brücke.
2	2. Belgrader Juden bei Aufräumungsarbeiten in Belgrad, Jugoslawien, 1941 Belgrader Juden (z.T. mit Armbinden) bei Aufräumungsarbeiten in der zerstörten Festung von Belgrad. Steine werden von Hand zu Hand weitertransportiert. Schutt und Geröll wird mit den Händen, teilweise auch mit Hilfe von Schüsseln und Schaufeln, beseitigt.
3	3. König Boris III. von Bulgarien in Kavala, Griechenland, 1941 In den Straßen der Stadt. König Boris III. bei der Besichtigung eines repräsentativen Gebäudes in Begleitung eines deutschen Generals. Die beiden auf einem Balkon der Villa und eine Treppe hinabschreitend. Der König auf der Straße unter deutschen Offizieren im Gespräch.
4	4. Nachhut im Raum Jugoslawien/Nordgriechenland, 1941 Motorisierte Infanterie und Panzer (Panzerbefehlswagen Sonderkraftfahrzeug Sd.Kfz. 265 und Panzer III) im Einsatz in Jugoslawien. Einsatz einer leichten Feldhaubitze (10,5 cm leFH 18). Körper liegen an einer Wallmauer. Serbische Soldaten mit weißen Tüchern in der Hand ergeben sich an einem Verschiebebahnhof. Weitere Gefangene werden aus den Güterwagen herausgeholt. Panzer III beim weiteren Vorrücken.
5	5. Luftangriffe auf britische Truppen, Griechenland, 1941 Sturzkampfflugzeug (Stuka Junkers Ju 87) beim Start von einem Feldflugplatz in Griechenland. Im Einsatz in Südgriechenland: Angriffsflug auf Rückzugsstraßen der Briten. Bombenabwürfe und die Einschläge. Sturzangriff auf englische Transportschiffe vor der griechischen Küste. Bombenangriff auf Straßen. Durch Luftangriff zerstörte Güterzüge und versenkte Schiffe im Hafen von Piräus. Zerstörte Lastkräne und Docks. Weitere Schiffswracks im Hafenwasser: darunter ein explodierter Munitionstransporter. Ruinen von Lagerhallen.
6	6. Deutsche Soldaten in Athen, Griechenland, 1941 Deutsche Soldaten besichtigen die Akropolis mit dem Parthenon und dem Erechtheion und lassen sich in der Korenhalle fotografieren. Die Siegesparade der deutschen und der italienischen Truppen vor dem Königsschloss in Athen am 03.05.1941. Generalfeldmarschall Wilhelm List, General Wolfram von Richthofen, SS-Obergruppenführer Sepp Dietrich und Generalmajor Ferdinand Schörner nehmen die Parade ab. Der Triumphzug mit: Infanterie, Kavallerie, Einheiten der SS-Leibstandarte „Adolf Hitler“, Halbkettenfahrzeuge u.a. mit schweren Feldhaubitzen (15 cm sFH 18), italienische Mannschaftswagen, Panzer III und Funk-Panzerspähwagen (Sd. Kfz. 232). Über der Parade fliegen Staffeln mit Ju 87. An der Straße viele Soldaten und die Bevölkerung, u.a. winkende Mädchen.
7	7. Verladen von Kriegsmaterial in der Ägäis, Griechenland, 1941 Zur Besetzung der griechischen Inselgruppen im ägäischen Meer werden Fahrzeuge, Waffen und Panzer in einem Hafen an der griechischen Küste verladen. Truppen beim Besteigen der Schiffe. Fahrt zur Besetzung der griechischen Inseln im ägäischen Meer mit dem Geleit von italienischen Zerstörern. In der Luft überwachen Kampfflugzeuge die Operation. Ausgabe von Waffen auf den Schiffen. Landung auf einer Insel. Soldaten gehen von Bord eines Truppentransporters. Übergabe der Insel an die deutsche Wehrmacht durch einen griechischen Offizier. Deutsche Soldaten in den Straßen des Hafenortes.
8	8. Verladen von Kriegsmaterial im Italien, 1941 Nachschub für das deutsche Afrikakorps wird in einem süditalienischen Hafen verladen: darunter Kräder, Pkw, Lkw, Geschütze und Halbkettenfahrzeuge. Leichte Flugabwehrkanone (2 cm Flak) schützt die Verladearbeiten.
9	9. Vormarsch deutscher Truppen in Libyen auf dem Weg nach Sollum, Ägypten/Italienisch-Libyen, 1941 Deutsche Soldaten in Fahrzeugen auf der Fahrt zur Front: darunter Kräder, Panzerspähwagen, Pkw und Lkw. Rast in einer Oasenstadt. Frauen in Gewand. Instandsetzung von Fahrzeugen und Waffenreinigung. Soldaten waschen und rasieren sich. Spaziergang durch die Oasenstadt: Kauf einheimischer Erzeugnisse; im Gespräch mit Arabern und Beduinen. Soldaten in einer Teestube. Aufsitzen der Soldaten und Weiterfahrt (unterlegt das Lied: „Panzer rollen in Afrika vor...“). Panzerspähwagen (Sd. Kfz. 222) durchfahren Sperren an der ägyptisch-libyschen Grenze. Deutsche Fahrzeugkolonnen und Panzer III auf ägyptischem Boden auf dem Weg nach Sollum. Soldaten besichtigen die im Wüstensand verstreuten Reste eines abgeschossenen englischen Kampffliegers.
10	10. Luftangriff auf Tobruk, Italienisch-Libyen, 1941 Generalfeldmarschall Erhard Milch in Fliegerkombination bei einer Einsatzbesprechung auf dem Feldflugplatz, verabschiedet sich von einem deutschen und einem italienischen General und begibt sich zum Flugzeug. Einsatzbesprechung auf einem Feldflugplatz in der Wüste bei einem Stuka-Geschwader. Befehl zum Angriffsflug gegen die Festung Tobruk. Start der Maschinen. Flugaufnahmen. Zerstörer (Messerschmitt Bayrische Flugzeugwerke Bf 110) sichern den Angriff der Ju 87. Bombenabwürfe und Einschläge in der Tiefe.
