chapter	content
Vorfilm	Tran und Helle über die Ehe Tran und Helle sprechen über die Ehe. Tran will eine Nützlichkeitsehe schließen: Ordnung im Hause, steuerliche Vorteile, Mitgift. Helle: „Die Ehe soll eine Lebenskameradschaft sein. Du sollst aus Liebe heiraten“.
1	1. Die Situation nach dem Westfeldzug in Antwerpen, Militärverwaltung in Belgien und Nordfrankreich, 1940 Vorrollende Panzer II und III und Spähwagen (Sonderkraftfahrzeug Sd.Kfz. 222). Kartenskizze: Rückblick über den Frankreichfeldzug von Sedan nach Abbeville. Nachschuborganisation und Verladen von Brennstoff auf Lkws. Deutsche Transportkolonne in Belgien. Benzinkanister werden aus Flugzeugen geladen. Ein Schild in Antwerpen: „Kraut, Mecheln, Brüssel, Kraftfuhrpark Antwerpen, Kolonnenstraße Mons, H.Z. Bayern“. Französische Wagen, die wegen Kraftstoffmangel liegen blieben. Trecks heimkehrender belgischer und französischer Flüchtlinge. Pferde und Hühner. Nationalsozialistische Volkswohlfahrt (NSV) bzw. „Assistance National-Socialiste“ verteilt Lebensmittel.
2	2. Deutsche Soldaten in einem Gefangenenlager, Frankreich, 1940 Deutsche Soldaten als Gefangene in einem französischen Lager. Hinweis auf den Waffenstillstandsvertrag mit Frankreich, dem zufolge alle deutschen Kriegsgefangenen ausgeliefert werden sollen.
3	3. Einmarsch in Domrémy und Befreiung deutscher Gefangener, Frankreich, 1940 Einmarsch in Domrémy, dem Geburtsort von Jeanne d'Arc. Ihr Denkmal. Deutsche Soldaten beim Singen und Marschieren. Auffinden eines Gefangenenlagers und Befreiung der deutschen Zivilgefangenen, die ihre Befreier jubelnd empfangen.
4	4. Französische Gefangene in einem Lager, Frankreich, 1940 Französische Gefangene auf dem Marsch ins Sammellager. (Nord-)Afrikaner führen Heimattanz im Lager auf, beim Kartenspielen und beim Essen. Exkurs des Sprechers über „Zivilisation und Barbarei“.
5	5. Wiederaufbau der Eisenbahngleise, Rennes, Militärverwaltung in Belgien und Nordfrankreich, 1940 Deutsche Eisenbahnpioniere bei der Räumung der Trümmer auf dem Verschiebebahnhof von Rennes. Zerstörte Eisenbahngleise. Wiederaufbau einer Eisenbahnbrücke durch Pioniere und der Organisation Todt, beim Schrauben und Festzurren. Der erste Zug, geschmückt mit Reichskriegsflagge, passiert die Brücke.
6	6. Situation in Amsterdam, Reichskommissariat Niederlande, 1940 Aufnahmen einer Hauptgeschäftsstraße und einer Kirche. Viele Fahrradfahrer, im Hintergrund eine Straßenbahn.
7	7. Treiben auf dem großen Markt in Brüssel, Militärverwaltung in Belgien und Nordfrankreich, 1940 Der große Markt in Brüssel: Gefüllte Straßencafés, der Vogelmarkt, ein Vogelkäfig, deutsches Militär beim Einkauf von Käse. Im Hintergrund das Brüsseler Rathaus.
8	8. Eisenbahnverkehr und Herstellung der Frontzeitung in Paris, Frankreich, 1940 Nordbahnhof/Gare du Nord: Erster Zug aus Deutschland, ein Truppentransport trifft über die wiederhergestellte Strecke ein, geschmückt mit der Reichskriegsflagge. Noch französisch-englische Hinweisschilder im Bahnhof. Generalfeldmarschall Gerd von Rundstedt begrüßt die deutschen Truppen am Bahnhof. Der Eiffelturm. Herstellung der deutschen Frontzeitung „West-Front“ im Gebäude des Paris-Soir (Nationalzeitung), Setzmaschine, Umbruch, Bürstenabzug, Rotation, Auslieferung.
9	9. Hitlers Besuch der Sehenswürdigkeiten in Paris, Frankreich, 1940 Bekanntgabe der Waffenstillstandsbedingungen an die Pariser Bevölkerung durch Lautsprecher. Die Zuhörerschaft. Gedämpfte Diskussionen. Französische Kriegsgefangene entfernen Sandsäcke am Place de la Concorde, vom Obelisken von Luxor und dem Grab Napoleons. Hitler trifft in Paris ein und besichtigt die La Madeleine. Fahrt durch die menschenleeren Straßen am frühen Morgen. Salutierende französische Polizisten. Place de la Concorde, Arc de Triomphe du Carrousel, Palais de Chaillot und Eiffelturm. Hitler mit Albert Speer.
10	10. Besuch Raeders der Marineartillerie in Flandern, Militärverwaltung in Belgien und Nordfrankreich, 1940 Großadmiral Erich Raeder trifft mit Transportflugzeug (Junkers Ju 52/3m) ein. Salutierende Soldaten. Er besichtigt die Befestigung an der Kanalküste. Marineartillerie.
11	11. Zerstörungen im Reich und Aufbruch in den Kampf gegen Großbritannien, Deutsches Reich, 1940 Durch britische Bombenabwürfe zerstörte Häuser in West- und Norddeutschland. Aufräumarbeiten, Bauarbeiten zur Erweiterung eines deutschen Militärflugplatzes. Männer bei der Arbeit mit Schubkarren und Spaten. Ein Blindgänger in einer Pfütze mit einem Hinweisschild versehen: „Blindgänger – Lebensgefahr“.
12	12. Seekrieg und britischer Luftangriff im Reichskommissariat Norwegen, 1940 Deutsche Seeflugzeuge wassern in einem Fjord. Wrack eines britischen Transporters, britischer Luftangriff, Flugabwehrkanonen (Flak)-Feuer (3,7 cm SK C/30) eines deutschen Zerstörers. Deutsche Geschwader: Kreuzer, Zerstörer und Schnellboote in Kiellinie, aufgetauchte U-Boote, Sturzkampfflugzeuge (Stuka Ju 87) in der Luft. Begleitmusik: „...denn wir fahren gegen Engeland“.
