chapter	content
Vorfilm	"Schriftzug: ""Was jeder wissen muss!"" Eine Lokomotive, Gleisanlage, Stellwerk, Güterzug auf einer Behelfsbrücke, Transport von Gütern verschiedener Art auf Eisenbahnwaggons, Industrieanalgen. Verladebahn für Lebendvieh. Viehwaggons, Haltepferche mit Rindern, Schweine am Bahnsteig „Gleis 5“, Rinder an „Gleis 4“, Menschen in weißen Kitteln, lebende Schweine werden in einen Güterwagen getrieben. Milchkannen werden aus einem Güterwaggon auf ein Laufband gehoben. Obst wird in Kisten in einen Waggon verladen. Rangieren. Binnenschifffahrt, Schiffe auf einem Fluss/Kanal. Stückguttransport mit der Eisenbahn. Transport mit Lastkraftwagen. Trick: Eine Verkehrskarte mit Schriftzug: „Fahrbereitschaftsleiter“. Menschen in einem Büro. Ausgefülltes Formular für die „Gemeinde Niederschöneweide, Firmenbezeichnung Konrad Krebs, Bln.-Niederschöneweide, Fennstrasse 30, Fernruf: 632659 … Mehl für Berliner Brotfabriken und Bäckereien, sowie Lebensmitteltransporte.“ Trick: Einblendung von „Lkw“ (Lastkraftwagen), „Zgm“ (Zugmaschine), „Pkw“ (Personenkraftwagen), „Anhänger“, „Pferde“. Handschriftlich ausgefüllte ""Fahrzeuganforderung"": „Güterart 31, Tag 19.5.42, zeit 12:30, Firma: Dampfsägewerk Köpenick, Ruf Nr.: 642213, Bearbeiter: Müller, Benötigt: Kraftfahrzeug: 10 Lkw (Lkw., Zugm., Lieferung) 5 to, je 1 Anhänger 8 to, am 23.5.42 bis 6 Uhr zu befördern von: Berlin nach Kiel, Marinewerft Kiel. Ein Schild an einer Windschutzscheibe: „Das Fahrzeug IK 279650 ist vom 30.9.41 bis 15.6.42 vom OP Nbv VIII beordert.“ Lkw auf einer Straße, Pferdefuhrwerk mit Kisten. Reichsbahndirektion (Schild) Berlin von außen. Beladung von Güterwagen in Berlin. Getreide-, Zuckerrüben- und Kartoffeltransporte. Züge mit Panzern und Geschützen."
1	"1. Orgel, Kufstein, annektiertes Österreich, 1944. Blick über ein Tal, bewaldete Berge im Hintergrund, am Talboden eine Ortschaft. Ein Gebirgsjäger und eine Frau liegend im Gras, im Hintergrund ein Rundturm mit Spitzdach. (Sprecher:) „Es sind die Klänge der ""Helden-Orgel"" von Kufstein.“ Musikdirektor Prof. Bachler an einer Orgel musizierend. Eine Soldatenhochzeit (?) im Hof. Einwohner in Landestracht und verwundete Soldaten im Freien. Darunter auch ein Brautpaar. Die Register der Orgel. Blick auf den Ort Kufstein, ein Bauer mit Pflug auf dem Feld, im Hintergrund die Festungsanlage auf dem Hügel."
2	2. Landwirtschaft, Steiermark, annektiertes Österreich, 1944. Männliche und weibliche Landwirte bei der Landwirtschaft an steilen Hängen. Der „Dungwagen“ (ein flacher, einachsiger Holzwagen mit tierischem Kot) wird mit einem Drahtseil und einer Winde einen steilen Hang hochgezogen. Eine ältere Frau zieht mit Werkzeug Kotstücke vom Wagen auf den Hang. Frauen beim Pflügen eines steilen Hanges mit Ochsenpflug. Ein kleines Dorf im Tal.
3	3. Hitler-Jugend, Sport, Deutsches Reich, 1944. Kinder und Jugendliche in kurzen Hosen bei Sportübungen. Übungen am Hochreck, am Sprungtisch, Kinder beim Boxkampf (Sprecher: „Mann gegen Mann“) und „Bodenturnen“. Jungmädel in großer Zahl als Zuschauer.
4	4. Zirkus, Berlin, Deutsches Reich, 1944. (Sprecher:) „Ein Nachmittag im Circus Busch.“ Ein Kopf eines Löwen, ein Kopf eines Tigers. Dressurakte mit Löwen und Eisbären. Ein Löwe balanciert auf Drahtseilen. Bodenakrobaten bei ihrer Nummer. Unter den Zuschauern sind vorwiegend Soldaten.
5	5. Seekrieg, unbekannter Ort, 1944. (Sprecher:) „Das Heer macht Besuch bei der Kriegsmarine.“ „Männer der Division Feldherrnhalle sind auf ein U-Boot eingeladen.“ Soldaten springen auf ein Boot. Gespräch zwischen Heeres- und Marinesoldaten an Bord. Besteigen des U-Bootes. Empfang der Soldaten auf dem U-Boot durch Ritterkreuzträger mit Brillanten Korvettenkapitän Wolfgang Lüth, der im Gespräch gestikuliert.
6	6. Rüstungsindustrie, unbekannter Ort, 1944. (Sprecher:) „Die Front in Tuchfühlung mit der Rüstung.“ „Ein Stoßtrupp vom Jassy-Abschnitt.“ Rüstungsarbeiter sitzen an einem Tisch. Offiziere der Wehrmacht erscheinen. Arbeiter beim Essen. Arbeit am Hochofen und an der schweren Presse. Großes, glühendes Objekt wird in einer Presse bearbeitet. Die Soldaten verteilen an die Rüstungsarbeiter Zigaretten.
7	7. Albert Speer, Deutsches Reich, 1944. Speer hält eine Rede im Rüstungswerk (kein O-Ton). Aufnahmen alter und junger Arbeiter. Speer umringt von den Arbeitern im Gespräch.
8	8. Seekrieg, unbekannter Ort, 1944. In einem Minensammellager werden Minen ausgeschlachtet (Sprecher). Zahlreiche Seeminen liegen nebeneinander an Land. Eine Mine in der Brandung am Strand wird von Marinesoldaten entschärft und an Ort und Stelle gesprengt. Ein Kapitänleutnant und ein Gefreiter entschärfen eine Seemine. Explosion.
09	09. Besuch des slowakischen Staatspräsidenten, Dr. Josef Tiso und Ministerpräsidenten, Prof. Vojtech Tuka bei Hitler im Führerhauptquartier, 1944 Ankunft des Sonderzuges, Offiziere und Würdenträger des NS-Staates am Bahnsteig. Flugabwehrgeschütze auf dem Zug mit Begleitmannschaft. Josef Tiso und Vojtech Tuka steigen aus dem Zug. Begrüßung von Josef Tiso durch Adolf Hitler. Hitler führt Tiso zu einem bereitstehenden PKW.
