chapter	content
1	1. 85. Geburtstag des Komponisten Sinding, Reichskommissariat Norwegen, 1941 Der Komponist Christian Sinding, arbeitend an seinem Schreibtisch, beim Anzünden einer Zigarre.
2	2. Norwegische Arbeiter fahren zum Arbeitseinsatz nach Deutschland, Reichskommissariat Norwegen/Deutsches Reich, 1941 Norwegische Arbeiter besteigen einen Zug in Oslo. Abschied und Abfahrt des Zuges. Ankunft der Norweger mit einem Fährschiff in Saßnitz. Verlassen des Schiffes und Verteilung von Verpflegung durch die Nationalsozialistische Volkswohlfahrt (NSV).
3	3. Wiederaufbau von Gehöften, Generalgouvernement, 1941 Deutsche Soldaten und „volksdeutsche“ Bauern bei Reparatur der Zäune, Instandsetzung der Maschinen, Beschlagen der Pferde.
4	4. Wiedereröffnung des Eisenbahntunnels Żegiestowie –Muszyna, Generalgouvernement, 1941 Eisenbahntunnel Żegiestowie -Muszyna an der polnisch-slowakischen Grenze wird wieder in Betrieb genommen. Ein Zug bei der Fahrt durch den Tunnel.
5	5. Gastspiel des Komponisten Lehár in Paris, Frankreich, 1941 Komponist Franz Lehár dirigiert im Théâtre de la Gaîté Lyrique die Operette „Das Land des Lächelns“. Im Theatersaal sind viele Soldaten anwesend. Lehár verbeugt sich auf der Bühne mit den Schauspielern, und bekommt anschließend Blumen überreicht.
6	6. Einweihung der Jugendherberge „Saarpfalz“, Kärnten, Ostmark, 1941 Fanfarenkorps der Hitlerjugend (HJ). Eintreffen einer Abordnung der slowakischen „Hlinka-Jugend“. Angetretene Jugendliche auf dem Platz vor der Herberge. Die Jugendlichen beim Mittagessen. Skilauf der Jungen.
7	7. Rede des Reichspressechefs Otto Dietrich in Prag, Protektorat Böhmen und Mähren, 1941 Rede des Reichspressechefs Otto Dietrich vor der Deutschen Akademie am 20.01.1941 auf der Prager Burg. Unter den Zuhörern sind der Staatspräsident des Protektorats Böhmen und Mähren, Emil Hácha und der Reichsprotektor von Böhmen und Mähren Konstantin Freiherr von Neurath.
8	8. Einführung des neuen Gauleiters von Süd Hannover-Braunschweig, Lauterbacher, Hannover, Deutsches Reich, 1941 Einführung des Gauleiters Hartmann Lauterbacher durch Stellvertreter Hitlers, Rudolf Heß, in der Stadthalle von Hannover am 19.01.1941. Rudolf Heß am Rednerpult. Unter den Zuhörern sind der Reichsminister Bernhard Rust, Stabschef der SA Viktor Lutze und Reichsorganisationsleiter Robert Ley. Heß gratuliert Lauterbacher nach der Rede unter dem Beifall der Zuhörer.
9	9. Besuch des NSB-Leiters Mussert in Berlin, Deutsches Reich, 1941 Eintreffen des Leiters der „Nationalsozialistischen Bewegung in den Niederlanden“ (Nationaal-Socialistische Beweging NSB), Anton Adriaan Mussert. Empfang in Berlin durch NSB-Mitglieder. Mussert bei einer Ansprache.
10	10. General Yamashita zu Besuch bei Walter von Brauchitsch, Berlin, Deutsches Reich, 1941 Empfang des Leiters einer japanischen militärischen Studienkommission, Tomoyuki Yamashita, bei Generalfeldmarschall Walther von Brauchitsch am 18.01.1941. Übergabe eines Samuraischwertes als Geschenk der japanischen Armee.
11	11. Herstellung von Stahlhelmen, Deutsches Reich, 1941 Eintauchen der Platten aus Chromnickelstahl in Seifenwasser. Pressen. Bearbeitung der Helmränder. Erhitzen des Chromnickelstahls und Härtung in einem Ölbad. Lackieren der Helme. Anbringen des Adler-Emblems. Einsetzen des Fassleders. Trocknen. Schussproben an den Helmen. Soldaten mit Stahlhelmen.
12	12. Übung einer Sturmbatterie und eines Infanterieverbandes, Deutsches Reich, 1941 Auffahren von Selbstfahrlafetten (Sturmgeschütz StuG III) und mehreren Schützenpanzerwagen (Sonderkraftfahrzeug Sd.Kfz 250 und 251), zu einer Übung mit einem Infanterieverband in verschneitem Gelände. Verladen der Munition. Infanterie beim Vorgehen. Geschütze rollen vor und feuern.
13	13. Übungsflug des Fernkampfbombers „Condor“, Deutsches Reich, 1941 Der neue Fernkampfbomber Focke-Wulf Fw 200 „Condor“ wird zur Startbahn gerollt. Motorenkontrolle. Auftanken. Start und Flug.
14	14. Deutsch-Italienischer Luftkampf auf Malta, Italien/Valletta, 1941 Deutsche und italienische Flagge auf einem Feldflugplatz in Süditalien. Auf dem Rollfeld sind deutsche und italienische Jagdflugzeuge (Bayrische Flugzeugwerke Bf 109, Junkers Ju 87, Ju 88 und Macchi MC.200 „Saetta“) und Bomber (Heinkel He 111, Savoia-Marchetti SM.79 „Sparviere“). Ju 87 werden startklar gemacht. Start und Flug der Staffeln. Sturzflüge und Bombenabwürfe auf den Hafen von Valletta.
15	15. Angriff eines deutschen U-Bootes auf englische Schiffe im Südatlantik, 1941 Fahrt eines deutschen U-Bootes auf dem Südatlantik. Arbeiten an Deck. Matrosen mit Tropenhelmen an Bord. Zeremonie der Äquatortaufe. Handelsschiffe werden gesichtet. Matrosen gehen auf Gefechtsstation. Ein portugiesisches Schiff wird durch einen Kanonenschuss gestoppt. Besatzung des Schiffes in Booten. Erlaubnis zur Weiterfahrt mit dem Schiff. Ein englisches Frachtschiff wird unter Beschuss genommen und sinkt. Die Besatzung wird aus den Booten an Bord genommen. Ein englisches Tankschiff wird unter Beschuss genommen und brennt aus.
