chapter	content
1	1. Treffen zwischen Hitler und Mussolini am Brennerpass, Italien, 1941 Adolf Hitler trifft mit dem Zug am 02.06.1941 am Brenner ein und schüttelt die Hand des italienischen Ministerpräsidenten Benito Mussolini. Gang und Empfang auf dem Bahnhof. Hitler und Mussolini besteigen einen Sonderzug. Aufnahme des Bahnhof „Brennero“. Nach ihren Gesprächen verlassen Hitler und Mussolini den Zug. Verabschiedung auf dem Bahnhof u.a. in Anwesenheit von Reichsaußenminister von Ribbentrop, Generalfeldmarschall Keitel und dem italienischen Außenminister Graf Galeazzo Ciano. Hitler durch ein Fenster seines Sonderzuges im Wortwechsel mit Mussolini.
2	2. Pavelić bei Hitler auf dem Berghof, Obersalzberg, Deutsches Reich, 1941 Der kroatische Präsident Ante Pavelić trifft mit dem Auto am 06.06.1941 auf dem Berghof ein. Begrüßung und Empfang auf der Treppe durch Adolf Hitler. Panoramaeinstellung der Berglandschaft; Wachsoldat. Im Saal Gespräch am runden Tisch u.a. mit Ribbentrop, Reichsmarschall Hermann Göring und General der Flieger Karl Heinrich Bodenschatz. Außenansicht des Berghofes mit Balkon und Hakenkreuzfahne. Auf der Terrasse übergibt Pavelić an Hitler eine friderizianische Fahne aus dem Siebenjährigen Krieg und ein Schachspiel König Friedrichs II., Göring betrachtet die Geschenke. Gemeinsames Abschreiten der SS-Ehrenfront. Verabschiedung von Pavelić und dem deutschen Gesandten Siegfried Kasche durch Hitler, Göring und Ribbentrop auf der Treppe. Abfahrt des Pkws.
3	3. Übernahme von 13.000 Jugendlichen der „Volksjugend Luxemburg“ in die HJ, Luxemburg (Stadt), Zivilverwaltung Luxemburg, 1941 Auf einem Platz in der Stadt Luxemburg: Formationen der „Luxemburger Volksjugend“ grüßen die einmarschierenden Hitlerjugend (HJ)-Fahnen-Kolonnen. Bühne mit Ehrengästen und Reichsjugendführer Arthur Axmann am Rednerpult. Jugendliche der Formationen. Axmann spricht zu den Jugendgruppen. Lange Reihe von Krädern mit Hakenkreuzwimpeln. Totale des Veranstaltungsplatzes mit Menschenmenge und Bühne. Mädchengruppe. Entrollen der neuen HJ-Fahnen. Weihe der neuen HJ-Fahnen und Gratulation durch Axmann.
4	4. Vereidigung der neu aufgestellten elsässischen SA-Einheiten in Straßburg, Zivilverwaltung Elsass, 1941 Das Straßburger Münster. Große Menschenmenge von Sturmabteilungs (SA)-Leuten auf einem Platz in der Altstadt von Straßburg. Der SA-Stabschef Victor Lutze steht am Rednerpult und spricht auf der Kundgebung. SA-Mann und die Standarten „Kehl“ und „Breisgau“. Die Vereidigungszeremonie. Menschenmasse auf dem Platz.
5	5. Die Stadt Dünkirchen nach dem Rückzug der englischen Truppen und ein Jahr später, Militärverwaltung in Belgien und Nordfrankreich, 1940/1941 Markierungsstein „Dunkerque“. Zerstörtes englisches Kampfflugzeug. Ansichten des zerstörten und brennenden Dünkirchen nach dem Rückzug der englischen Truppen während des Frankreichfeldzuges. Die Zerstörungen in der Stadt: zerstörtes englisches Kriegsgerät am Straßenrand; brennende Öltanks; versenkte Schiffe im Hafen. Deutsche Soldaten mit Pferd im Hafen von Dünkirchen (im Hintergrund ein großes Schiffswrack). Landungssteg aus Autowracks. 1941 während der Besetzung: Ein Acker in Dünkirchen; Bauer bearbeitet sein Feld mittels Pferdepflug. Straßenbilder mit einem französischen Polizisten und mit einem deutschen Soldaten als Verkehrsposten vor der Kreiskommandantur. Hinweisschilder auf einzelne deutsche Standorte in Dünkirchen. Deutscher Soldat beobachtet mit Feldstecher vorbeifahrendes Segelschiff an der Küste. Flugabwehrkanonen (Flak)-Sicherung. Arbeiter beim Straßenbau. Arbeit auf einer Sammelstelle für Beutefahrzeuge; Schrottgewinnung und Verladen von verwertbarem Material. Sammelstelle für Reifen. Getriebeteile auf einem Wagen. Ersatzteillager für Motoren in einer Werkstatt; zahlreiche Fahrzeugachsen; Werkhalle.
6	6. Beschuss eines britischen Geleitzuges an der Ärmelkanalküste, Militärverwaltung in Belgien und Nordfrankreich, 1941 Wacht mit Kanonenrohren und Tarnnetzen an der Kanalküste, Soldat sieht durch Feldstecher. Zwei Wachtposten patrouillieren an der Küste. Alarm bei einer Küstenbatterie der Kriegsmarine. Mannschaften begeben sich auf Gefechtsposten. Kanonenrohre einer. Beobachtung im Befehlsstand der Batterie; im Messstand. Granaten werden herangebracht. Laden und Abfeuern einer Küstenbatterie zum Beschuss eines englischen Geleitzuges, der versucht Dover zu erreichen. Beobachten der Einschläge am Scherenfernrohr. Kanonenrohre werden aufgerichtet. Soldat gibt Kommandos; feuern der Kanonen und anderer Geschütze. Soldat beobachtet das Geschehen durch Feldstecher.
7	7. Deutscher Bombenangriff auf Birmingham, Großbritannien, 1941 Getarnte Kampfflugzeuge (Junkers Ju 88) werden auf einem Feldflughafen an der Kanalküste startklar gemacht und mit Bomben beladen. Zwei Fliegersoldaten mit einem Hund. Zwei Soldaten begeben sich zum Kampfflugzeug. Start der Maschinen und Flug in großer Höhe. Flugbilder durch die Glaskanzel des Piloten. Formationsflug. Abwurf von Leuchtbomben über dem nächtlichen Birmingham. Abwurf von Spreng- und Brandbomben auf die Stadt. Brände in der Tiefe (unterlegt das Lied: „Bomben auf Engeland...“).
8	8. Einmarsch bulgarischer Truppen in Kawala, Griechenland, 1941 Infanterie, Kavallerie und bespannte Einheiten auf einer Straße in der griechischen Stadt Kawala. Am Straßenrand stehen Soldaten und Zuschauer aus der Bevölkerung, es spielt eine bulgarische Militärkapelle.
9	9. Auszeichnung deutscher Fallschirmjäger durch General Kurt Student, Griechenland, 1941 Angetretene deutsche Fallschirmjäger-Einheiten auf einem Stützpunkt in Griechenland. General Kurt Student schreitet die Formationen ab. Einige Fallschirmjäger, die beim Einsatz um Korinth beteiligt waren, werden mit dem Eisernen Kreuz (EK) ausgezeichnet. General der Flieger Student beglückwünscht die Ausgezeichneten.
10	10. Deutsche Pioniereinheiten beseitigen Trümmer im Kanal von Korinth, Griechenland, 1941 Der Kanal von Korinth: große Trümmerteile der gesprengten Brücke ragen aus dem Wasser des Kanals. Sprengstoff wird vorbereitet, um die Teile zu zerkleinern. Einsatz von Tauchern beim Anbringen der Sprengladungen. Boote lassen Taucher hinab. Auftauchen. Kanal in der Draufsicht. Unterwassersprengung der Eisenteile. Die Teile werden mittels Kran geborgen. Pionier durchfährt mit einem Boot die von Trümmern freigelegte Fahrrinne.
