chapter	content
1	"1. Entschärfung, Berlin, Deutsches Reich, 1945. Hauptmann Aghta, Träger des Eichenlaubs zum Ritterkreuz, vom Bomben-Sprengkommando Berlin vor einer großen Wandkarte. Aghta bei der Ausgabe der Einsatzbefehle an seine Untergebenen. Soldaten verlassen ein Haus. Weibliche Zivilisten verlassen ein Haus. Warnschild ""Blindgänger"". Aghta bei der Entschärfung (?) eines Langzeitzünders einer in eine Straße eingeschlagenen Bombe. Aus Entfernung zusehende Zivilisten. Ein Mann vom Bomben-Sprengkommando steigt in ein Loch in einer Straße um einen Blindgänger zu entschärfen. Totale einer schweren Explosion in einer Straße."
2	"2. Volkssturm, Deutsches Reich, 1945. Ein Soldat demonstriert Zivilisten, hier älteren Männern, wie eine Panzerfaust fertig geladen wird. Gesichter der älteren Männer. Schild mit Richtungspfeil: ""Jetzt wird's Ernst! Zum Scharfschießen"". Ein Soldat hält im Stehen eine Panzerfaust mit ausgestrecktem Arm über dem Kopf und feuert sie ab. Die älteren Männer ducken sich. Einschlag an einem kleinen Gebäude. Detail des Ladevorgangs. Zusehende Zivilisten. Frau im Vordergrund. Kniender Soldat feuert Panzerfaust ab. Neben ihm stehende ältere Männer und ein Hitlerjunge. Einschlag am Zielgebäude. Frau mit Panzerfaust wird von einem Soldaten eingewiesen. Frau zielt und feuert Panzerfaust ab. Einschlag im Zielgebiet."
3	"3. Belobigungsszene, Berlin, 1945. Im Garten der Reichskanzlei (?) angetretene Abordnung von 20 Hitlerjungen. Hitler aus Bildhintergrund näherkommend. Hitler spricht einzeln mit den Jungen, gibt ihnen die Hand und klopft ihnen auf die Schulter. Reichsjugendführer Arthur Axmann neben Hitler, teilweise Erläuterungen gebend. Hitlerjungen erzählen von ihrem Fronteinsatz. Ein Oberscharführer: (Original-Ton:) ""Ich habe zunächst mit 13 meiner Kameraden unter dem Befehl unseres Bannführers am Stadtrand von Hindenburg-West gelegen. [Unverständlich] ... gegen eindringende feindliche Panzer sichern. Als diese dann aus Richtung Gleiwitz am 24. Januar anrollten, teilte der Bannführer uns in zwei Gruppen ein, und während er mit der einen gegen die Panzer vorging, um sie selbst anzugreifen, gaben wir anderen ihm den Feuerschutz. Unser Bannführer hat drei Panzer abgeschossen und ist dann leider bei der Vernichtung des vierten gefallen. Nachdem wir seinen Tod festgestellt hatten, mussten wir uns aus taktischen Gründen auf einen Eisenbahndamm zurückziehen, und dort habe ich dann am Abend die unter dieser hindurchführenden Straße von Gleiwitz nach Hindenburg, die den Zugang zur Stadt bildete, gesprengt."" Während des Original-Tons im Bild: die anderen Hitlerjungen, das Verwundeten-Abzeichen in Schwarz eines Hitlerjungen. Ein anderer Oberscharführer: (Original-Ton:) ""Ich war bei unserem ersten Angriff auf Befehl des Bannführers als Melder eingesetzt. Ich musste eine sehr wichtige Meldung zu den Sturmgeschützen zurückbringen und diese heranziehen. Diese kamen dann auch nach und so ermöglichten sie uns das Eindringen in das vom Feind besetzte Dorf und so hoben wir die Bereitstellung auf."" Hitlerjunge mit Eisernem Kreuz und Verwundeten-Abzeichen in Schwarz. Kameradschaftsführer Wilhelm Hübner, mit Eisernem Kreuz: (Original-Ton ""Als der Russe näher an Lauban heranrückte, habe ich mich dem Kampfkommandanten von Lauban freiwillig als Melder zur Verfügung gestellt. Meine Aufgabe bestand darin, Meldungen zu den einzelnen Kompaniegefechtsständen zu bringen. Außerdem habe ich oftmals Panzerfäuste und Verpflegung in die Hauptkampflinie geschafft. Die Panzerfäuste habe ich auf Leiterwagen oder Karren unter feindlichem Beschuss in die HKL geschafft."" Während des Original-Tons im Bild: andere Hitlerjungen, Nahaufnahme der Uniform eines Hitlerjungen mit Sonderabzeichen für das Niederkämpfen von Panzerkampfwagen durch Einzelkämpfer und Eisernem Kreuz, lächelnd auf Hübner blickende Hitlerjungen."
4	4. Ritterkreuzträger, Deutsches Reich, 1945. Bataillonsführer Ernst Tiburzy lachend in einem Raum an einem Tisch sitzend. Er trägt eine Augenklappe. Aufnahme der Orden an seiner Brust: Ritterkreuz, SA-Wehrabzeichen für Kriegsversehrte, Verwundeten-Abzeichen in Silber, Infanterie-Sturmabzeichen. Tiburzy mit verbundener Hand zusammen mit einem Offizier im Freien.
5	5. Schlacht um Breslau, 1945. Kartentrick: Deutsches Reich, Polen, Königsberg, Danzig, Stettin, Frankfurt/Oder, Posen, Warschau, Breslau. Das Rathaus von Breslau. Gauleiter Karl Hanke mit Offizieren an einem Kartentisch. Eine Straße Breslaus. Zivilisten beim Aushub eines Grabens. Frauen nageln Bretter vor ein Fenster. Kampf in den Straßen. Zerstörter sowjetischer Panzer.
6	"6. Schlacht um Königsberg, 1945. An einer Wand ein Plakat mit zwei Soldaten mit Panzerfaust und der Aufschrift ""Durchhalten"". Ein kleineres Plakat daneben: ""Unsere geschändeten Frauen schreien nach Rache!"". Der Kommandant der Festung Königsberg Generalleutnant Otto Lasch mit Offizieren an einem Kartentisch. Gauleiter Erich Koch an einem Kartentisch. Volkssturmmänner in den Trümmern der Stadt. Gefecht in den Ruinen. Ein Geschütz wird abgefeuert. Verwundete in einem Kellerlazarett, Schwestern des Roten Kreuzes. Angetretene Soldaten, darunter Jugendliche, werden mit dem Eisernen Kreuz ausgezeichnet."
7	7. Evakuierung, Ostsee, 1945. Deutsche Kriegsmarine beim Abtransport von Flüchtlingen aus Ost- und Westpreußen. Totale eines Schiffes am Ufer, einer Schlange von Menschen und weiteren Schiffen in Entfernung auf dem Meer. Die Menschenmenge geht an Bord. Kinder werden an Bord gebracht. Flüchtlinge, vor allem Frauen, auf einem Boot. Geleitzug verschiedener deutscher Schiffe. Ein Matrose gibt Lichtzeichen. Zwei Jungen an Bord trinken aus Tassen. Kleiner trinkender Junge in Großaufnahme. Frau mit Säugling. Soldat mit Jungen auf dem Arm. Drei Jungen. Vollbesetztes Flüchtlingsschiff in Vorbeifahrt. Geschütze und Kettenfahrzeuge werden auf Schiffe verladen. Ein Geleitzug bringt Nachschub in den Kurlandkessel. Zwei Offiziere mit Ferngläsern. Verschiedene Einstellungen des Geleitzuges. Deutsche Kriegsschiffe feuern auf gegnerische Stellungen an der Küste. Feuer der Bordgeschütze. Geschützmunition an Bord.
8	"8. Logistik, Deutsches Reich, 1945. Fahrender Güterzug mit Panzernachschub. Im Vordergrund Soldaten an einem 2-cm Flakvierling. Kolonne deutscher Panzer und LKW in Vorbeifahrt. Schild: ""Gefechtszone! Betreten für Zivilpersonen nur mit Ausweis gestattet. Ausweis- u. Kontrollstelle Feldg."". Ein beschädigtes Haus. Transparent an einem Zaun: ""Schützt unsere Frauen und Kinder vor den roten Bestien""."
9	"9. Missbrauch, Deutsches Reich, 1945. Ein Reporter mit vier Frauen. Der Reporter fragt: (Original-Ton:) ""Und wie haben sich die Soldaten und Offiziere nun in Ihrem Ort den Frauen gegenüber verhalten?"" Eine Frau antwortet, während sie spricht Einblendung getöteter Zivilisten, Frauen, Kinder und alter Menschen und Verwüstungen in den Häusern: (Original-Ton:) ""Man kann hier gar nicht von Soldaten und Offizieren in diesem Sinne sprechen. Man kann hier nur sprechen von bestialischen Horden. Die haben sich alle gleichmäßig benommen. Alle täglich betrunken. Sie haben also Frauen, alle Frauen vergewaltigt, von Jugendlichen angefangen von 13 Jahren bis zu Frauen von 68 Jahren. Es ist in meiner Gegenwart eine 68jährige Frau vergewaltigt worden in allergemeinster Weise."" Der Reporter: (Original-Ton:) ""Und diese Volksgenossinnen hier auch, ja?"" Eine Frau antwortet: (Original-Ton:) ""Ja, sogar meine Mutter von 60 Jahren haben sie nicht geschont, sondern haben sie auch bestialisch vergewaltigt."" Der Reporter fragt eine andere Frau: (Original-Ton:) ""Und Sie selbst auch hier?"" Die Frau antwortet: (Original-Ton:) ""Ja, sogar meine Schwester und meine Mutter in bestialischer und tierischer Weise haben sie misshandelt."""
10	10. Schlacht um Stettin, Deutsches Reich, 1945. Deutsche Soldaten beim Abwehrkampf am Bahndamm von Altdamm. Gewehrfeuer. Soldat feuert eine Panzerfaust ab. Ein zerstörter Stalin-Panzer. Leichte und schwere Flak bekämpft Ziele. Ein verwundeter Sturmgeschützführer wird verbunden und sitzt wieder auf sein Fahrzeug auf. Ein brennender sowjetischer Panzer. Fahnenjunker, Feldwebel Schmückle und seine Männer werden von einem Offizier mit dem Eisernen Kreuz ausgezeichnet. Schwenk über die Reihe der ausgezeichneten Soldaten. Einzelne Gesichter.
