chapter	content
1	1. Der Kölner Dom nach einem Bombenangriff, Deutsches Reich, 1943 Außen- und Innenaufnahmen vom Kölner Dom: Trümmer; Löscharbeiten; zerstörte Kunstgegenstände.
2	2. Sportfest der Berliner Hitlerjugend und Bund Deutscher Mädel im Olympiastadion, Deutsches Reich, 1943 Die Zuschauertribünen (Reichsjugendführer Artur Axmann unter den Zuschauern). Bodenturnen des Jungvolks. Tanz der Mädchen. Sportwettbewerbe: 100m-Lauf der Mädchen; 100m-Lauf der Jungen (Großaufnahmen der Sieger); 80-Meter-Hürden der Mädchen; 4x 100m-Staffel der Jungen.
3	3. Heinz Guderian und Erwin Kraus besichtigen eine Panzerfahrschule des NSKK, Deutsches Reich, 1943 Der Generalinspekteur der Panzertruppen Heinz Guderian und Führer des Nationalsozialistischen Kraftfahrkorps (NSKK) Erwin Kraus während der Besichtigung einer Panzerfahrschule: Panzer IV; Aufziehen einer Panzerkette auf einen Panzer 38(t); Guderian prüft einige Schüler. Vorführung eines „Schulpanzers“ (Chassis eines Panzer III) im Gelände.
4	4. Soldaten feiern das Sonnenwendfest an der Ostfront, Sowjetunion, 1943 Soldaten bei Vorbereitungen zum Sonnenwendfest: Zubereitung von Kartoffelknödeln. Improvisierte Dusche. Abladen eines Klaviers. Feier auf einem zusammengestellten Jahrmarkt: Tanzkapelle; Karussell; Wippen; „Hau den Lukas“; Kletterwettbewerb um Flaschen; Sieger beim Trinken. Umbau eines alten Lkws zu einem improvisierten Schienenzepp; ein anderer Lkw wird als Antrieb für ein Sägewerk genutzt; Herstellen und Anbringen von Dachschindeln für die Unterkunft; Anschluss einer Lichtmaschine an einen Windmotor. An der Schreibmaschine; Soldaten beim Schachspiel.
5	5. Stoßtrupps an der nördlichen Ostfront, Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1943 Kartentrick: nördliche Ostfront, Finnland, Murmansk, Leningrad. Schwere Feldhaubitzen (15 cm sFH 18) im Einsatz. Infanterie bei Stoßtruppunternehmen: Truppen in Stellung; Mitternachtssonne; Truppen beim Vorstoß mit Karabinern und Maschinenpistolen (MPs); Rückkehr des Stoßtrupps.
6	6. Japanische Offiziers-Delegation besichtigt die Front in der Region um Leningrad, Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1943 Kartentrick: Ostfront, Ladogasee, Leningrad. Landung eines Transportflugzeugs (Junkers Ju 52/3m); Ankunft und Begrüßung der japanischen Offiziere. Gang durch einen Schützengraben. Übergabe eines Wolchowstocks als Gastgeschenk an einen Offizier. Der japanische Militärattaché in Berlin Generalmajor Komatsu bei Freigabe einer neu errichteten Knüppelbrücke. Besichtigung eines Lehrgangs: Übungsschießen einer Panzerabwehrkanonen (PaK)-Einheit (7,5 cm PaK 40). Fahrt mit Draisine.
7	7. Besuch einer türkischen Militärdelegation am Südabschnitt der Ostfront, Ukrainische Sozialistische Sowjetrepublik, Sowjetunion, 1943 Die Delegation besichtigt Panzer und Fahrzeuge (u.a. VW-Schwimmwagen und Jagdpanzer Marder III); Vorführung eines Panzer VI „Tiger“. Gefechtsübung im Beisein von Generalfeldmarschall von Manstein und den türkischen Gästen: Einsatz von Tigern; Artillerie; Jagdflieger.
8	8. Wohnungs- und Personenkontrollen in Minsk und Razzia gegen Partisanen, Generalbezirk Weißruthenien, Reichskommissariat Ostland, 1943 Bewaffnete Patrouille im Stadtgebiet. Durchsuchung von Wohnungen. Fahrzeuge und Fußgänger werden kontrolliert. Einwohner müssen ihre Papiere vorzeigen. Kradkolonne unterwegs; Fahrt durch Wasserläufe (u.a. ein Panzerspähwagen Sonderkraftfahrzeug Sd.Kfz. 232). Lagebesprechung bei einem Dorf; Ausrücken. Durchkämmen eines Waldgebiets (u.a. durch eine französische Freiwilligenlegion). Gefecht: Gewehr- und Maschinengewehr (MG)-Feuer; feuernde Flugabwehrkanone (8,8 cm Flak). Einnahme des Dorfes; brennende Gebäude; tote Partisanen. Französischer Soldat mit MG.
9	9. Inbetriebnahme von Straßenbahnen in Orel, Russische Sozialistische Föderative Sowjetrepublik, Sowjetunion, 1943 Straßenbahn fährt durch die Straßen; Soldaten und Kinder schieben; deutsche Soldaten in der Bahn; Holzgasgeneratoren als Antrieb.
10	10. Zweiter Jahrestag des Kriegsbeginns in einer Stadt im Gebiet der Ostfront, Sowjetunion, 1943 In einer sowjetischen Stadt: Blick auf den Marktplatz mit zahlreichen Menschen. Transparente mit russischen Aufschriften; Zuschauer auch auf den Dächern. Parade u.a. einer Ehrenkompanie sowjetischer Freiwilliger.
11	11. Ein Nachtaufklärer im Einsatz, Sowjetunion, 1943 Start und Flug eines Nachtaufklärers (Dornier Do 217); das Innere des Flugzeugs. Leuchtspuren vom sowjetischen Beschuss; Brände am Boden.
12	12. Versorgung vorgeschobener Posten am Ärmelkanal, Frankreich, 1943 Ein Schiff im Ärmelkanal. Mit einem Schlauchboot gelangen Soldaten zu Felsenklippen; Güter werden ausgeladen, Soldaten tragen Säcke. Mit einer behelfsmäßigen Seilbahn gelangt ein Soldat auf einen Leuchtturm.
13	13. Eine U-Jagdflotille im Einsatz, Atlantik, 1943 Die Unterseeboot (U-Boot)-Jagd-Flotille vor der französischen Küste: Arbeit im Horchraum. Alarm: Einsatz von Wasserbomben; Explosionen auf der Wasseroberfläche. Auftreiben eines Ölfleckes; Schlauchbootkommando bei der Untersuchung der Ölaufstiegsstelle. Erneuter Wasserbombeneinsatz.
