chapter	content
1	1. Ausbau Hsinkings, Mandschuko, 1940 Stadtbilder aus Hsingking, der Hauptstadt des „Kaiserreichs Mandschukuo“. Bauarbeiten.
2	2. Durchmarschrecht durch Indochina für japanische Truppen, Französisch-Indochina, 1940 Verhandlungen zwischen den japanischen und französischen Militärdelegationen. Widerstand in der Stadt Đồng Đăng. Panzer (Type 95 Ha-Go) beim Vorbeifahren. Feuernde Artillerie. Japanische Truppen beim Vormarsch nach Lanzhou.
3	3. Vorbeimarsch der „Nationalsozialistischen Bewegung in den Niederlanden“ durch Amsterdam, Reichskommissariat Niederlande, 1940 Leiter der „Nationaal-Socialistische Beweging“ (NSB) Anton Adrian Mussert nimmt im offenen Wagen stehend den Vorbeimarsch durch Amsterdam ab.
4	4. Slowakische Segelflieger, Slowakei, 1940 Start und Flug eines Segelflugzeugs in der Hohen Tatra.
5	5. Turnländerkampf Deutschland/Finnland, Berlin, Deutsches Reich, 1940 Einzug der Mannschaften in der Deutschlandhalle. Springreiten, Bodenturnen, Barren- und Reckturnen.
6	6. Trauerfeier für den Intendanten des deutschen Kurzwellensenders Dr. Raskin, Berlin, Deutsches Reich, 1940 Trauerfeier im Haus des Rundfunks für den verunglückten Leiter der Auslandsabteilung und kommissarischen Intendanten des deutschen Kurzwellensenders Dr. Adolf Raskin. Propagandaminister Joseph Goebbels hält eine Rede und legt am Sarg das posthum verliehene Kriegsverdienstkreuz Erster Klasse nieder. Die Kränze am Sarg.
7	7. Reichsregierung empfängt Front- und Rüstungsarbeiter, Berlin, Deutsches Reich, 1940 Empfang der Rüstungs- und Frontarbeiter im Reichsministerium für Volksaufklärung und Propaganda durch Goebbels. Goebbels und Reichsminister Fritz Todt mit den Frauen und Männern an einer Kaffeetafel. Die Arbeiter begeben sich zu der Neuen Reichskanzlei, wo Adolf Hitler eine Ansprache hält. Hitler, in Begleitung von Todt und dem Führer der Deutschen Arbeitsfront (DAF) Robert Ley, begrüßt die Frauen und Männer.
8	8. Volkskommissar Molotow zu Besuch in Berlin, Deutsches Reich, 1940 Der sowjetische Außenminister Wjatscheslaw Michailowitsch Molotow wird in Berlin am Anhalter Bahnhof von Außenminister Joachim von Ribbentrop empfangen. Molotow schreitet vor dem Bahnhof zusammen mit von Ribbentrop und Generalfeldmarschall Wilhelm Keitel die Front einer angetretenen Ehrenkompanie ab. Fahrt zur neuen Reichskanzlei, wo Molotow von Hitler empfangen wird. Molotow im Gespräch mit Hitler, darunter auch Reichsmarschall Hermann Göring.
9	9. Straßenbau im Generalgouvernement, 1940 Instandsetzung von Straßen. Auslegen der Straßen mit Schotter, Walzen, Teeren und Einbauen der Feinschicht. Die fertiggestellte Straße.
10	10. Bau neuer Siedlungen im Reichsgau Wartheland, 1940 Errichtung neuer Wohnsiedlungen für Arbeiter in der Nähe von Posen. Maurer- und Dachdeckerarbeiten. Fertiggestellte Siedlung.
11	11. Kinderlandverschickung, Reichsgau Wartheland/Bayerische Ostmark/Schlesien, Deutsches Reich, 1940 Kinder winken ihren Eltern aus einem abfahrenden Zug zu. Kinder auf einem Gut im Warthegau. Frühstück in einem Jugendheim. Jungen begeben sich auf Pferden aufs Feld. Mädchen in einem Jugendheim in der bayerischen Ostmark beim Aufstehen und bei der Morgenwäsche. Kinder im Riesengebirge bei der Handarbeit, beim Unterricht, im Speisesaal, beim Tischtennis-Spielen und im Schlafsaal.
12	12. Deutsche Flak bei der Abwehr eines englischen Luftangriffes, Berlin, Deutsches Reich, 1940 Flugabwehrkanonen (Flak)-Stellungen in Berlin bei der Abwehr eines englischen Luftangriffs in der Nacht des 15.11.1940. Flakbatterien beim Feuern. Überreste dreier abgeschossener englischer Flugzeuge in Berliner Vororten.
13	13. Soldantengräber im Ausland zum „Jahrestag von Langemarck“, Flandern, Militärverwaltung in Belgien und Nordfrankreich/Oslo/Jössingfjord, Reichskommissariat Norwegen/Reichskommissariat Niederlande/Frankreich, 1940 Gedenkfeier zum „Jahrestag von Langemarck“ auf dem deutschen Ehrenfriedhof von Langemarck am 11.11.1940. Generalfeldmarschall Walther von Brauchitsch und Reichsleiter Baldur von Schirach beim Abschreiten einer Ehrenkompanie und bei der Kranzniederlegung. Aufnahmen von Gräbern bei Oslo. Gräber der Matrosen der „Blücher“. Gedenktafel am Jössingfjord für die Matrosen der „Altmark“. Gräber deutscher Fallschirmjäger in Holland. Gräber an der Marne und an der Aisne.
14	14. Panzerpioniere beim Brückenbau, Deutsches Reich, 1940 Zusammensetzen der Einzelteile. Ausfahren der Brücke. Auflegen des Brückenbodens. Panzerkampfwagen und Panzerfunkwagen fahren über die Brücke; Gefechtsübung in offenem Gelände (Panzer III, IV und 38(t)).
15	15. Wache der Küstenartillerie an der Ärmelkanalküste, Frankreich, 1940 Alarm bei der Küstenartillerie. Soldaten gehen auf Gefechtsstellung. Einrichten, Laden und Feuern der Geschütze.
16	16. Angriff der Luftwaffe auf einen englischen Geleitzug, Großbritannien, 1940 Kampfgeschwader (Junkers Ju 88) beim Flug zur englischen Ostküste. Im Tiefflug werden Bomben auf einen Geleitzug abgeworfen. Brennende Schiffe (unterlegt ist das Lied: „Bomben auf Engeland“).
