chapter	content
Vorfilm	Liese und Miese sowie ein Soldat (Fronturlauber) in einer gespielten Szene: Es geht um das Schreiben von Briefen an die Frontsoldaten. So sollen Sorgen und Pessimismus in den Briefen an die Front außen vor bleiben. Miese wird gespielt von Brigitte Mira.
1	1. Wissenschaft, Berlin, Deutsches Reich, 1944. (Sprecher:) „Der deutsche Hormonforscher Professor Adolf Butenandt am Mikroskop.“ Butenandt begutachtet Reagenzfläschchen, die ihm von einer Frau gereicht werden. Eine Frau mit Reagenzkolben. Butenandt zeigt eine grafische Darstellung biochemischer Moleküle. „Tierversuche“ (Sprecher), Butenandt und eine Frau mit Mäusen. Butenandt im Labor.
2	2. Wissenschaft, München, Deutsches Reich, 1944. (Sprecher:) „Amtseinführung des neuen Präsidenten der Deutschen Akademie“ in München. Joseph Goebbels am Rednerpult spricht zu einer Versammlung bestehend aus Männern, teilweise im Talar (kein Originalton). Arthur Seyß-Inquart erhält von Joseph Goebbels die Ernennungsurkunde zum Präsidenten der Deutschen Akademie. Seyß-Inquart am Rednerpult (kein Originalton). Unter den Zuhörern zahlreiche Professoren (Richard Strauss?) der Universität neben dem Rednerpult.
3	"3. Wein, unbekannter Ort, 1944. Ein sehr Fass mit einem Schild „257000 Flaschen“. Ein Mann schließt einen Schlauch an. (Sprecher:) „Die hauptsächlich für den Wehrmachtsbedarf arbeitende Kellerei beschäftigt zurzeit vorwiegend französische Fachkräfte.“ Über eine Luke klettert ein Mann in das Fass. Ein Mann spritzt mit einem Wasserschlauch einen Innenraum (im Fass?) ab. Weinfässer, zwei Männer bei der Weinprobe. Mit einer großen gläsernen Pipette wird Flüssigkeit aus einem Fass entnommen. Ein Mann im Labor. Einlagerung von Flaschen. Flaschen werden von Männern an einem Fließband abgefüllt und versandfertig gemacht. Aufschrift ""Henkell 15/I Silberstreif"" auf einem Karton."
4	4. Boxen, Brüssel, Belgien, 1944. (Sprecher:) „Boxkampf in Brüssel.“ Boxkampf zwischen Karel Sys und Pierre van Deuren. Sieger: Karel Sys.
5	5. Ballett, Berlin, Deutsches Reich, 1944. (Sprecher:) „Das Deutsche Filmballett in Berlin.“ Frauen betreten ein Gebäude. Schild: „Deutsches Filmballett, Training 8 Uhr, Probe 10 Uhr“. Frauen beugen sich weit nach hinten. Frauen beim Schminken und beim Anlegen von Kostümen. Eine Glocke erklingt und Frauen eilen, teilweise einen Salto schlagend, aus einem Raum mit langem Tisch. Kostümierte Frauen werden beim Vorführen von Spitzentanz, Stepptanz und Walzer gezeigt.
6	6. Erholung, Tegernsee, Deutsches Reich, 1944. (Sprecher:) „In einem Erholungsheim der Kampfflieger am Tegernsee.“ Eine Gebäudefront mit Malerei (christliche Szene?), Schild über einer Tür: „Kampffliegerheim“. Soldaten der Luftwaffe stehen vor dem Gebäude. Die Ritterkreuzträger mit Eichenlaub und Schwertern Oberstleutnant Joachim Helbig und Generalmajor Dietrich Peltz im Gespräch mit Soldaten. Soldaten, teilweise kriegsversehrt, zeigen Fotos, Modelle und einen Zeitungsausschnitt in englischer Sprache „wounded prisoner led the way“. Ritterkreuzträger mit Eichenlaub und Schwertern Major Werner Baumbach im Gespräch mit einem Soldaten der Luftwaffe der mit Hilfe eines Modells einer Ju 88 etwas erklärt. Schneeballschlacht von Männern.
7	7. Fischfang, Frankreich, 1944. (Sprecher:) „Französische Fischkutter laufen zum Fang aus.“ Fischkutter in einem Hafen. Deutsche Zerstörer auf See. Flakgeschütze an Bord eines Schiffes feuern. Ein viermotoriges Flugzeug am Himmel. Weitere Flugzeuge am Himmel. Fischkutter mit Fischen auf Deck. Fische werden von Männern aus einem großen Bottich genommen, ausgenommen und eingesalzen. Fische werden am Kopfende auf einem Stab aufgespießt. Fische am Stab in einer Fischräucherei. (Sprecher:) „Ein Teil des Fanges wandert in die Räucherkammern der deutschen Wehrmacht.“
8	8. Logistik, Italien, 1944. (Sprecher:) „Von der süditalienischen Front.“ Kartentrick: Frankreich/Italien, Venedig, Genua, Rom, Aprilia, Nettuno, Korsika, Sardinien. Deutsche Nachschubtransporte mit Lastwagen, einem Esel in den Bergen. Soldaten entladen des „Nachschub-Esel“ (Sprecher). Flugzeuge am Himmel. Deutsches Flakabwehrgeschütz feuert (im Hintergrund Berge). Rauchfahnen in einem Tal.
9	9. Montecassino, Italien, 1944. (Sprecher:) „Die Abtei von Monte Cassino, wie sie die Jahrhunderte überdauerte.“ Aufnahmen des Klosters vor und nach den Kampfhandlungen. Ruinen. Ein Stein mit einer Inschrift: „GESU ABBI PIETA DI NOI“. Ein zerbrochenes Holzkreuz. Der Abt von Monte Cassino [Gregorio Diamare] mit deutschen Offizieren. Ein Schild an einem Tor: „Stato Città del Vaticano Proprietà della Santa Sede, Vatikanstadt Eigentum des Heiligen Stuhles“. Das zerstörte Castel Gandolfo (?) (Sprecher). Zerstörte Gebäude, Menschen suchen in den Trümmern, eine Person wird auf einer Bahre getragen.
