chapter	content
1	1. Herbstmesse in Wien, Ostmark, 1940 Eröffnung der Wiener Herbstmesse am 01.09.1940. Auf dem Messegelände sind viele Besucher und zahlreiche Länderflaggen zu sehen. Reichswirtschaftsminister Dr. Walther Funk und der Gauleiter Wiens, Baldur von Schirach, bei einem Rundgang durch das Messegelände. Die Ausstellungshalle Finnlands und Mercedes-Flaggen. Die 2150 Ausstellerfirmen sind international und die Besucher testen verschiedene Geräte vor Ort. Eine Gleichrichteranlage.
2	2. Eröffnung des 2. Kriegswinterhilfswerks in Berlin, Deutsches Reich, 1940 Zweites Kriegswinterhilfswerk 1940/41 wird im Berliner Sportpalast am 04.09.1940 eröffnet. Adolf Hitler ist zugegen in Begleitung des Reichsführers der SS Heinrich Himmler und des Propagandaministers Joseph Goebbels. Goebbels präsentiert den Rechenschaftsbericht des ersten Kriegswinterhilfswerkes am Rednerpult. Die Sozialleistungen des Winterhilfswerkes werden eingeblendet: Mütterheime, Kindertagesstätten, Kindergärten, Schulärzte die Kinder untersuchen und Nationalsozialistische Volkswohlfahrts (NSV)-Schwestern, die Verwundete betreuen. Bilder vom Aufbau des Volksgesundheitsdienstes im Osten.
3	3. „Die Frau am Arbeitsplatz des Mannes“, Deutsches Reich, 1940 Einsatz „der Frau“ in der industriellen Arbeit: Frauen geben ihre Kinder in Betriebs- bzw. Firmenkindergärten ab, welche durch NSV-Schwestern betreut werden. Frauen bei der Arbeit in einer Großbäckerei, als Friseurinnen, als Schaffnerinnen, als Arbeiterinnen in einem Industriebetrieb an einer großen Presse und an einem Bohrgerät, in einem feinmechanischen Betrieb sowie in der Werkskantine, wo sie eine Pause machen. Hinweis auf die Deutsche Arbeitsfront (DAF), welche für diese Arbeitsplätze zuständig ist.
4	4. Arzneimittelherstellung in den Bayer-Werken, Deutsches Reich, 1940 Arzneimittelherstellung sowie Verpackung in den Bayer-Werken, einem Großwerk der chemischen Industrie: Pressen der Tabletten und Pillen in Mischbehälter, ein Mitarbeiter streut Pulver in einen Behälter. Vollautomatisches Verpacken von Aspirin-Tabletten. Flüssige Medikamente werden mit Hilfe von Präzisionsapparaten automatisch in Ampullen gefüllt und verschlossen. Beschriftete Holzkisten der Firma Bayer mit Arzneimitteln, die fertig für den Versand in viele verschiedenen Länder und Städte sind.
5	5. Herstellung von Glas, Deutsches Reich, 1940 Herstellung von splitterfreiem Glas: Rohglas wird zu Tafeln gegossen und poliert, zwischen zwei Glasflächen wird eine Cellonschicht, die das Glas splitterfrei macht, eingesetzt. Schleifen der Kanten und Untersuchung auf Gussfehler. Herstellung von splitterfreien Brillengläsern für Motorradbrillen. Fallprobe: eine 30mm dicke Panzerscheibe wird durch Pistolenschüsse eines Wehrmachtsoldaten auf ihre Splitterfestigkeit überprüft.
6	6. Rückkehr evakuierter Saarländer in ihre Heimat, Abschied in Witzenhausen bei Kassel, Deutsches Reich, 1940 Rückführung der evakuierten, westdeutschen Grenzbevölkerung aus dem Saarland in ihre Heimat. Verabschiedung der Heimkehrer. Transparent an einem Haus: „Der Gau Kurhessen wünscht seinen Gästen aus dem Saarland glückliche Heimkehr“. Betreuung der Kleinkinder durch NSV-Schwestern. Winkende Saarländer bei der Abfahrt in einem Sonderzug.
7	7. Erholung genesender Soldaten im Wettersteingebirge und am Chiemsee in Bayern, Deutsches Reich/Tirol-Vorarlberg, Ostmark, 1940 Ehrwald im Wettersteingebirge: Genesende Soldaten in dem Militärgenesungsheim Ehrwald, Soldaten beim Sonnenbaden. Blick auf die Berge. Autobahnrasthaus Chiemsee: Ebenfalls genesende Soldaten. Hinweis darauf, dass Reichsminister Fritz Todt den Soldaten dieses Haus zur Verfügung stellte.
8	8. Rückkehr des Bataillons Feldherrnhalle, Deutsches Reich, 1940 Rückkehr des Bataillons Feldherrnhalle welches aus der SA-Standarte Feldherrnhalle hervorging. Die angetretenen Einheiten. Stabschef der SA, Viktor Lutze, und Generalleutnant Franz von Dalwigk zu Lichtenfels mit Begleitern beim Abschreiten der Einheiten. Zu Ehren der Gefallenen des Westfeldzuges intoniert die Kapelle das „Lied vom guten Kameraden“. Lutze und von Dalwigh salutieren. Ritterkreuzträger der SA-Standarte Feldherrnhalle beim Gespräch mit Goebbels.
9	9. Übergabe neuer Feldzeichen an SS-Leibstandarte „Adolf Hitler“ in Metz, Frankreich, 1940 Übergabe einer von Hitler verliehenen, neuen Standarte an die SS-Leibstandarte „Adolf Hilter“ durch Himmler am 07.09.1940 in Metz. Himmler schreitet die Front der angetretenen Einheiten ab. Er übergibt die neuen Feldzeichen an den SS-Obergruppenführer Sepp Dietrich. Mit klingendem Spiel zieht ein Ehrenbataillon der Leibstandarte mit der neuen Standarte durch die Straßen von Metz.
10	10. Kundgebung und Einweihung des „Adolf-Hitler-Platzes“ durch den Reichsarbeitsdienst, Warschau, Generalgouvernement, 1940 Eine Kundgebung des Reichsarbeitsdienstes und der Nationalsozialistischen Deutschen Arbeiterpartei (NSDAP) auf dem Piłsudski-Platz in Warschau. Aufmarschierende Einheiten des Reichsarbeitsdienstes (RAD) und der Parteiorganisation, darunter auch der Komponist des England- und Frankreich-Liedes Herms Niel mit seinem Musikzug. Eintreffen des RAD-Führers Konstantin Hierl. Im Hintergrund ein großes Transparent mit der Aufschrift: „Adolf Hilter ist Deutschland“. Feierliche Zeremonie, bei der Piłsudski-Platz in „Adolf-Hitler-Platz“ umbenannt wird.
